ID	DOCULECT	CONCEPT	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	CHINESE_GLOSS_IN_SOURCE	ALT_IPA	ALT_GLOSS	ALT_SOURCE	ALT_CHARS	ALT_CHINESE_GLOSS	IPA	HANZI	SOURCE	TOKENS	COGIDS	ALIGNMENT	NOTE	RANK
78	Beijing	I [first person singular]	1209	928	I (first person singular)	我	uo²¹⁴ / uo²¹³	I / I	Hou2004 / Liu2007	我 / 我	我 / 我	uo²¹⁴	我	BeijingDaxue1964	u o ²¹⁴	135	- u o - ²¹⁴ -		88
272	Changsha	I [first person singular]	1209	928	I (first person singular)	我	ŋo⁴¹ / ŋo⁴¹	I / I	Hou2004 / Liu2007	我 / 我	我 / 我	ŋo⁴¹	我	BeijingDaxue1964	ŋ o ⁴¹	135	ŋ - o - ⁴¹ -		88
461	Chengdu	I [first person singular]	1209	928	I (first person singular)	我	ŋo⁵³ / ŋo⁵³	I / I	Hou2004 / Liu2007	我 / 我	我 / 我	ŋo⁵³	我	BeijingDaxue1964	ŋ o ⁵³	135	ŋ - o - ⁵³ -		88
660	Fuzhou	I [first person singular]	1209	928	I (first person singular)	我	nøyŋ⁵³ / ŋuai⁰ / ŋuai³²	I / I / I	Hou2004 / Hou2004 / Liu2007	侬 / 我 / 我	我 / 我 / 我	ŋuai³¹	我	BeijingDaxue1964	ŋ u a i ³¹	135	ŋ u a i ³¹ -		88
858	Guangzhou	I [first person singular]	1209	928	I (first person singular)	我	ŋɔ²³ / ŋɔ²³	I / I	Hou2004 / Liu2007	我 / 我	我 / 我	ŋɔ²³	我	BeijingDaxue1964	ŋ ɔ ²³	135	ŋ - ɔ - - ²³		88
1058	Jinan	I [first person singular]	1209	928	I (first person singular)	我	və⁵⁵ / ŋã∼⁵⁵ / vɔ⁴⁵	I / I / I	Hou2004 / Hou2004 / Liu2007	我 / 俺 / 我	我 / 我 / 我	uə⁵⁵	我	BeijingDaxue1964	u ə ⁵⁵	135	- u ə - ⁵⁵ -		88
1059	Jinan	I [first person singular]	1209	928	I (first person singular)	俺						ŋæ̃∼⁵⁵	俺	BeijingDaxue1964	ŋ æ̃ ∼ ⁵⁵	780			88
1253	Meixian	I [first person singular]	1209	928	I (first person singular)		ŋai¹¹	I	Liu2007	佳	我	ŋai¹²		BeijingDaxue1964	ŋ a i ¹²	1140			88
1441	Nanchang	I [first person singular]	1209	928	I (first person singular)	我	ŋo²¹³ / ŋo²¹³	I / I	Hou2004 / Liu2007	我 / 我	我 / 我	ŋɔ²¹³	我	BeijingDaxue1964	ŋ ɔ ²¹³	135	ŋ - ɔ - ²¹³ -		88
1642	Suzhou	I [first person singular]	1209	928	I (first person singular)	我	ŋəu³¹ / ŋəu²³¹	I / I	Hou2004 / Liu2007	吾 / 吾	我 / 我	ŋəu³¹	我	BeijingDaxue1964	ŋ ə u ³¹	135	ŋ ə u - ³¹ -		88
1643	Suzhou	I [first person singular]	1209	928	I (first person singular)	奴						nəu³¹	奴	BeijingDaxue1964	n ə u ³¹	924			88
1845	Wenzhou	I [first person singular]	1209	928	I (first person singular)	我	ŋŋ̍∼³⁵ / ŋ̍²⁴	I / I	Hou2004 / Liu2007	我 / 我	我 / 我	ŋ̍²⁴	我	BeijingDaxue1964	ŋ̍ ²⁴	135	ŋ̍ - - - ²⁴ -		88
2040	Xiamen	I [first person singular]	1209	928	I (first person singular)	我	gua⁵³ / ŋua⁵³	I / I	Hou2004 / Liu2007	我 / 我	我 / 我	gua⁵¹	我	BeijingDaxue1964	g u a ⁵¹	135	g u a - ⁵¹ -		88
3073	Chaozhou	I [first person singular]														0			88
1	Beijing	above	1741	731	*top, top side	上頭	ʂɑŋ⁵¹+tʰou¹ / ʂɑŋ⁵¹+piar¹	on / on	Hou2004 / Hou2004	上头 / 上边	上面 / 上面	ʂaŋ⁵¹tʰou⁰	上頭	BeijingDaxue1964	ʂ a ŋ ⁵¹ tʰ o u ⁰	1 2		**remove**: remove the concept to be save. @lingulist, 6/2/2017, 10:04:09 AM	200
202	Changsha	above	1741	731	*top, top side	上頭	ʂan¹¹+miẽ∼⁰ / kau³³+təu⁰ / ʂan¹¹+təu⁰	on / on / on	Hou2004 / Hou2004 / Hou2004	上面 / 高头 / 上头	上面 / 上面 / 上面	san²¹təu⁰	上頭	BeijingDaxue1964	s a n ²¹ t ə u ⁰	1 2			200
388	Chengdu	above	1741	731	*top, top side	高頭	saŋ¹³+tʰəu³¹/⁵⁵ / saŋ¹³+pian⁵⁵ / saŋ¹³+mian¹³ / kau⁵⁵+tʰəu³¹/⁵⁵ / kau⁵⁵+saŋ¹³ / tin⁵³+saŋ¹³	on / on / on / on / on / on	Hou2004 / Hou2004 / Hou2004 / Hou2004 / Hou2004 / Hou2004	上头 / 上边 / 上面 / 高头 / 高上 / 顶上	上面 / 上面 / 上面 / 上面 / 上面 / 上面	kau⁴⁴tʰəu³¹	高頭	BeijingDaxue1964	k a u ⁴⁴ tʰ ə u ³¹	437 2			200
389	Chengdu	above	1741	731	*top, top side	上頭						saŋ¹³tʰəu³¹	上頭	BeijingDaxue1964	s a ŋ ¹³ tʰ ə u ³¹	1 2			200
579	Fuzhou	above	1741	731	*top, top side	懸頂	kɛ⁵³/³²+lɛiŋ³²	on	Hou2004	悬顶	上面	kɛ³¹leiŋ³¹	懸頂	BeijingDaxue1964	k ɛ ³¹ l e i ŋ ³¹	498 499			200
784	Guangzhou	above	1741	731	*top, top side	上便	sœŋ²²+pin²² / sœŋ²²+kou⁵⁵	on / on	Hou2004 / Hou2004	上便 / 上高	上面 / 上面	ʃœŋ²²pin²²	上便	BeijingDaxue1964	ʃ œ ŋ ²² p i n ²²	1 662			200
984	Jinan	above	1741	731	*top, top side	上邊兒	ʂaŋ²¹/⁵⁴⁴+tʰou⁰ / ʂaŋ²¹+piɛr⁰ / tiŋ⁵⁵/²¹³+ʂaŋ⁰	on / on / on	Hou2004 / Hou2004 / Hou2004	上头 / 上边 / 顶上	上面 / 上面 / 上面	ʂaŋ²¹pɛr⁰	上邊兒	BeijingDaxue1964	ʂ a ŋ ²¹ p ɛ/r ⁰	1 759			200
1178	Meixian	above	1741	731	*top, top side	上背	soŋ⁵³/⁵⁵+poi⁵³	on	Hou2004	上背	上面	sɔŋ⁴²pɔi⁴²	上背	BeijingDaxue1964	s ɔ ŋ ⁴² p ɔ i ⁴²	1 800			200
1367	Nanchang	above	1741	731	*top, top side	上頭	sɔŋ²¹+tʰɛu⁰² / kɑu⁴²+tʰɛu⁰²	on / on	Hou2004 / Hou2004	上头 / 高头	上面 / 上面	sɔŋ³¹tʰɛu²⁴	上頭	BeijingDaxue1964	s ɔ ŋ ³¹ tʰ ɛ u ²⁴	1 2			200
1368	Nanchang	above	1741	731	*top, top side	! 上□						sɔŋ³¹tit⁵	上□	BeijingDaxue1964	s ɔ ŋ ³¹ t i t ⁵	1 1141			200
1560	Suzhou	above	1741	731	*top, top side	上頭	zã∼³¹/¹³+dʏ⁰	on	Hou2004	上头	上面	zɒŋ³¹₂₂dʏ²⁴₃₃	上頭	BeijingDaxue1964	z ɒ ŋ ³¹₂₂ d ʏ ²⁴₃₃	1 2			200
1773	Wenzhou	above	1741	731	*top, top side	上面	ji²²/⁴²+mai²² / ji²²/⁴²+mai²²/²¹+dɤu³¹/²¹ / ji²²/⁴²+tɕy³⁵	on / on / on	Hou2004 / Hou2004 / Hou2004	上面 / 上面头 / 上转	上面 / 上面 / 上面	ɦi¹¹mai¹¹	上面	BeijingDaxue1964	ɦ i ¹¹ m a i ¹¹	1 983			200
