ID	NUMBER	GLOSS	TBL_ID	CONCEPTICON_ID	OTHER_ID	OTHER_GLOSS	OTHER_CHINESE	SOURCE
1	1	above	731	1741	130	on	上面	Hou2004
2	2	all	962	98	884	都	all	BeijingDaxue1964
3	3	the ant	365	587	117	螞蟻	ant	BeijingDaxue1964
4	4	the armpit	92	1886	390	夾肢窩	armpit	BeijingDaxue1964
5	5	bad	1053	1292	751	壞	bad	BeijingDaxue1964
6	6	the bamboo	389	1927	337	竹子	bamboo	BeijingDaxue1964
7	7	the barley (tibetan or highland)	411	932				!!!
8	8	to be alive	1087	1422	635	活	live	BeijingDaxue1964
9	9	the belly	96	1251	26	belly	肚子	Liu2007
10	10	below, under	732	1485	472	下面	under, below	BeijingDaxue1964
11	11	big	964	1202	691	大	big	BeijingDaxue1964
12	12	the bird	326	937	89	bird	鳥	Liu2007
13	13	to bite	1753	1403	508	咬	bite	BeijingDaxue1964
14	14	black	1005	163	722	黑	black	BeijingDaxue1964
15	15	the blood	129	946	162	blood	血	Liu2007
16	16	to blow (of wind)	1738	175	491	刮風	blow (of wind)	BeijingDaxue1964
17	17	the body hair (hair or fur)	266	189				!!!
18	18	the bone	133	1394	42	bone	骨頭	Liu2007
19	19	the branch	374	1531				!!!
20	20	the breast (female)	94	1402	103	breasts	乳房	Liu2007
21	21	to burn [intransitive]	1269	1428	109	*	burn	Liu2007
22	22	to buy	1516	1869	634	買藥(買中藥)	buy Chinese medicine	BeijingDaxue1964
23	23	to chew	1424	321	510	嚼	chew	BeijingDaxue1964
24	24	the child (young human)	169	1304	406	小孩兒	child	BeijingDaxue1964
25	25	the cloud	7	1489	180	cloud	雲	Liu2007
26	26	cold (of temperature)	1063	1287	758	冷	cold	BeijingDaxue1964
27	27	to come	1491	1446	73	come	來	Liu2007
28	28	correct (right)	1045	1725	28	correct	對	Liu2007
29	29	to count	1640	1420	121	count [verb]	數[動]	Liu2007
30	30	to cry (weep)	1485	1839	617	哭	weep, cry	BeijingDaxue1964
31	31	dark	1013	706	721	暗	dark	BeijingDaxue1964
32	32	the daughter	222	1357	459	女兒	daughter	BeijingDaxue1964
33	33	the dew	15	1977	7	露水	dew	BeijingDaxue1964
34	34	to die	1651	1494	636	死	die	BeijingDaxue1964
35	35	to dig	1698	1418	144	dig	挖	Liu2007
36	36	dirty	1086	1230	741	骯髒	dirty	BeijingDaxue1964
37	37	the dog	289	2009	41	dog	狗	Liu2007
38	38	the dream	699	2374				!!!
39	39	to drink	1370	1401	506	喝	drink	BeijingDaxue1964
40	40	dry	1028	1398	725	幹	dry	BeijingDaxue1964
41	41	the dust	45	2	480	末子	dust	BeijingDaxue1964
42	42	the ear	81	1247	386	耳朵	ear	BeijingDaxue1964
43	43	early	1018	672	748	早	early	BeijingDaxue1964
44	44	the earth (soil)	40	1228	61	土	soil, earth	BeijingDaxue1964
45	45	the earthworm	363	2350	109	蚯蚓	earthworm	BeijingDaxue1964
46	46	to eat	1198	1336	505	吃	eat	BeijingDaxue1964
47	47	the egg	450	744	62	egg	雞蛋	Liu2007
48	48	eight	804	1705	170	eight	八	Hou2004
49	49	the eye	79	1248	384	眼睛	eye	BeijingDaxue1964
50	50	far	974	1406	178	far	遠	Liu2007
51	51	the father	218	1217	425	爸爸	father (daddy)	BeijingDaxue1964
52	52	the feather	299	1201	175	feather	羽毛	Liu2007
53	53	to fight	1234	1423	622	打架	fight	BeijingDaxue1964
54	54	the fire	18	221	61	fire	火	Liu2007
55	55	firewood	534	10	288	木柴	firewood	BeijingDaxue1964
56	56	the fish	351	227	174	fish	魚	Liu2007
57	57	five	801	493	151	five	五	Liu2007
58	58	the flea	355	232				!!!
59	59	to float	1553	1574	94	float	漂浮	Liu2007
60	60	to flow	1502	2003	76	flow	流	Liu2007
61	61	the flower	377	239	56	flower	花	Liu2007
62	62	to fly (move through air)	1318	1441	32	fly	飛	Liu2007
63	63	the fog	16	249	6	霧	fog	BeijingDaxue1964
64	64	the foot	103	1301	65	foot	腳	Liu2007
65	65	the forest	50	420	105	woods	森林	Liu2007
66	66	to forget	1704	1523	679	忘記	forget	BeijingDaxue1964
67	67	four	800	1500	130	four	四	Liu2007
68	68	the fox	325	1312				!!!
69	69	the frog	349	503	105	青蛙	frog	BeijingDaxue1964
70	70	the front (front side)	712	2194	467	前面	front, front side	BeijingDaxue1964
71	71	the frost	14	2034	8	霜	frost	BeijingDaxue1964
72	72	the fruit	378	1507	165	水果	fruit	BeijingDaxue1964
73	73	full	984	1429	707	滿	full	BeijingDaxue1964
74	74	to give	1345	1447	39	give	給	Liu2007
75	75	the goat	276	1502	91	*	sheep, goat	BeijingDaxue1964
76	76	good	1052	1035	750	好	good	BeijingDaxue1964
77	77	the grass	436	606	9	grass	草	Liu2007
78	78	green	1009	1425	78	green	綠	Liu2007
79	79	the hail	13	609	11	冰雹	hail	BeijingDaxue1964
80	80	the hair (of the head)	75	1040	382			BejingDaxue1964
81	81	the hand	107	1277	118	hand	手	Liu2007
82	82	hard	1034	1884	730	硬	hard, firm	BeijingDaxue1964
83	83	he or she [third person singular]	934	262	808	他	he, she, it (third person singular)	BeijingDaxue1964
84	84	the head	74	1256	840	一頭牛	head (classifier for cows)	BeijingDaxue1964
85	85	to hear	1682	1408	503	聽	hear	BeijingDaxue1964
86	86	the heart	144	1223	158	heart	心	Liu2007
87	87	heavy	1014	1210	724	重	heavy	BeijingDaxue1964
88	88	here	944	136	826	這邊	this side, here	BeijingDaxue1964
89	89	to hide (conceal)	1169	602	289			BejingDaxue1964
90	90	high / tall	968	1265	693	高	high	BeijingDaxue1964
91	91	to hold	1709	1448	517			BeijingDaxue
92	92	the hoof	264	152	126	蹄子	hoof	BeijingDaxue1964
93	93	horizontal	1001	2376	714	橫	horizontal	BeijingDaxue1964
94	94	the horn (keratinized skin)	263	1393	64	horn	角	Liu2007
95	95	the horse	268	615	83	*	stallion	BejingDaxue
96	96	hot	1062	1286	98	hot	熱	Liu2007
97	97	the house	494	1252	243	房子	building // house	BeijingDaxue1964
98	98	hundred	824	1634				!!!
99	99	to hunt	1230	1435	21	hunt	打獵	Liu2007
100	100	the husband	247	1200	444	丈夫	husband	BeijingDaxue1964
101	101	I [first person singular]	928	1209	806	我	I (first person singular)	BeijingDaxue1964
102	102	the ice	17	617	10	冰	ice	BeijingDaxue1964
103	103	inside	715	1606	135	inside	里面	Hou2004
104	104	to kill	1602	1417	599	殺	kill	BeijingDaxue1964
105	105	to knead	1594	274	518	捏	knead	BeijingDaxue1964
106	106	the knee	101	1371	400	膝蓋	knee	BeijingDaxue1964
107	107	knife	549	1352	327	小刀兒	small knife	BeijingDaxue1964
108	108	to know (something)	1798	1410	672	知道	know	BeijingDaxue1964
109	109	the lake	31	624	19	湖	lake	BeijingDaxue1964
110	110	late	1019	477	749	晚	late	BeijingDaxue1964
111	111	to laugh	1735	1355	157	laugh	笑	Liu2007
112	112	the leaf	376	628	169	leaf	葉	Liu2007
113	113	to learn	1742	504	643	學	learn	BeijingDaxue1964
114	114	left	710	244	200	leftside	左邊	Liu2007
115	115	to lick	1674	319	511	舔	lick (with tongue)	BeijingDaxue1964
116	116	to lie down	1661	215	575	躺	lie down, lie (sleep)	BeijingDaxue1964
117	117	light (of weight)	1052	1052	723	輕	light (of weight)	BeijingDaxue1964
118	118	the lip (the lips)	85	478				!!!
119	119	the liver	145	1224	38	liver	肝	Liu2007
120	120	long	972	1203	696	長	long	BeijingDaxue1964
121	121	the louse	356	1392	114	louse	獅子	Liu2007
122	122	the lung	143	688				!!!
123	123	the man (male human)	173	2106	86	*		Liu2007
124	124	many	987	1198	880	最	most	BeijingDaxue1964
125	125	to marry (a man marries a woman)	1578	2164	637	結婚(指男方)	marry (of a man)	BeijingDaxue1964
126	126	the meat	443	634	101		flesh	Liu2007
127	127	middle	708	1093	473	中間	centre, in the middle of	BeijingDaxue1964
128	128	the moon	4	1313	2	月亮	moon	BeijingDaxue1964
129	129	morning	749	1339	38	早晨	morning	BeijingDaxue1964
130	130	the mosquito	360	1509	119	蚊子	mosquito	BeijingDaxue1964
131	131	the mother	219	1216	426	媽媽	mother (mommy)	BeijingDaxue1964
132	132	the mountain	23	639	108	mountain	山	Liu2007
133	133	the mouse or rat	320	2139	70	老鼠	rat, mouse	BeijingDaxue1964
134	134	the mouth	84	674	387	嘴	mouth	BeijingDaxue1964
135	135	the mud	46	640	60	泥	mud, earth	BeijingDaxue1964
136	136	the nail (fingernail or claw)	113	2128	196			Liu2007
137	137	the name	687	1405	80	name	名字	Liu2007
138	138	narrow	977	1267	701	窄	narrow	BeijingDaxue1964
139	139	near	975	1942	67	near	近	Liu2007
140	140	the neck	89	1333	389	脖子	neck	BeijingDaxue1964
141	141	the needle (for sewing)	578	1382	293	針	needle	BeijingDaxue1964
142	142	new	1050	1231	159	new	新	Liu2007
143	143	nine	805	1483	171	nine	九	Hou2004
144	144	the nit	357	267				!!!
145	145	noon	750	12	40	中午	noon	BeijingDaxue1964
146	146	the nose	80	1221	385	鼻子	nose	BeijingDaxue1964
147	147	old (of person)	1058	2112	778	老(不年輕)	old, aged	BeijingDaxue1964
148	148	one	797	1493	170	one	一	Liu2007
149	149	the otter	317	15				!!!
150	150	outside	714	762	470	外面	out, outside	BeijingDaxue1964
151	151	the pig	284	1337	32	pig	猪	Hou2004
152	152	to plant (vegetals, rice)	1774	1486				!!!
153	153	to play	1703	1413	644	玩兒	play	BeijingDaxue1964
154	154	to pull	1568	1455	538	拉	pull	BeijingDaxue1964
155	155	to push	1689	1452	534	推	push	BeijingDaxue1964
156	156	the rain	10	658	5	雨	rain	BeijingDaxue1964
157	157	the rainbow	11	1733	14	虹	rainbow	BeijingDaxue1964
158	158	red	1007	156	52	red	紅	Liu2007
159	159	to reside (live)	1452	1099				!!!
160	160	the rice plant	439	2026	137	稻子	rice plant	BeijingDaxue1964
161	161	right	711	1019	173	rightside	右邊	Liu2007
162	162	the river	30	666	50	river	江	Liu2007
163	163	the road	38	667	77		path	Liu2007
164	164	the root	375	670	40	root	根	Liu2007
165	165	the rope	619	1218	296	繩子	rope	BeijingDaxue1964
166	166	round	990	1395	709	圓	circular, round	BeijingDaxue1964
