ID	NUMBER	GLOSS	TBL_ID	CONCEPTICON_ID	BJDX_ID	BJDX_GLOSS	BJDX_CHINESE	LIU_ID	LIU_GLOSS	LIU_CHINESE	HOU_ID	HOU_GLOSS	HOU_CHINESE
1	1	above	731	1741							130	on	上面	
2	2	all	962	98	884	all	都	97	all	全部				
3	3	the ant	365	587	117	ant	螞蟻							
4	4	the armpit	92	1886	390	armpit	夾肢窩							
5	5	bad	1053	1292	751	bad	壞	57	bad	壞				
6	6	the bamboo	389	1927	337	bamboo	竹子							
7	7	the barley (tibetan or highland)	411	932										!!!
8	8	to be alive	1087	1422	635	live	活	60	live(alive)	活的				
9	9	the belly	96	1251				26	belly	肚子				
10	10	below, under	732	1485	472	under, below	下面				131	under	下面	
11	11	big	964	1202	691	big	大	22	big	大				
12	12	the bird	326	937				89	bird	鳥				
13	13	to bite	1753	1403	508	bite	咬	168	bite	咬				
14	14	black	1005	163	722	black	黑	51	black	黑				
15	15	the blood	129	946				162	blood	血				
16	16	to blow (of wind)	1738	175	491	blow (of wind)	刮風	17	blow	吹	10	blow	刮风	
17	17	the body hair (hair or fur)	266	189										!!!
18	18	the bone	133	1394				42	bone	骨頭				
19	19	the branch	374	1531										!!!
20	20	the breast (female)	94	1402				103	breasts	乳房				
21	21	to burn [intransitive]	1269	1428				109	burn	燒				
22	22	to buy	1516	1869	634	buy Chinese medicine	買藥(買中藥)							
23	23	to chew	1424	321	510	chew	嚼							
24	24	the child (young human)	169	1304	406	*child	小孩兒	44	child	孩子				
25	25	the cloud	7	1489				180	cloud	雲				
26	26	cold (of temperature)	1063	1287	758	cold	冷	75	cold	冷	143	cold	冷	
27	27	to come	1491	1446				73	come	來				
28	28	correct (right)	1045	1725				28	correct	對	156	just right	正好	
29	29	to count	1640	1420				121	count [verb]	數[動]				
30	30	to cry (weep)	1485	1839	617	weep, cry	哭							
31	31	dark	1013	706	721	dark	暗							
32	32	the daughter	222	1357	459	daughter	女兒				76	daughter	女儿	
33	33	the dew	15	1977	7	dew	露水							
34	34	to die	1651	1494	636	die	死	129	die	死	103	die	死了	
35	35	to dig	1698	1418				144	dig	挖				
36	36	dirty	1086	1230	741	dirty	骯髒	182	dirty	髒	151	dirty	脏	
37	37	the dog	289	2009				41	dog	狗				
38	38	the dream	699	2374										!!!
39	39	to drink	1370	1401	506	drink	喝	47	drink	喝				
40	40	dry	1028	1398	725	dry	幹	37	dry	乾				
41	41	the dust	45	2	480	dust	末子	13	dust	塵土				
42	42	the ear	81	1247	386	ear	耳朵	30	ear	耳朵				
43	43	early	1018	672	748	early	早							
44	44	the earth (soil)	40	1228	61	soil, earth	土	140	earth	土地				
45	45	the earthworm	363	2350	109	earthworm	蚯蚓							
46	46	to eat	1198	1336	505	eat	吃	14	eat	吃				
47	47	the egg	450	744				62	egg	雞蛋				
48	48	eight	804	1705							170	eight	八	
49	49	the eye	79	1248	384	eye	眼睛	167	eye	眼睛				
50	50	far	974	1406				178	far	遠				
51	51	the father	218	1217	425	*father (daddy)	爸爸	36	father	父親	61	father	爸爸	
52	52	the feather	299	1201				175	feather	羽毛				
53	53	to fight	1234	1423	622	fight	打架	20	fight	打				
54	54	the fire	18	221				61	fire	火				
55	55	firewood	534	10	288	firewood	木柴							
56	56	the fish	351	227				174	fish	魚				
57	57	five	801	493				151	five	五	167	five	五	
58	58	the flea	355	232										!!!
59	59	to float	1553	1574				94	float	漂浮				
60	60	to flow	1502	2003				76	flow	流				
61	61	the flower	377	239				56	flower	花				
62	62	to fly (move through air)	1318	1441				32	fly	飛				
63	63	the fog	16	249	6	fog	霧	152	fog	霧				
64	64	the foot	103	1301				65	foot	腳				
65	65	the forest	50	420				105	woods	森林				
66	66	to forget	1704	1523	679	forget	忘記							
67	67	four	800	1500				130	four	四	166	four	四	
68	68	the fox	325	1312										!!!
69	69	the frog	349	503	105	frog	青蛙							
70	70	the front (front side)	712	2194	467	front, front side	前面							
71	71	the frost	14	2034	8	frost	霜							
72	72	the fruit	378	1507	165	fruit	水果	124	fruit	水果				
73	73	full	984	1429	707	full	滿	79	full	滿				
74	74	to give	1345	1447				39	give	給				
75	75	the goat	276	1502	91	*sheep, goat	羊							
76	76	good	1052	1035	750	good	好	46	good	好				
77	77	the grass	436	606				9	grass	草				
78	78	green	1009	1425				78	green	綠				
79	79	the hail	13	609	11	hail	冰雹				8	hail	冰雹	
80	80	the hair (of the head)	75	1040	382	hair (of head)	頭髮	139	hair	頭髮				
81	81	the hand	107	1277	392	*left hand	左手	118	hand	手				
82	82	hard	1034	1884	730	hard, firm	硬							
83	83	he or she [third person singular]	934	262	808	he, she, it (third person singular)	他							
84	84	the head	74	1256	381	head	頭	138	head	頭	49	head	头	
85	85	to hear	1682	1408	503	hear	聽	137	hear	聽見				
86	86	the heart	144	1223				158	heart	心				
87	87	heavy	1014	1210	724	heavy	重	194	heavy	重				
88	88	here	944	136	826	this side, here	這邊	188	here	這裡	115	here	这里	
89	89	to hide (conceal)	1169	602										!!!
90	90	high / tall	968	1265	693	high	高							
91	91	to hold	1709	1448	517	take, hold	拿	82	hold-take	拿				
92	92	the hoof	264	152	126	hoof	蹄子							
93	93	horizontal	1001	2376	714	horizontal	橫							
94	94	the horn (keratinized skin)	263	1393				64	horn	角				
95	95	the horse	268	615	83	stallion	公馬							
96	96	hot	1062	1286				98	hot	熱	144	hot	热	
97	97	the house	494	1252	243	building // house	房子				40	house	房子	
98	98	hundred	824	1634										!!!
99	99	to hunt	1230	1435				21	hunt	打獵				
100	100	the husband	247	1200	444	husband	丈夫	186	husband	丈夫	73	husband	丈夫	
101	101	I [first person singular]	928	1209	806	I (first person singular)	我	149	I	我	105	I	我	
102	102	the ice	17	617	10	ice	冰	4	ice	冰				
103	103	inside	715	1606							135	inside	里面	
104	104	to kill	1602	1417	599	kill	殺	106	kill	殺				
105	105	to knead	1594	274	518	knead	捏							
106	106	the knee	101	1371	400	knee	膝蓋	153	knee	膝	59	knee	膝盖	
107	107	knife	549	1352	327	small knife	小刀兒							
108	108	to know (something)	1798	1410	672	know	知道	189	know	知道				
109	109	the lake	31	624	19	lake	湖	55	lake	湖				
110	110	late	1019	477	749	late	晚							
111	111	to laugh	1735	1355				157	laugh	笑				
112	112	the leaf	376	628				169	leaf	葉				
113	113	to learn	1742	504	643	learn	學							
114	114	left	710	244				200	leftside	左邊	132	left	左边	
115	115	to lick	1674	319	511	lick (with tongue)	舔							
116	116	to lie down	1661	215	575	lie down, lie (sleep)	躺							
117	117	light (of weight)	1052	1052	723	light (of weight)	輕							
118	118	the lip (the lips)	85	478										!!!
119	119	the liver	145	1224				38	liver	肝				
120	120	long	972	1203	696	long	長	10	long	長	149	long	长	
121	121	the louse	356	1392				114	louse	獅子				
122	122	the lung	143	688										!!!
123	123	the man (male human)	173	2106				86	man	男人				
124	124	many	987	1198				29	many	多				
125	125	to marry (a man marries a woman)	1578	2164	637	marry (of a man)	結婚(指男方)							
126	126	the meat	443	634				101	flesh	肉				
127	127	middle	708	1093	473	centre, in the middle of	中間				134	in the middle	当中	
128	128	the moon	4	1313	2	moon	月亮	179	moon	月亮	2	moon	月亮	
129	129	morning	749	1339	38	morning	早晨							
130	130	the mosquito	360	1509	119	mosquito	蚊子							
131	131	the mother	219	1216	426	mother (mommy)	媽媽	81	mather	母親	62	mother	妈妈	
132	132	the mountain	23	639				108	mountain	山				
133	133	the mouse or rat	320	2139	70	rat, mouse	老鼠							
134	134	the mouth	84	674	387	mouth	嘴	199	mouth	嘴				
135	135	the mud	46	640	60	mud, earth	泥							
136	136	the nail (fingernail or claw)	113	2128				196	claw	爪子				
137	137	the name	687	1405				80	name	名字				
138	138	narrow	977	1267	701	narrow	窄	184	narrow	窄				
139	139	near	975	1942				67	near	近				
140	140	the neck	89	1333	389	neck	脖子	5	neck	脖子	53	neck	脖子	
141	141	the needle (for sewing)	578	1382	293	needle	針							
142	142	new	1050	1231				159	new	新				
143	143	nine	805	1483							171	nine	九	
144	144	the nit	357	267										!!!
145	145	noon	750	12	40	noon	中午							
146	146	the nose	80	1221	385	nose	鼻子	3	nose	鼻子	52	nose	鼻子	
147	147	old (of person)	1058	2112	778	old, aged	老(不年輕)	74	old	老				
148	148	one	797	1493				170	one	一	163	one	一	
149	149	the otter	317	15										!!!
150	150	outside	714	762	470	out, outside	外面				136	outside	外面	
151	151	the pig	284	1337							32	pig	猪	
152	152	to plant (vegetals, rice)	1774	1486										!!!
153	153	to play	1703	1413	644	play	玩兒	145	play	玩				
154	154	to pull	1568	1455	538	pull	拉	72	pull	拉				
155	155	to push	1689	1452	534	push	推	142	push	推				
156	156	the rain	10	658	5	rain	雨	176	rain	雨				
157	157	the rainbow	11	1733	14	rainbow	虹				11	rainbow	虹	
158	158	red	1007	156				52	red	紅				
159	159	to reside (live)	1452	1099										!!!
160	160	the rice plant	439	2026	137	rice plant	稻子							
161	161	right	711	1019				173	rightside	右邊	133	right	右边	
162	162	the river	30	666				50	river	江				
163	163	the road	38	667				77	path	路				
164	164	the root	375	670				40	root	根				
165	165	the rope	619	1218	296	rope	繩子	113	rope	繩子				
166	166	round	990	1395	709	circular, round	圓	177	round	圓				
167	167	to run	1544	1519	568	run	跑							
168	168	the salt	61	1274				166	salt	鹽	86	salt	盐	
169	169	salty	1076	1091	766	salty	鹹				139	salty	咸	
170	170	the sand	44	671				107	sand	沙子				
171	171	to scratch	1530	1436	656	scratch (to relieve itch)	抓癢	195	scratch	抓				
172	172	the sea	32	1474				45	sea	海				
173	173	to see	1471	1409	500	look, see	看	69	see	看見				
174	174	the seed	405	714				193	seed	種籽				
175	175	seven	803	1704							169	seven	七	
176	176	sharp	1020	1396	746	sharp (knife)	快(鋒利)	63	sharp	尖				
177	177	the sheep	275	1331	91	sheep, goat	羊							
178	178	to shoot (an arrow)	1611	1172										!!!
179	179	short	973	1645	697	short	短	27	short	短	150	short	短	
180	180	the shoulder	90	1482										!!!
181	181	shy	1365	487	805	shy	害羞							
182	182	the sickle	624	341	332	sickle (tool)	鐮刀							
183	183	to sing	1184	1261				12	sing	唱				
184	184	six	802	1703							168	six	六	
185	185	the skin	120	763				93	skin	皮膚				
186	186	the sky	1	1732				136	sky	天空				
187	187	to sleep	1646	1585	650	sleep	睡覺	125	sleep	睡				
188	188	small	965	1246	692	small	小	156	small	小	148	tiny	细	
189	189	to smell (perceive odor) [transitive]	1707	1586	504	smell (something)	聞	148	smell	聞				
190	190	the smoke	19	778				165	smoke	煙				
191	191	smooth	1037	1234				95	smooth	平				
192	192	the snake	347	730	123	snake	蛇	112	snake	蛇				
193	193	the snow	12	784	9	snow	雪	161	snow	雪				
194	194	soft	1035	1856	731	soft, flexible	軟							
195	195	the son	220	1620	457	son	兒子				75	son	儿子	
196	196	the sparrow	336	1854	77	sparrow	麻雀				37	sparrow	麻雀	
197	197	the spider	361	843	121	spider	蜘蛛							
198	198	to spit	1688	1440				141	spit	吐				
199	199	to stand	1784	1442				185	stand	站				
200	200	the star	5	1430	3	star	星	160	star	星星	3	star	星星	
201	201	to steal	1686	713										!!!
202	202	the stick	586	1295				43	stick	棍子				
203	203	the stone (a piece of)	0043	857	59	stone	石頭	117	stone	石頭				
204	204	straight	1003	1404	716	straight, erect	直	191	straight	直				
205	205	the sun	2	1343	1	sun	太陽	133	sun	太陽	1	sun	太阳	
206	206	the tail	267	1220	128	tail	尾巴	147	tail	尾巴				
207	207	ten	806	1515							172	ten	十	
208	208	that	947	78	823	those	那些	84	that	那	119	that	那个	
209	209	there	950	1937	827	that side, there	那邊	85	there	那人	116	there	那里	
210	210	thick	980	1244	702	thick	厚	53	thick	厚	147	thick	粗	
211	211	the thigh	100	800	399	thigh (upper leg)	大腿							
212	212	thin (object)	981	2307	703	thin	薄								
213	213	to think (reflect)	1726	1415				155	think	想				
214	214	this	942	1214	822	these	這些	187	this	這	118	this	这个	
215	215	thou [second person singular]	931	1215	807	you (second person singular)	你				106	thou	你	
216	216	three	799	492				104	three	三	165	three	三	
217	217	to throw	1687	1456	564	throw, throw away	扔	100	throw	扔				
218	218	the thunder	8	1150	494	thunder	打雷							
219	219	the tiger	304	846	63	tiger	老虎							
220	220	today	738	1283	29	today	今天				20	today	今天	
221	221	tomorrow	742	1329	30	tomorrow	明天				18	tomorrow	明天	
222	222	the tongue	139	1205	388	tongue	舌頭	111	tongue	舌頭				
223	223	the tooth (front)	137	1380				164	tooth	牙齒				
224	224	the tree	372	906				119	tree	樹				
225	225	twenty	816	1710							175	twenty	二十	
226	226	two	798	1498				31	two	二	164	two	二	
227	227	to vomit	1535	1278				91	vomit	嘔吐				
228	228	to walk	1815	1443	567	walk, go (on foot), leave	走	198	walk	走				
229	229	the water	47	948				123	water	水				
230	230	we [first person plural inclusive]	930	1131	810	we (first person plural inclusive)	咱們				111	we (inclusive)	咱们	
231	231	wet	1029	1726	726	wet	濕	115	wet	濕				
232	232	what	954	1236	831	what	什麽	116	what	什麼	114	what	什么	
233	233	the wheat	410	1077	141	wheat	麥子				22	wheat	麦子	
234	234	where	955	1237	834	which place, where	哪邊	83	where	哪裡	117	where	哪里	
235	235	white	1006	1335				1	white	白				
236	236	who	953	1235	830	who	誰	122	who	誰	113	who	谁	
237	237	the wife	248	1199	445	wife	妻子	96	wife	妻子	74	wife	妻子	
238	238	the wind	9	960	4	wind	風	33	wind	風				
239	239	the wing	298	1257	125	wing	翅膀	15	wing	翅膀				
240	240	to wipe	1163	1454										
241	241	the wolf	324	522	66	wolf	狼							
242	242	the woman	174	962	402	woman	女人	90	woman	女人	90	woman	女人	
243	243	the wood (material)	511	1803	336	wood	木頭							
244	244	to sow (broadcast, scatter seeds)	1597	748										!!!
245	245	the year	777	1226				88	year	年				
246	246	yellow	1008	1424				58	yellow	黃				
247	247	yesterday	739	1174	33	yesterday	昨天				19	yesterday	昨天	
248	248	you [second person plural]	933	1213	811	you (second person plural)	你們	87	you	你	109	you	你们	
249	249	young	1059	1207	779	young	年輕							
250	250	the shit	151	676	658	defecate, shit	拉(拉屎)							
