ID	DOCULECT	CONCEPT	HANZI	ENTRY_IN_SOURCE	NOTE
2	Guzhang	the mud	□壤	bi13 ɲiaŋ33	
3	Guzhang	soft	□	bi13	
4	Guzhang	firewood	薪	ɕiɛ33	
5	Guzhang	horizontal	□	du13	
6	Guzhang	the wolf	豺犬	dza13 khuai25	
7	Guzhang	salty	鹽	dzai13	
8	Guzhang	hot	热	dzɤ41	subjective feeling
9	Guzhang	hot	熱和	dzɤ41 xo	warm
10	Guzhang	forget	□忘□	ɤ41 mɤŋ33 iɛ41	
11	Guzhang	the lip (the lips)	口皮	kha25 fa13	
12	Guzhang	yesterday	□□	kho33 tɕiəɯ55	
13	Guzhang	the flea	犬蚤	khuai25 tsau25	
14	Guzhang	marry (a man marries a woman)	□親	la33 tɕhiɛ33	
15	Guzhang	the frog	癩□□	la33 vu13 mau25	
16	Guzhang	inside	裏	la55	
17	Guzhang	the dew	露水	ləɯ33 tsu25	
18	Guzhang	late	迟	li13	(arrive) late; en retard
19	Guzhang	inside	□頭	lin41 ta	
20	Guzhang	the ant	□□子	lo13 min13 tsa55	
21	Guzhang	knead	□	lu55	
22	Guzhang	inside	□裡	luei13 la55	
23	Guzhang	dark	□	mau13	cloudy, overcast, extracted from □天 mau13 thai55 cloudy day, overcast day
24	Guzhang	the horse	馬	mo25	
25	Guzhang	the rainbow	螞蟥	mo25 ɤŋ41	
26	Guzhang	the wheat	麦	mo41	
27	Guzhang	the sparrow	麻雀子	mo55 tsu41 tsɪ	
28	Guzhang	tomorrow	□朝	moŋ55 tiau55	
29	Guzhang	the daughter	女	ɳiəɯ25	
30	Guzhang	noon	日裡	ŋ41 la25	
31	Guzhang	today	日裡	ŋ41 la25	
32	Guzhang	the tiger	豹虎	phao13 khu25	
33	Guzhang	hot	□	po55	burning hot
34	Guzhang	the nit	虱雞卵	sa41 ka55 kɤŋ33	
35	Guzhang	the frost	霜	sɤŋ55	
36	Guzhang	the front (front side)	頭	ta13	
37	Guzhang	the front (front side)	頭□	ta13 pi25	
38	Guzhang	the bamboo	竹子	tɕiəɯ41 tsa	
39	Guzhang	outside	□□	təɯ41 mai	
40	Guzhang	middle	當中	tɤŋ55 tiau55	
41	Guzhang	the frog	土□□	thɤ25 vu13 mau25	
42	Guzhang	morning	朝頭	tiau55 ta22	
43	Guzhang	the pig	豬	tiəɯ55	
44	Guzhang	the hoof	蹄	tiɛ13	
45	Guzhang	the son	子	tsa25	
46	Guzhang	the armpit	□胳膀□	tso41 ku33 paŋ13 la	
47	Guzhang	the otter	水獺	tsu25 tho13	
48	Guzhang	learn	悟	u33	
49	Guzhang	the sheep	羊	zɤŋ13	
50	Guzhang	knead 	□	zua13	knead noodles
51	Guzhang	the earthworm	蚓	zuai25	
