ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
1	Ukhrul	I [first person singular]	526744	1209	928	1sg, I, me	ʔi	ʔ i
2	Ukhrul	above	525899	1741	731	over ?	kə-kan	k ə + k a n
3	Ukhrul	big	526112	1202	964	big	kə-haka	k ə + h a k a
5	Ukhrul	black	525757	163	1005	black (be v.)	kə-tsik	k ə + ts i k
6	Ukhrul	black	527926	163	1005	black (be v.)	kʰə-mə-haŋ	kʰ ə + m ə + h a ŋ
7	Ukhrul	cold (of temperature)	526925	1287	1063	cold	kʰə-mə-ku	kʰ ə + m ə + k u
8	Ukhrul	dark	528360	706	1013	dark (due to cloud) (be v.)	kʰə-ŋə-mi	kʰ ə + ŋ ə + m i
9	Ukhrul	dirty	528747	1230	1086	dirty	kʰə-mə-kʰow	kʰ ə + m ə + kʰ o w
10	Ukhrul	dry	527411	1398	1028	dry	kʰə-mə-tʰen	kʰ ə + m ə + tʰ e n
11	Ukhrul	early	527433	672	1018	early (be v.)	kə-tʰor	k ə + tʰ o r
12	Ukhrul	eight	525876	1705	804	eight	ci-ʃat	c i + ʃ a t
13	Ukhrul	far	528772	1406	974	far	kla	k l a
14	Ukhrul	five	526131	493	801	five	pʰə-ŋa	pʰ ə + ŋ a
16	Ukhrul	four	526634	1500	800	four	mə-ti	m ə + t i
17	Ukhrul	full	526688	1429	984	full	kə-pem	k ə + p e m
18	Ukhrul	good	528628	1035	1052	beautiful (be v.)	kʰə-mə-tʰa	kʰ ə + m ə + tʰ a
19	Ukhrul	good	525989	1035	1052	good	pʰa	pʰ a
20	Ukhrul	green	528744	1425	1009	green (be v.)	kʰə-mə-tek	kʰ ə + m ə + t e k
21	Ukhrul	hard	527687	1884	1034	hard (be v.)	kʰə-mə-rɐr	kʰ ə + m ə + r ɐ r
22	Ukhrul	he or she [third person singular]	526904	262	934	he / she	ʔa	ʔ a
