NUMBER	ENGLISH	CONCEPTICON_ID	TBL_ID	SRCID	SRCGLOSS
29	I [first person singular]	1209	928	541874	
1	above	1741	731	546851	above, over (pp.)
2	all	98	962	547338	all (adj.)
2	all	98	962	547421	all (adj.)
3	bad	1292	1053	546968	bad (adj.)
4	below, under	1485	732	547526	under, below (pp.)
4	below, under	1485	732	547530	under, below (pp.)
5	big	1202	964	546280	big (adj.)
5	big	1202	964	547507	big (adj.)
6	black	163	1005	547492	black (adj.)
7	cold (of temperature)	1287	1063		547394
8	correct (right)	1725	1045	547373	correct (adj.)
!9	dark	706	1013	547075	night (adv.)
10	dirty	1230	1086	547051	dirty (adj.)
11	dry	1398	1028	547336	coarse, dry (adj.)
12	early	672	1018		
13	eight	1705	804	546264	eight (num.)
14	far	1406	974	546561	far away (adv.)
15	firewood	10	534		
16	five	493	801	547172	five (num.)
17	four	1500	800	547219	four (num.)
18	full	1429	984	547227	whole, full (adj.)
19	good	1035	1052	547184	good (adj.)
20	green	1425	1009	546759	green (adj.)
21	hard	1884	1034	546509	hard (adj.)
21	hard	1884	1034	546898	hard (adj.)
22	he or she [third person singular]	262	934		546593
23	heavy	1210	1014	546379	heavy (adj.)
23	heavy	1210	1014	546996	heavy (adj.)
24	here	136	944	546556	here (adv.)
25	high / tall	1265	968	547575	high (adj.)
26	horizontal	2376	1001		547523
27	hot	1286	1062	546421	hot (adj.)
28	hundred	1634	824	546676	hundred (num.)
28	hundred	1634	824	547401	hundred (num.)
30	inside	1606	715	546225	inside (pp.)
31	knife	1352	549	546406	knife (n.)
32	late	477	1019		542653
33	left	244	710	546301	left side (adj.)
34	light (of weight)	1052	1052	547607	light (in weight) (adj.)
35	long	1203	972	547350	long, tall (adj.)
36	many	1198	987	547483	many (adj.)
37	middle	1093	708		
38	morning	1339	749	547079	morning (adv.)
39	narrow	1267	977	546219	tight, narrow (adj.)
40	near	1942	975	546998	near (adv.)
41	new	1231	1050	547143	new (adj.)
42	nine	1483	805	547142	nine (num.)
43	noon	12	750	547292	noon (adj.)
44	old (of person)	2112	1058	547615	old (adj.)
45	one	1493	797	547488	one (num.)
46	outside	762	714		546517
47	red	156	1007	547090	red (adj.)
48	right	1019	711	546538	right side (n.)
49	round	1395	990		541738
50	salty	1091	1076		
51	seven	1704	803	547364	seven (num.)
52	sharp	1396	1020	546410	sharp (adj.)
53	short	1645	973	547508	short (adj.)
54	shy	487	1365		546879
55	six	1703	802	546473	six (num.)
56	small	1246	965	546423	small, a little bit (solidthings) (adj.)
57	smooth	1234	1037		
58	soft	1856	1035	546335	soft (adj.)
58	soft	1856	1035	547077	soft (adj.)
59	straight	1404	1003	547381	direct, straight (adj.)
60	ten	1515	806	546516	ten (num.)
61	that	78	947	546943	what, that (adv.)
62	the ant	587	365	546865	ant (n.)
63	the armpit	1886	92	546886	armpit (n.)
64	the bamboo	1927	389	546290	bamboo (n.)
65	the barley (tibetan or highland)	932	411		
66	the belly	1251	96		
67	the bird	937	326	547206	bird (n.)
68	the blood	946	129	547445	blood (n.)
69	the body hair (hair or fur)	189	266		
70	the bone	1394	133	546737	bone (n.)
71	the branch	1531	374		
72	the breast (female)	1402	94	546241	breast (n.)
73	the child (young human)	1304	169	547378	child (n.)
74	the cloud	1489	7	546296	cloud (n.)
75	the daughter	1357	222	546414	daughter (n.)
76	the dew	1977	15	547186	dew (n.)
77	the dog	2009	289	546849	bite of snake, dog (n.)
78	the dream	2374	699	547097	dream (n.)
79	the dust	2	45	546610	dust (n.)
80	the ear	1247	81	546892	ear (n.)
81	the earth (soil)	1228	40	547497	bottom, soil (n.)
82	the earthworm	2350	363		
83	the egg	744	450	546222	egg (n.)
83	the egg	744	450	547617	egg (n.)
84	the eye	1248	79	547057	eye (n.)
