ID	DOCULECT	CONCEPT	CONCEPTID	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	RGEN	TOKENS
1	Byangsi	I [first person singular]	29	1209	928	1sg, I, me	541874	j e
2	Byangsi	above	1	1741	731	above	542635	ya r t o
3	Byangsi	all	2	98	962	all	541979	l ai r i
4	Byangsi	bad	3	1292	1053	bad	542623	ya dd ɛ
5	Byangsi	below, under	4	1485	732	below, down	542651	yi kh o
6	Byangsi	big	5	1202	964	big	542222	p o d a
7	Byangsi	black	6	163	1005	black	542607	w a m d ɛ
8	Byangsi	cold (of temperature)	7	1287	1063	cold	541948	kh a t
9	Byangsi	dirty	10	1230	1086	dirty	541952	kh i: t ɛ
10	Byangsi	dry	11	1398	1028	dry (from the state of being wet)	542265	ph o d a
11	Byangsi	eight	13	1705	804	eight	541872	j ɛ d ɛ
12	Byangsi	far	14	1406	974	longer path, far away	542613	w a th ɛ
13	Byangsi	five	16	493	801	five	542159	ŋ ai
14	Byangsi	four	17	1500	800	four	542220	p i
15	Byangsi	full	18	1429	984	full	542569	ts e b i n d ɛ
16	Byangsi	good	19	1035	1052	beautiful	541728	d 5 a ŋ th e
17	Byangsi	green	20	1425	1009	green (literally green grass)	542466	t i n c i
18	Byangsi	hard	21	1884	1034	hard	541904	k a: ŋ d ɛ
19	Byangsi	heavy	23	1210	1014	heavy	542039	h l i: ◦ th ɛ
20	Byangsi	here	24	136	944	here	541531	a n ɛ
21	Byangsi	here	24	136	944	here	541520	ai kh o
22	Byangsi	high / tall	25	1265	968	height, high	542504	th ɛ d ɛ
23	Byangsi	hot	27	1286	1062	hot, heat	542020	l u ŋ d a
24	Byangsi	hundred	28	1634	824	hundred	542353	s ai
25	Byangsi	hundred	28	1634	824	hundred	542284	r à
26	Byangsi	inside	30	1606	715	inside	541615	c i kh u
27	Byangsi	late	32	477	1019	late	542653	yi l th ɛ
28	Byangsi	left	33	244	710	left side of the body	542431	ʃ ya r t a m
29	Byangsi	light (of weight)	34	1052	1052	light (in weight)	542141	n ya ŋ th ɛ
30	Byangsi	long	35	1203	972	tall, long	541584	b u ŋ th ɛ
31	Byangsi	many	36	1198	987	many	542061	m a t m ı̀
32	Byangsi	middle	37	1093	708	in the middle	541801	g u n d a:
33	Byangsi	morning	38	1339	749	morning	541563	b a ŋ kh a r
34	Byangsi	narrow	39	1267	977	narrow	541877	j i r d ɛ
35	Byangsi	near	40	1942	975	near	542142	n ye r o
36	Byangsi	new	41	1231	1050	new	542137	n u: d ɛ
37	Byangsi	nine	42	1483	805	nine	541792	g ui
38	Byangsi	noon	43	12	750	noon	542180	n 5 i s ɛ , _ n 5 i ch ɛ
39	Byangsi	old (of person)	44	2112	1058	old (person)	542390	ʃ a ŋ th e
40	Byangsi	one	45	1493	797	one	542461	t i g ɛ
41	Byangsi	outside	46	762	714	outside	542200	p a ŋ ph a n
42	Byangsi	red	47	156	1007	red	542048	m a ŋ d ɛ
43	Byangsi	right	48	1019	711	right side of the body	542441	t a k t a m
44	Byangsi	salty	50	1091	1076	round from the outer side	541738	dz a m
45	Byangsi	seven	51	1704	803	seven	542132	n i ʃ ɛ
46	Byangsi	sharp	52	1396	1020	sharp (instrument)	542568	ts a n th ɛ
47	Byangsi	short	53	1645	973	short	542546	t 5 ə n th ɛ
48	Byangsi	shy	54	487	1365	be ashamed of	542323	h r a: m o
49	Byangsi	six	55	1703	802	six	542540	t 5 u g u
50	Byangsi	small	56	1246	965	small	542064	m i: d ɛ
51	Byangsi	smooth	57	1234	1037	smooth	541737	dz a m t a
52	Byangsi	soft	58	1856	1035	soft	542106	n a k t ɛ
53	Byangsi	straight	59	1404	1003	straight	542027	h l a: d e
54	Byangsi	ten	60	1515	806	ten	541624	c ı̀
55	Byangsi	that	61	78	947	dem. pro. that (remote)	541541	a t i
56	Byangsi	the ant	62	587	365	ant	542136	n ɔ ŋ k r ɔ̀
57	Byangsi	the armpit	63	1886	92	armpit	541631	c u k l i
58	Byangsi	the bamboo	64	1927	389	bamboo	542642	ye l b a:
59	Byangsi	the belly	66	1251	96	belly	541695	d a n
60	Byangsi	the bird	67	937	326	bird	541618	c i p ts ɛ
61	Byangsi	the blood	68	946	129	blood	542398	ʃ ı̀
62	Byangsi	the body hair (hair or fur)	69	189	266	pubic hair	541892	k a c a ŋ
63	Byangsi	the bone	70	1394	133	bone	542300	r ɛ̀
64	Byangsi	the branch	71	1531	374	branch of tree	541720	d 5 a l i
65	Byangsi	the breast (female)	72	1402	94	breast	542402	ʃ i m e
66	Byangsi	the child (young human)	73	1304	169	child	542394	ʃ e n d ɛ
67	Byangsi	the cloud	74	1489	7	cloud	541910	k a s a:
68	Byangsi	the daughter	75	1357	222	girl, daughter	542565	ts a m e
69	Byangsi	the dew	76	1977	15	dew-drops	542400	ʃ ı̀ l
70	Byangsi	the dog	77	2009	289	dog	542176	n 5 i kh i
71	Byangsi	the dream	78	2374	699	dream	542052	m a ŋ
72	Byangsi	the dust	79	2	45	dust	542359	s a ph a
73	Byangsi	the ear	80	1247	81	ear	542324	h r a c ɛ
74	Byangsi	the earth (soil)	81	1228	40	soil	542346	s a
75	Byangsi	the egg	83	744	450	egg	542436	t ə m
76	Byangsi	the eye	84	1248	79	eye	542091	m y \ ɛ
77	Byangsi	the father	85	1217	218	father (term of reference)	541568	b a
78	Byangsi	the feather	86	1201	299	feather	542295	r a ŋ ◦ p l i
79	Byangsi	the fire	87	221	18	fire	542066	m ɨ è
80	Byangsi	the fish	88	227	351	fish	542182	n 5 ya:
81	Byangsi	the flea	89	232	355	flea	542095	m ə tt i
82	Byangsi	the flower	90	239	377	flower	541613	c ɛ
83	Byangsi	the fog	91	249	16	fog	541823	h au l a:
84	Byangsi	the foot	92	1301	103	foot	542006	l i k e
85	Byangsi	the forest	93	420	50	forest	542365	s e r ɛ̀
86	Byangsi	the fox	94	1312	325	fox	541786	g o n u
87	Byangsi	the frog	95	503	349	frog	542196	p a l o
88	Byangsi	the front (front side)	96	2194	712	in front, before	542329	h r a t a m
89	Byangsi	the frost	97	2034	14	frost	542100	h m ya r
90	Byangsi	the fruit	98	1507	378	fruit	542004	l e
91	Byangsi	the goat	99	1502	276	sheep or goat (generic term)	542043	m a: l a:
92	Byangsi	the grass	100	606	436	grass	542571	ts ı̀
93	Byangsi	the hail	101	609	13	hailstone	542360	s a r a:
94	Byangsi	the hair (of the head)	102	1040	75	hair of head	542242	p ə ʃ a k _ ch a m
95	Byangsi	the hand	103	1277	107	hand	541975	l à
96	Byangsi	the head	104	1256	74	head	542241	p ə ʃ a:
97	Byangsi	the heart	105	1223	144	heart	542416	ʃ i ◦ s ɔ
98	Byangsi	the horn (keratinized skin)	107	1393	263	corner (inside the house); horn	542319	r u
99	Byangsi	the horse	108	615	268	horse	542327	h r a ŋ
100	Byangsi	the horse	108	615	268	horse	542263	ph o h r a ŋ
101	Byangsi	the husband	110	1200	247	husband	542340	h r i th i
102	Byangsi	the ice	111	617	17	ice	542463	t ɨ l i n
103	Byangsi	the knee	112	1371	101	knee	542237	p ye
104	Byangsi	the lake	113	624	31	lake	541677	ch ò
105	Byangsi	the leaf	114	628	376	leaf	542193	p a: t
106	Byangsi	the lip (the lips)	115	478	85	lips	541527	a k p l e
107	Byangsi	the liver	116	1224	145	liver	541671	ch i n ch a:
108	Byangsi	the louse	117	1392	356	louse	542074	m ɨ n j e
109	Byangsi	the lung	118	688	143	lungs	542019	l u ŋ b a r
110	Byangsi	the meat	120	634	443	meat, flesh	542425	ʃ y à:
111	Byangsi	the moon	121	1313	4	moon, month	542037	h l à
112	Byangsi	the mother	123	1216	219	mother	542174	n 5 a
113	Byangsi	the mountain	124	639	23	mountain,  a type of flour	542647	yɛ̀
114	Byangsi	the mouse or rat	125	2139	320	rat	541706	d u m u
115	Byangsi	the mouse or rat	125	2139	320	mouse	542131	n i p u
116	Byangsi	the mouth	126	674	84	mouth	541548	a:
117	Byangsi	the mud	127	640	46	mud	541890	k a c a: r
118	Byangsi	the nail (fingernail or claw)	128	2128	113	nail	541983	l a k ◦ ʃ i n
119	Byangsi	the name	129	1405	687	name	542098	h m i n
120	Byangsi	the neck	130	1333	89	back of skull, neck	541920	k o ŋ k r o
121	Byangsi	the nose	133	1221	80	nose	542156	h n i m
122	Byangsi	the rice plant	138	2026	439	rice	542257	ph ə ts a p
123	Byangsi	the river	139	666	30	river	542631	ya ŋ t i
124	Byangsi	the root	141	670	375	root	541865	j a ɾ i
125	Byangsi	the rope	142	1218	619	rope	541863	j a ŋ
126	Byangsi	the salt	143	1274	61	salt	542577	tsh à:
127	Byangsi	the sand	144	671	44	sand	541554	b a l w a:
128	Byangsi	the sea	145	1474	32	sea	542356	s a m u n d r o
129	Byangsi	the seed	146	714	405	seed	542213	p i j ɛ
130	Byangsi	the sheep	147	1331	275	sheep	542044	m a: m l a:
131	Byangsi	the shoulder	149	1482	90	shoulder	542309	r ɔ ŋ
132	Byangsi	the sickle	150	341	624	sickle	541526	a kh a n
133	Byangsi	the skin	151	763	120	skin	541571	b ɛ
134	Byangsi	the sky	152	1732	1	sky; blue	542464	t i m b u
135	Byangsi	the smoke	153	778	19	smoke	541969	kh ù
136	Byangsi	the snake	154	730	347	snake	541939	kh a b u
137	Byangsi	the snow	155	784	12	snow	542343	h r ɔ
138	Byangsi	the son	156	1620	220	boy, son	542411	ʃ i r i
139	Byangsi	the star	159	1430	5	star	541907	k a r m a:
140	Byangsi	the stick	160	1295	586	stick	541702	d u l i
141	Byangsi	the stone (a piece of)	161	857	379	stone	542595	u ŋ
142	Byangsi	the sun	162	1343	2	sun	542181	n 5 i
143	Byangsi	the tail	163	1220	267	tail	542239	p ə ch n i
144	Byangsi	the thigh	164	800	100	thigh	541984	l a k ʃ ya:
145	Byangsi	the thunder	165	1150	8	thunder, dragon	542089	m u k n a:
146	Byangsi	the tiger	166	846	304	tiger	542599	w a
147	Byangsi	the tongue	167	1205	139	tongue	541857	j a b l ye
148	Byangsi	the tooth (front)	168	1380	137	tooth	542370	s ò
149	Byangsi	the water	170	948	47	water	542459	t i
150	Byangsi	the wheat	171	1077	410	wheat	542288	r a j ɛ
151	Byangsi	the wife	172	1199	248	wife	542339	h r i th i ʃ ya:
152	Byangsi	the wind	173	960	9	wind	542123	n ə l a n
