ID	DOCULECT	CONCEPT	IPA	TOKENS	SOURCE	GLOSS_IN_SOURCE	NOTE	POS
57	Bunan	I [first person singular]	gi	g i	Widmer2014	I		pron
75	Bunan	above	jartok	j a r t o k	Widmer2014	on, above	Comment (by Widmer2014): «WT yar thog»	postp
224	Bunan	all	tsʰaŋi	tsʰ a ŋ i	Widmer2014	all	Comment (by Widmer2014): «WT tshang / ZZ tha-ts(h)an»	adj
132	Bunan	bad	marap	m a r a p	Widmer2014	bad	Comment (by Widmer2014): «WT ma rabs»	adj
235	Bunan	below, under	tʰildok	tʰ i l d o k	Widmer2014	under, below	Comment (by Widmer2014): «WT mthil "bottom, lowest part"»	postp
209	Bunan	big	tedzi	t e dz i	Widmer2014	big, honest	Comment (by Widmer2014): «PTB *tay / Rongpo te 'viel, sehr viel' (Zoller 1983) /»	adj
94	Bunan	black	kʰaj	kʰ a j	Widmer2014	black	Comment (by Widmer2014): «ZZ kha-rlon»	adj
55	Bunan	cold (of temperature)	gartɕam	g a r tɕ a m	Widmer2014	cold	Comment (by Widmer2014): «WT cham pa»	n
181	Bunan	cold (of temperature)	soj	s o j	Widmer2014	cold		adj
214	Bunan	correct (right)	tokna	t o k n a	Widmer2014	correct, right		adj
142	Bunan	dark	munɖak	m u n ɖ a k	Widmer2014	darkness	Comment (by Widmer2014): «WT mun pa "fog", mun nag "darkness"»	n
179	Bunan	dirty	sej	s e j	Widmer2014	dirty		adj
101	Bunan	dry	kʰjoj	kʰ j o j	Widmer2014	dry		adj
154	Bunan	early	ŋaj	ŋ a j	Widmer2014	early	Comment (by Widmer2014): «WT snga»	adv (time)
56	Bunan	eight	gej	g e j	Widmer2014	eight	Comment (by Widmer2014): «ZZ gyad / PTB *gyat»	num (G)
239	Bunan	far	waj	w a j	Widmer2014	far (away)	Comment (by Widmer2014): «PTB *wəy»	adj
134	Bunan	firewood	meɕiŋ	m e ɕ i ŋ	Widmer2014	firewood	Comment (by Widmer2014): «WT me shing»	n
153	Bunan	five	ŋa	ŋ a	Widmer2014	five	Comment (by Widmer2014): «WT lnga»	num (T)
158	Bunan	four	piː	p iː	Widmer2014	four	Comment (by Widmer2014): «ZZ bing ~ zhi / PTB *ləy»	num (G)
15	Bunan	full	bik	b i k	Widmer2014	full		adj
52	Bunan	good	epo	e p o	Widmer2014	good		adj
212	Bunan	green	tiŋi	t i ŋ i	Widmer2014	blue/green	Comment (by Widmer2014): «ZZ ting»	adj
89	Bunan	hard	kraŋi	k r a ŋ i	Widmer2014	hard	Comment (by Widmer2014): «WT krag krag "hard, stiff" (?)»	adj
194	Bunan	he or she [third person singular]	tal	t a l	Widmer2014	he/she		pron
122	Bunan	heavy	liː	l iː	Widmer2014	heavy	Comment (by Widmer2014): «WT diverse Bildungen mit lci / lji /»	adj
100	Bunan	here	kʰjak	kʰ j a k	Widmer2014	here		dem (loc)
237	Bunan	high / tall	tʰoj	tʰ o j	Widmer2014	high	Comment (by Widmer2014): «WT mtho»	adj
168	Bunan	horizontal	pʰrettok	pʰ r e tt o k	Widmer2014	horizontal	Comment (by Widmer2014): «WT phred ~ 'phred»	adv (manner)
206	Bunan	hot	tɕʰej	tɕʰ e j	Widmer2014	warm, hot		adj
58	Bunan	hundred	gja	g j a	Widmer2014	hundred	Comment (by Widmer2014): «WT brgya / PTB *gya»	num (T)
145	Bunan	inside	naŋ	n a ŋ	Widmer2014	inside	Comment (by Widmer2014): «WT nang "interior, room, home"»	n
106	Bunan	knife	kʰur	kʰ u r	Widmer2014	knife	Comment (by Widmer2014): «- / WT kug star»	n
196	Bunan	knife	tɕaku	tɕ a k u	Widmer2014	knife	Comment (by Widmer2014): «H cākū»	n
38	Bunan	late	daltok	d a l t o k	Widmer2014	slow, late	Comment (by Widmer2014): «WT dal po / dal bu / dal mo»	adv (manner)
78	Bunan	left	jon	j o n	Widmer2014	left(side)	Comment (by Widmer2014): «WT g.yon»	adv (loc)
74	Bunan	light (of weight)	jaŋi	j a ŋ i	Widmer2014	light	Comment (by Widmer2014): «WT yang po»	adj
60	Bunan	long	gjaŋjaŋ	g j a ŋ j a ŋ	Widmer2014	long (in size)	Comment (by Widmer2014): «WT rgyang rgyang "fully extended"»	adj
83	Bunan	middle	kil	k i l	Widmer2014	centre, middle	Comment (by Widmer2014): «WT dkyil»	n
156	Bunan	morning	ŋaro	ŋ a r o	Widmer2014	morning	Comment (by Widmer2014): «WT snga dro»	n
170	Bunan	narrow	pʰuk	pʰ u k	Widmer2014	narrow	Comment (by Widmer2014): «WT -»	adj
82	Bunan	near	katɕaŋ	k a tɕ a ŋ	Widmer2014	near	Comment (by Widmer2014): «WT mchang ?»	postp
140	Bunan	near	mostok	m o s t o k	Widmer2014	near		adv (loc)
151	Bunan	new	nuj	n u j	Widmer2014	new		adj
67	Bunan	nine	gu	g u	Widmer2014	nine	Comment (by Widmer2014): «ZZ gu / PTB *gəw»	num (G)
148	Bunan	noon	nimapʰet	n i m a pʰ e t	Widmer2014	noon	Comment (by Widmer2014): «WT nyi ma»	n
26	Bunan	old (of person)	ɕaŋdzi	ɕ a ŋ dz i	Widmer2014	old (of women)	Comment (by Widmer2014): «ZZ shang ze "old person" / shang mo»	adj
28	Bunan	old (of person)	ɕaŋʈe	ɕ a ŋ ʈ e	Widmer2014	old (of men)	Comment (by Widmer2014): «ZZ shang-ze "old person"»	adj
211	Bunan	one	tiki	t i k i	Widmer2014	one	Comment (by Widmer2014): «ZZ tig / PTB *dik»	num (G)
167	Bunan	outside	pʰilak	pʰ i l a k	Widmer2014	outside	Comment (by Widmer2014): «WT phyi»	adv (loc)
130	Bunan	red	maŋi	m a ŋ i	Widmer2014	red	Comment (by Widmer2014): «WT dmar po ~ *mar po, ZZ mang»	adj
76	Bunan	right	jas	j a s	Widmer2014	right(side)	Comment (by Widmer2014): «WT g.yas»	adv (loc)
218	Bunan	round	tseltsel	ts e l ts e l	Widmer2014	round		adj
147	Bunan	seven	nidʑi	n i dʑ i	Widmer2014	seven	Comment (by Widmer2014): «ZZ sni / PTB *ni»	num (G)
44	Bunan	sharp	dzaŋi	dz a ŋ i	Widmer2014	sharp, holy		adj
227	Bunan	short	tunik	t u n i k	Widmer2014	short	Comment (by Widmer2014): «ZZ thung»	adj
187	Bunan	shy	ʂak	ʂ a k	Widmer2014	shame, shyness	Comment (by Widmer2014): «WT -»	n
216	Bunan	six	truj	t r u j	Widmer2014	six	Comment (by Widmer2014): «ZZ drug / PTB *(k)ruk»	num (G)
86	Bunan	small	kjuktsi	k j u k ts i	Widmer2014	small		adj
