ID	LANGUAGE	GLOSS	IPA	SEGMENTS	SOURCE	A	U	PS	PD	UE	EC	RF	XV	XE	NG	NP	NS	AME	NT	SO	DT	ANALIMAŊ	OULDN'T	AŊTɕEN	OɕMEITIK	ERY	SN	IKKA	STIK		ITTLE	IKI	HARGAN	OUNGEST	ND	AKMA	AZA.	INZA.	SED	CONV22ː1424)	APDZA.	OɕMEI	ETE	HILDREN	APɕET.	EPHEWS	ROTHER	AR	I.	JARGA	APɕI	TO	HE	AVE	ESTOK	ESLANDOK	09)	ALLEY	OUSES.	983ː	RAK(S)KATA.	IDZI	WOHNEN,	SʰAŊTSʰAŊI	RASɕUM.	OɕAK.	RELMEN.	RITɕEK.	WANTSʰA.	ROɕA	RE	ROɕAK.	ACHOTHER.	BROŊSKATA)	ROŊMENǃ	XCAVATE"	OT	HASHUR	?)	OSLASSEN"	HILDRENǃ	UTMEN.	P)	ATER.	AUT	EBRÄUCHLICH!	KʰARMASTOK"	OSE"	OLD	SMALL"	BEDEUTUNG	IELD-WORKER,	OTS	INTERTIME	O	SCAPE"	UREK	AS	EREMONIEN	ERKÖRPERN	ORMANT	TYMOLOGICALLY	ORD	EFORE.	IGHT	GYADUNG".	OUTSʰA.	HROWN	ISTAKE)	321:200)	N	RAIN	D	RUɕI	ORKING.	OING	OKNAŊ	:64)	FLEXIBEL"	EŊDʑI.	OL1ː28	AT	ERAǃ	AːSTOKǃ	PPROPRIATE	ENʑI.	NUR	RAŊDʑOK.	ʰITɕI	EMAŊ	DUNG	Aː.	NSINCERELY.	KURIMTIK	PERFORM	FINGER)NAGEL,	ER	ZIŊTɕUM	ALDOK	ʰATɕIK	OI,	RUNKEN	OUGHT	3:	HNE	ZOMRAŊS	JADZALA,	KʰAƮːAː	ɕʰA	AL	ʰJAMEN	OME,	OGETHER,	THER	..	TOGETHER).	ZOT.	ZUƮʰU	JADZALA	AD	ʰADʑA	IGHT).	EACHING.	CCUSTOMATED"	Iː.	UNCH	STYLE,	REMATION	A.	VERY	ʰUPTɕARE.	ʑUŊDOK	HERE	E	ʑWALTDʑI.	QUALLY.	EUTET	ONASTERY?	BERPRÜFEN!	UNCTION	ONASTERY..	ITTING	JANA	ZHANGZHUNG	OR	OETISCHE	OOD	CCASION	GOISTIC,	ENAK	ARDAŊDOK	ʰIPɕA,	GOMPA]	OOLISHNESS,	IELD.	FFECTIONATELY.	UARRELING.	IKE	AT)	STRAY"	JOTPA	T.	PO	TD	ORM	AGARE.	OK	OME	OTI	WAŊDʑI	ENAK.	HEY	ROWN	ANT	OMAǃ	UDDHAǃ	HOUGHTS	Y	W	LACE"	E.	5.29)	OY'S	ʰUPTɕI	OW.	USAMMEKOMMEN"	ANEINANDER	EAS.	PLUCKING)	64)	ERE	ESTERN	SAID	ROM	NDERSTAND.	Aː	OOD,	FF,	ELTɕEK.	ELGATA.	ELMEN.	ELTɕARE.	ɕʰOTDʑI	PPROVAL	IRECTLY	ANTɕEK.	RUCK.	ERSON	EARS	ESAR).	IKTɕIPAHENʑI.	TRIKE"	APTɕEK.	INDZA.	2.2.588)	LET	ESTERDAY,	IT)	ʰOKDZA.	ARKNESS).	EEN	ARKNESS	AMEN	OOD.	LTE.	EGETABLES.	ʰURTɕARE.	EALIZED	EALIZING	OTSA.	HINGS)"	V'S).	MMEDIATELY.	WAŊDE	ROUGHT	AMEN.	TD)	SUKƮʰU)	ALF	RADITIONAL	LACKSMITH	XPECTED	ONGS	ENDʑI.	ONK	ASHING	INʑET.	UNS	EED	TL	ESSENGER	OMPA.	EMEDʑOK	IED,	NA	NQ	ITH	EARS)	EAR	BARK",	NARR.	ʰADZU	ʑAŊDʑUŊKI	ONƮʰEK.	E)	HANGZHUNG.	OOR)	AY	HEN	WAK.	AGEK.	ILLAR.	AɕIROK	OPE	UF	SHA)	ʰARTɕAŊ	OƮAL	OTTLES.	OULD	ʰARTSA.	ʰETTɕARE.	ʰETTɕEK.	OGETHER"	WEEP	FOREARM"	ʰA	OWN?ǃ	JORGAːSTOK	IRCLE	WAIST'	I:.	RIVEN	ʰUKSA	OUND	AKʰUKSA.	LS	ALLENDER	CHONGS	GAINST"	ANTSUKTIK	AKSɕI	HICH	AMɕIPAHENDʑI.	CCEPT"	ANG,	ANGS,	HARACTERISTIC	UZA.	ONAM	CHLECHT"	CCORDING	BALKENREITER"?	TB	L	G	AMA	ALJOSH	ONASTERY	ORK	EEING	NOWING	ORKING	IKMEN.	ESTERDAY.	USGESPROCHEN,	A-HA-TA-LHA	UDRASAI	AJMDOK	MAŊǃ	OŊʑARE.	OMITING.	CAUSE	OTTɕEK.	IKTɕUMʑI.	WATMENLA?	ONEY?	WASDZA.	WASDʑIǃ	ŊGI	ATTɕʰI,	MABAT]	ZATɕʰI	AKING	EOPLE	EOPLE,	068)	RANGTSE)	REATHY	LD	2.2.247	EANS	WAŊTSʰA.	USA.	I)	ERVOUS,	IRECT"	Z	ENAŊ	HAN	ENDURE,	ONTɕOKTOK	OTKJATANAǃ	EFINITELY	WAŊTɕʰI	HEAVEN-STONE"	ANTSʰA.	ONTROL	RETTAK.	E,	93)	EME	I	OMPA)	I'M	OMPA)).	ORDʑE	SHERING	NƏY	ʰALAK	SOKSE	ECAUSE	UBUɕATIK	ORTɕI	INCHEN	LEAN).	ANTɕA	F	EE	OBILE	AːTALA?	CCEPTANCE	B	EXPERIENCE,	BREATHE,	LIPAHENTɕʰOK.	VENING.	MTɕA	ORNING	OWN	IELD	00)	ISTOK	IVERBANK	ZUKTSA.	22)	HEAP	ZIK	HEEP.	OVE	ADAKSTSUK	ADAKH.	ʰANDZA.	URED	ŊLIɕDOK	ROFIT	THROW,	SAPɕI	PIERCE,	EN?	TYMON	AFTERNOON")	OILET	MURMELTIER"	ʰJARTɕEK.	ARRIED.	ʰOKTSA.	UɕAROK	OWN)	OILETS	RANSFER"	UT	SAMPA	EMOVED.	ʰRALTSʰA.	66)	OOF.	SUNATIK	AKE	ʰULMEN.	INCLUDING	ʰAKʰA	CONV22:889)	IVER.	ʰAMZAŊ	IKZA.	ORJE	IRECT	NDZI.	ANCE	UPɕI	NOT:	LOUGH).	MOKE	ʰIRDZA.	HERE)	UTɕA	IM.	USAMMENHANG	RANKHEITSBEZEICHNUNGEN	ONE?"	ULDZANAŊ	OAD).	Iː	ʑOTTɕI	1S	2S	3S	1P	2P	3P	TSI)	AKTAK.	ARKA	ARKIERUNG"	IKKI	LACE	ARURI	ERE!	ARE.	ARGER	BUTTOCKS'	ɕAɕDZA.	UNWAHRSCHEINLICHː	EDEUTUNG	NTERESSANT!	THER)	ALDZI	ECRET	MGANGSSPRACHLICHER	ɕOKDʑI	ɕOKKUDZA.	COVER"	ROPOSAL.	ROBLEMS	ICHTǃ	JENMOI	IFE.	IFFICULT	ʰIRTAK	AVING	IRED"	MERICAS	ɕʰILMEN.	ɕʰOKKARE.	ɕʰOK?	ROUND	REPARED,	EMPLATE	IVE"	ʰULTɕʰA.	OMETHING	ʰADZU.	EPDʑI	EIPA	OMORROW.	ʑOTCA	LESSING	ʰONDZA.	IPSA.	IPMEN.	AM	OMEN.	OKDZA.	ORBU.	ATTOK	TTACH"	AKEN	WAY	AUSE"	IECES,	INDEUTIG	AT-DIALEKTEN	EAR,	RU(S)KATA.	SAKDʑI	PA.	FT	OOKED	CARPENTER)	HOP,	OTTLES	UT,	OINTED"	TILL	NOW	ONAM)	ORBU)	IKKIDZA.	SʰAŊTɕEK.	SʰAPSTOK	JADʑI	IED	ʰADZUI	ERVOUS"	XPRESSING	HOS	ʰULTɕA.	SHOGS.	EN.	EFT).	SʰWASKATA.	AMPO).	A	SYWAR	TC.	ASSER	ONDERN	ENMEN	ARTHQUAKE.	WAKʰEK.	WAː	ONEY)	WANMEN.	WANZA.	ENTENCE	NTENTIONAL	ʰAKMEN.	ʰAMATʰOME	ERSON.	ʰAŊCARE.	ʰAŊMENLA?	ʰAŊTAK.	ʰAŊMEN.	AWA	RAŊMAŊ,	RAŊMAŊ	ʰADZUTSʰI	JOKPATSUK	ALTSʰI	INANIS,	ELL,	5ː166)	LIEING)	INE)ǃ	APPROPRIATE	IS	OU	ʰIRGUZA.	ʰIRMEN.	OOK.	ROPING	ʰONMEN.	OOM).	INZA,	ʰUKKIZA.	UDDENLY	GREED.	LET.	AUGHTER.	RROGANT	ʰAKLUŊ	ʰOTKJARE.	ATERIAL	DAN	WOOLEN	OTNAŊRE,	CHIEVE"	ʰUPɕUM	ʰUPKATALA	ANNOT	IBTEAN	CCURRING	YANGSI
1	Bunan	I am listening, I am here	a	a	Widmer2014			part			-		a ho!	I am here!			used when somebody is calling one's				24/Jul/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
2	Bunan	grandmother	abi	a b i	Widmer2014			n		only used in family of petty chiefs	WT a phyi									AB / TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
3	Bunan	uncle (mother's brother, father-in-law, wife's/husband's brother (only appropriate if elder than wife/husband))	adʑaŋ	a dʑ a ŋ	Widmer2014			n			WT a zhang									AB / TD	06/Jun/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
4	Bunan	much, a lot	aina	ai n a	Widmer2014			quant			-		mu aina radza.	There was a lot of snow. (Conv13:405)						SA / TD	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
5	Bunan	mouth	ak	a k	Widmer2014			n			WT kha / ZZ ag-sho / PTB *ka	Jk. ag			MS					AB / TD	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
6	Bunan	excrements	aka	a k a	Widmer2014			n			-									AB	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
7	Bunan	ass hole	akapʰuktsi	a k a pʰ u k ts i	Widmer2014			n			-									AB	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
8	Bunan	isn't it?	ake	a k e	Widmer2014			part			-									AB	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
9	Bunan	edge, blade	aks	a ks	Widmer2014			n			WT -				MS					ZC	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
10	Bunan	call	aks tak	aks tak	Widmer2014			v	-tɕa		vgl. ak "mouth"		ɟizi sonamrok aks takmen.	I called for Sonam.	cEDA					ZC	08/Aug/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
11	Bunan	uncle (father's sister's husband)	aku	a k u	Widmer2014			n			WT a khu ~ a ku									AB / TD	23/Feb/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
12	Bunan	open (t)	al	a l	Widmer2014			v	-tɕa		-				cEA > -s					TD	25/Mar/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
13	Bunan	chin	alkjotsi	a l k j o ts i	Widmer2014			n			-									AB / TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
14	Bunan	earring	aloŋ	a l o ŋ	Widmer2014			n			WT a long									YC	11/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
15	Bunan	open (it)	als	a ls	Widmer2014			v	-ɕa		-				ncA < TR (DETR AGT DEMOT)					TD	07/Apr/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
16	Bunan	beard (chin)	altsʰam	a l tsʰ a m	Widmer2014			n			WT og tshom									AB / TD	23/Feb/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
17	Bunan	come	am	a m	Widmer2014			v (h)	-de		-		meme amgare.	The monk is coming.	cA					ZC	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
18	Bunan	eat (child's language)	am lik	am lik	Widmer2014			v	-tɕa		- / PTB *ʔam "to eat"		am leǃ	Eatǃ	cEA					AB	30/Dec/2015																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
19	Bunan	mother	ama	a m a	Widmer2014			n			WT a ma / PTB *ma									ZC	15/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
20	Bunan	gushǃ	ama jo	ama jo	Widmer2014			part			-									AB	24/Jul/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
21	Bunan	aunt (mother's younger sister)	ama kjuktsi	ama kjuktsi	Widmer2014			n			WT a ma						from 2nd youngest sister on downwards		lit. "small mother"	ZC	06/Jun/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
22	Bunan	parents	amaawa	a m aa w a	Widmer2014			n			WT a ma / a pha ~ a pa									TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
23	Bunan	look crossly at somebody	amamik kan	amamik kan	Widmer2014			v	-tɕa	for women	-				cEA					Sharab	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
24	Bunan	kind of pot	amdʑambaʈi	a m dʑ a m b a ʈ i	Widmer2014			n			-									AB	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
25	Bunan	road-mid	ampʰet	a m pʰ e t	Widmer2014			n			-									SA / TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
26	Bunan	walk	amt	a m t	Widmer2014			v	-ɕa		-		tal amtɕare.	He is having a walk.	cA					ZC	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
27	Bunan	road, way, path	amtsi	a m ts i	Widmer2014			n			WT lam	Jk. amtsi "road"	amtsi tiktɕi ninstaŋ, ɟi	Because the road was blocked, I						ZC	16/Jul/2011	elde ma ʈʰupza.	go to Manali.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
28	Bunan	aunt (father's sister, mother-in-law, wife's/husband's sister (only approriate if elder than husband))	ane	a n e	Widmer2014			n			WT ane ~ ani									ZC	14/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
29	Bunan	filter (butter)	aŋ	a ŋ	Widmer2014			v	-tɕa		-		ɟi mar aŋtɕek.	I am filtering the butter.	cEA					ZC	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
30	Bunan	snow blindness	aŋmik	a ŋ m i k	Widmer2014			n			Rongpo "aŋ" (Zoller 1983ː246)		girok aŋmik rare.							TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
31	Bunan	bossy, supressing other people	aŋtɕan	a ŋ tɕ a n	Widmer2014			adj			WT dbang can "powerful, mighty"		han sasatik aŋtɕan	You are so greedy, foolish, proud ... so						PSB / TD	24/Jun/2013			gandʑuŋ ŋargjal //	nargjal.	much proud. (Conv22ːSent295)																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
32	Bunan	grandmother	apa	a p a	Widmer2014			n			WT a phyi ~ *a pyi									ZC	09/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
33	Bunan	beard (full)	apskor	a ps k o r	Widmer2014			n			-									Sharab	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
34	Bunan	sister (2nd eldest)	apu	a p u	Widmer2014			n			WT a phyi ~ *a pyi									AB	19/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
35	Bunan	alcohol	arak	a r a k	Widmer2014			n			WT a rag									ZC	08/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
36	Bunan	glass, mirror	arɕi	a rɕ i	Widmer2014			n			-									ZC	09/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
37	Bunan	PRS.ALLO.SG	-are	a r e	Widmer2014			tame			-									-	30/Jan/2017																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
38	Bunan	grass used to make traditinal shoes	artsi	a r ts i	Widmer2014			n			-									AB / TD	24/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
39	Bunan	kind of fruit	aru	a r u	Widmer2014			n			(H) āɽū									AB	24/Jun/2013						1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
