GLOSS	AMBIGUITY	COVERAGE	SOURCES
February		2	TBL,ZMYYC
January		2	TBL,ZMYYC
ant		2	TBL,ZMYYC
armpit		2	TBL,ZMYYC
bark		2	TBL,ZMYYC
barley		2	TBL,ZMYYC
bat		2	TBL,ZMYYC
bear		2	TBL,ZMYYC
bedbug		2	TBL,ZMYYC
bell		2	TBL,ZMYYC
blind person		2	TBL,ZMYYC
blue		2	TBL,ZMYYC
boar		2	TBL,ZMYYC
bottle		2	TBL,ZMYYC
bowl		2	TBL,ZMYYC
brick		2	TBL,ZMYYC
bright		2	TBL,ZMYYC
buckwheat (sweet)		2	TBL,ZMYYC
buttocks		2	TBL,ZMYYC
calculate		2	TBL,ZMYYC
calf	n,nbp	2	TBL,ZMYYC
carpenter		2	TBL,ZMYYC
cattle (common)		2	TBL,ZMYYC
chew		2	TBL,ZMYYC
chopper		2	TBL,ZMYYC
chopsticks		2	TBL,ZMYYC
classifier for people		2	TBL,ZMYYC
classifier for trees		2	TBL,ZMYYC
clear (water)		2	TBL,ZMYYC
cliff		2	TBL,ZMYYC
coal		2	TBL,ZMYYC
cook / boil (rice)		2	TBL,ZMYYC
crops		2	TBL,ZMYYC
crow	n,v	2	TBL,ZMYYC
dare		2	TBL,ZMYYC
daughter-in-law		2	TBL,ZMYYC
day after tomorrow		2	TBL,ZMYYC
day before yesterday		2	TBL,ZMYYC
deaf person		2	TBL,ZMYYC
deer		2	TBL,ZMYYC
doctor		2	TBL,ZMYYC
donkey		2	TBL,ZMYYC
dragon		2	TBL,ZMYYC
dragon (sky)		2	TBL,ZMYYC
dragonfly		2	TBL,ZMYYC
drop	n,v	2	TBL,ZMYYC
dye		2	TBL,ZMYYC
earthworm		2	TBL,ZMYYC
exchange		2	TBL,ZMYYC
excrement		2	TBL,ZMYYC
expensive		2	TBL,ZMYYC
eyebrow		2	TBL,ZMYYC
fart		2	TBL,ZMYYC
father-in-law		2	TBL,ZMYYC
firewood		2	TBL,ZMYYC
fist		2	TBL,ZMYYC
float		2	TBL,ZMYYC
fog		2	TBL,ZMYYC
forearm		2	TBL,ZMYYC
fox		2	TBL,ZMYYC
front		2	TBL,ZMYYC
frost		2	TBL,ZMYYC
future		2	TBL,ZMYYC
gong		2	TBL,ZMYYC
goose		2	TBL,ZMYYC
granddaughter		2	TBL,ZMYYC
grandson		2	TBL,ZMYYC
grape		2	TBL,ZMYYC
guest		2	TBL,ZMYYC
gunpowder		2	TBL,ZMYYC
hail		2	TBL,ZMYYC
hat		2	TBL,ZMYYC
high / tall		2	TBL,ZMYYC
horizontal		2	TBL,ZMYYC
host		2	TBL,ZMYYC
ice		2	TBL,ZMYYC
inch		2	TBL,ZMYYC
insect / worm		2	TBL,ZMYYC
inside		2	TBL,ZMYYC
knead (dough)		2	TBL,ZMYYC
kneel		2	TBL,ZMYYC
knife (long)		2	TBL,ZMYYC
lame person		2	TBL,ZMYYC
leak		2	TBL,ZMYYC
left		2	TBL,ZMYYC
light	adj,n	2	TBL,ZMYYC
lock		2	TBL,ZMYYC
lose (a game)		2	TBL,ZMYYC
lung		2	TBL,ZMYYC
maggot		2	TBL,ZMYYC
magpie		2	TBL,ZMYYC
manage	v,vt	2	TBL,ZMYYC
many / much		2	TBL,ZMYYC
marry (a woman)		2	TBL,ZMYYC
match		2	TBL,ZMYYC
measure		2	TBL,ZMYYC
medicine		2	TBL,ZMYYC
mirror		2	TBL,ZMYYC
monkey		2	TBL,ZMYYC
month		2	TBL,ZMYYC
mortar		2	TBL,ZMYYC
mother-in-law		2	TBL,ZMYYC
mule		2	TBL,ZMYYC
mushroom		2	TBL,ZMYYC
mute		2	TBL,ZMYYC
nine		2	TBL,ZMYYC
nineteen		2	TBL,ZMYYC
ninety		2	TBL,ZMYYC
nit		2	TBL,ZMYYC
one		2	TBL,ZMYYC
oppose		2	TBL,ZMYYC
pants / trousers		2	TBL,ZMYYC
paper		2	TBL,ZMYYC
past, in the		2	TBL,ZMYYC
pea		2	TBL,ZMYYC
peach		2	TBL,ZMYYC
peanut		2	TBL,ZMYYC
pencil		2	TBL,ZMYYC
persimmon		2	TBL,ZMYYC
pestle		2	TBL,ZMYYC
pheasant		2	TBL,ZMYYC
pick up		2	TBL,ZMYYC
pig		2	TBL,ZMYYC
pine		2	TBL,ZMYYC
plait		2	TBL,ZMYYC
pointed		2	TBL,ZMYYC
pond		2	TBL,ZMYYC
potato		2	TBL,ZMYYC
protect		2	TBL,ZMYYC
pus		2	TBL,ZMYYC
rabbit		2	TBL,ZMYYC
remember		2	TBL,ZMYYC
rest		2	TBL,ZMYYC
return	v,vt	2	TBL,ZMYYC
right		2	TBL,ZMYYC
right / correct		2	TBL,ZMYYC
ring		2	TBL,ZMYYC
saddle		2	TBL,ZMYYC
salty		2	TBL,ZMYYC
scold		2	TBL,ZMYYC
set (of the sun)		2	TBL,ZMYYC
side		2	TBL,ZMYYC
six		2	TBL,ZMYYC
sixteen		2	TBL,ZMYYC
sixty		2	TBL,ZMYYC
sleeve		2	TBL,ZMYYC
soap		2	TBL,ZMYYC
soldier		2	TBL,ZMYYC
son-in-law		2	TBL,ZMYYC
soul / spirit		2	TBL,ZMYYC
soup		2	TBL,ZMYYC
spring (water)		2	TBL,ZMYYC
stir-fry		2	TBL,ZMYYC
stomach		2	TBL,ZMYYC
stupid		2	TBL,ZMYYC
sugarcane		2	TBL,ZMYYC
tell		2	TBL,ZMYYC
temple		2	TBL,ZMYYC
ten		2	TBL,ZMYYC
ten thousand		2	TBL,ZMYYC
thirteen		2	TBL,ZMYYC
thirty		2	TBL,ZMYYC
thousand		2	TBL,ZMYYC
three		2	TBL,ZMYYC
tile		2	TBL,ZMYYC
tin		2	TBL,ZMYYC
twelve		2	TBL,ZMYYC
twenty		2	TBL,ZMYYC
wake up		2	TBL,ZMYYC
warm		2	TBL,ZMYYC
we		2	TBL,ZMYYC
we (inclusive)		2	TBL,ZMYYC
wedge		2	TBL,ZMYYC
what		2	TBL,ZMYYC
wheat		2	TBL,ZMYYC
where		2	TBL,ZMYYC
whip		2	TBL,ZMYYC
who		2	TBL,ZMYYC
willow		2	TBL,ZMYYC
win		2	TBL,ZMYYC
winnow		2	TBL,ZMYYC
wither		2	TBL,ZMYYC
work / labor		2	TBL,ZMYYC
year after next		2	TBL,ZMYYC
year before last		2	TBL,ZMYYC
you (pl.)		2	TBL,ZMYYC
I		3	GEM-CNL,TBL,ZMYYC
arm		3	GEM-CNL,TBL,ZMYYC
arrive		3	GEM-CNL,TBL,ZMYYC
arrow		3	GEM-CNL,TBL,ZMYYC
bad		3	GEM-CNL,TBL,ZMYYC
bamboo		3	GEM-CNL,TBL,ZMYYC
beard		3	GEM-CNL,TBL,ZMYYC
beautiful		3	GEM-CNL,TBL,ZMYYC
bed		3	GEM-CNL,TBL,ZMYYC
belly		3	GEM-CNL,TBL,ZMYYC
bird		3	GEM-CNL,TBL,ZMYYC
bite		3	GEM-CNL,TBL,ZMYYC
bitter		3	GEM-CNL,TBL,ZMYYC
black		3	GEM-CNL,TBL,ZMYYC
bladder		3	GEM-CNL,TBL,ZMYYC
blood		3	GEM-CNL,TBL,ZMYYC
body		3	GEM-CNL,TBL,ZMYYC
book		3	GEM-CNL,TBL,ZMYYC
bracelet		3	GEM-CNL,TBL,ZMYYC
breast		3	GEM-CNL,TBL,ZMYYC
bridge		3	GEM-CNL,TBL,ZMYYC
broom		3	GEM-CNL,TBL,ZMYYC
bud	n,nveg,v	3	GEM-CNL,TBL,ZMYYC
bull		3	GEM-CNL,TBL,ZMYYC
butterfly		3	GEM-CNL,TBL,ZMYYC
buy		3	GEM-CNL,TBL,ZMYYC
cat		3	GEM-CNL,TBL,ZMYYC
centipede		3	GEM-CNL,TBL,ZMYYC
cheap		3	GEM-CNL,TBL,ZMYYC
chest		3	GEM-CNL,TBL,ZMYYC
chicken		3	GEM-CNL,TBL,ZMYYC
child		3	GEM-CNL,TBL,ZMYYC
chin		3	GEM-CNL,TBL,ZMYYC
clean		3	GEM-CNL,TBL,ZMYYC
cloth		3	GEM-CNL,TBL,ZMYYC
cloud		3	GEM-CNL,TBL,ZMYYC
comb	n,v	3	GEM-CNL,TBL,ZMYYC
come		3	GEM-CNL,TBL,ZMYYC
copper		3	GEM-CNL,TBL,ZMYYC
cotton		3	GEM-CNL,TBL,ZMYYC
cucumber		3	GEM-CNL,TBL,ZMYYC
dance	n,v	3	GEM-CNL,TBL,ZMYYC
dark		3	GEM-CNL,TBL,ZMYYC
daughter		3	GEM-CNL,TBL,ZMYYC
deep		3	GEM-CNL,TBL,ZMYYC
dew		3	GEM-CNL,TBL,ZMYYC
die		3	GEM-CNL,TBL,ZMYYC
difficult		3	GEM-CNL,TBL,ZMYYC
dig		3	GEM-CNL,TBL,ZMYYC
dirty		3	GEM-CNL,TBL,ZMYYC
dog		3	GEM-CNL,TBL,ZMYYC
door		3	GEM-CNL,TBL,ZMYYC
dream	n,v	3	GEM-CNL,TBL,ZMYYC
drink		3	GEM-CNL,TBL,ZMYYC
drum		3	GEM-CNL,TBL,ZMYYC
dry		3	GEM-CNL,TBL,ZMYYC
duck		3	GEM-CNL,TBL,ZMYYC
ear		3	GEM-CNL,TBL,ZMYYC
early		3	GEM-CNL,TBL,ZMYYC
east		3	GEM-CNL,TBL,ZMYYC
easy		3	GEM-CNL,TBL,ZMYYC
eat		3	GEM-CNL,TBL,ZMYYC
egg		3	GEM-CNL,TBL,ZMYYC
eight		3	GEM-CNL,TBL,ZMYYC
eighteen		3	GEM-CNL,TBL,ZMYYC
eighty		3	GEM-CNL,TBL,ZMYYC
elbow		3	GEM-CNL,TBL,ZMYYC
elephant		3	GEM-CNL,TBL,ZMYYC
eleven		3	GEM-CNL,TBL,ZMYYC
eye		3	GEM-CNL,TBL,ZMYYC
face		3	GEM-CNL,TBL,ZMYYC
false		3	GEM-CNL,TBL,ZMYYC
father		3	GEM-CNL,TBL,ZMYYC
fifteen		3	GEM-CNL,TBL,ZMYYC
fifty		3	GEM-CNL,TBL,ZMYYC
fight		3	GEM-CNL,TBL,ZMYYC
finger		3	GEM-CNL,TBL,ZMYYC
fire		3	GEM-CNL,TBL,ZMYYC
first	n,num	3	GEM-CNL,TBL,ZMYYC
fish	n,v	3	GEM-CNL,TBL,ZMYYC
five		3	GEM-CNL,TBL,ZMYYC
flea		3	GEM-CNL,TBL,ZMYYC
flour		3	GEM-CNL,TBL,ZMYYC
flower	n,nveg	3	GEM-CNL,TBL,ZMYYC
fly	Nanim,n,v	3	GEM-CNL,TBL,ZMYYC
foot		3	GEM-CNL,TBL,ZMYYC
forehead		3	GEM-CNL,TBL,ZMYYC
forget		3	GEM-CNL,TBL,ZMYYC
forty		3	GEM-CNL,TBL,ZMYYC
four		3	GEM-CNL,TBL,ZMYYC
fourteen		3	GEM-CNL,TBL,ZMYYC
friend		3	GEM-CNL,TBL,ZMYYC
frog		3	GEM-CNL,TBL,ZMYYC
fruit		3	GEM-CNL,TBL,ZMYYC
full		3	GEM-CNL,TBL,ZMYYC
garlic		3	GEM-CNL,TBL,ZMYYC
ginger		3	GEM-CNL,TBL,ZMYYC
goat		3	GEM-CNL,TBL,ZMYYC
gold		3	GEM-CNL,TBL,ZMYYC
good		3	GEM-CNL,TBL,ZMYYC
grandfather		3	GEM-CNL,TBL,ZMYYC
grandmother		3	GEM-CNL,TBL,ZMYYC
grass		3	GEM-CNL,TBL,ZMYYC
green		3	GEM-CNL,TBL,ZMYYC
grow		3	GEM-CNL,TBL,ZMYYC
half		3	GEM-CNL,TBL,ZMYYC
hand		3	GEM-CNL,TBL,ZMYYC
hard		3	GEM-CNL,TBL,ZMYYC
hate		3	GEM-CNL,TBL,ZMYYC
head		3	GEM-CNL,TBL,ZMYYC
heart		3	GEM-CNL,TBL,ZMYYC
heavy		3	GEM-CNL,TBL,ZMYYC
help		3	GEM-CNL,TBL,ZMYYC
hen		3	GEM-CNL,TBL,ZMYYC
here		3	GEM-CNL,TBL,ZMYYC
hoe		3	GEM-CNL,TBL,ZMYYC
hoof		3	GEM-CNL,TBL,ZMYYC
horn		3	GEM-CNL,TBL,ZMYYC
horse		3	GEM-CNL,TBL,ZMYYC
hot		3	GEM-CNL,TBL,ZMYYC
house		3	GEM-CNL,TBL,ZMYYC
hundred		3	GEM-CNL,TBL,ZMYYC
hunt		3	GEM-CNL,TBL,ZMYYC
husband		3	GEM-CNL,TBL,ZMYYC
iron		3	GEM-CNL,TBL,ZMYYC
jump		3	GEM-CNL,TBL,ZMYYC
key		3	GEM-CNL,TBL,ZMYYC
kick		3	GEM-CNL,TBL,ZMYYC
kidney		3	GEM-CNL,TBL,ZMYYC
kill		3	GEM-CNL,TBL,ZMYYC
knife		3	GEM-CNL,TBL,ZMYYC
know		3	GEM-CNL,TBL,ZMYYC
ladder		3	GEM-CNL,TBL,ZMYYC
lake		3	GEM-CNL,TBL,ZMYYC
late		3	GEM-CNL,TBL,ZMYYC
lazy		3	GEM-CNL,TBL,ZMYYC
leaf	n,nveg	3	GEM-CNL,TBL,ZMYYC
learn		3	GEM-CNL,TBL,ZMYYC
leech		3	GEM-CNL,TBL,ZMYYC
letter		3	GEM-CNL,TBL,ZMYYC
lip		3	GEM-CNL,TBL,ZMYYC
listen		3	GEM-CNL,TBL,ZMYYC
liver		3	GEM-CNL,TBL,ZMYYC
long		3	GEM-CNL,TBL,ZMYYC
loom		3	GEM-CNL,TBL,ZMYYC
louse		3	GEM-CNL,TBL,ZMYYC
mat		3	GEM-CNL,TBL,ZMYYC
middle		3	GEM-CNL,TBL,ZMYYC
milk	n,v	3	GEM-CNL,TBL,ZMYYC
money		3	GEM-CNL,TBL,ZMYYC
moon		3	GEM-CNL,TBL,ZMYYC
morning		3	GEM-CNL,TBL,ZMYYC
mosquito		3	GEM-CNL,TBL,ZMYYC
mother		3	GEM-CNL,TBL,ZMYYC
mouth		3	GEM-CNL,TBL,ZMYYC
mud		3	GEM-CNL,TBL,ZMYYC
name	n,vt	3	GEM-CNL,TBL,ZMYYC
narrow		3	GEM-CNL,TBL,ZMYYC
near		3	GEM-CNL,TBL,ZMYYC
neck		3	GEM-CNL,TBL,ZMYYC
needle		3	GEM-CNL,TBL,ZMYYC
new		3	GEM-CNL,TBL,ZMYYC
noon		3	GEM-CNL,TBL,ZMYYC
north		3	GEM-CNL,TBL,ZMYYC
nose		3	GEM-CNL,TBL,ZMYYC
old man		3	GEM-CNL,TBL,ZMYYC
