GLOSS	AMBIGUITY	COVERAGE	SOURCES
Adam's apple		1	TBL
Buddha		1	TBL
Chinese (Han)		1	TBL
February (lit. 'second month')		1	TBL
January (year in which New Year is celebrated)		1	TBL
Monday		1	TBL
New Year's Day		1	TBL
New Year's Day (in Burmese system, around April)		1	TBL
Tibetan		1	TBL
Tibetan (called 'Gami' locally)		1	TBL
Tibetan (from Tibet (Xizang))		1	TBL
Tibetan (of Pumi language)		1	TBL
Tuesday		1	TBL
accomplish / succeed		1	TBL
accumulate		1	TBL
accustomed to, be / habit of, ha		1	TBL
ache (head)		1	TBL
add water		1	TBL
admire and envy		1	TBL
admit		1	TBL
adult		1	TBL
adult (female)		1	TBL
adult (male)		1	TBL
advantage / benefit		1	TBL
affectionate / intimate		1	TBL
afraid, be		1	TBL
age		1	TBL
agree / consent		1	TBL
agree on / arrange		1	TBL
air		1	TBL
air; breath		1	TBL
alcoholic beverage		1	TBL
alcoholic beverage (corn)		1	TBL
alcoholic beverage (highland barley)		1	TBL
alcoholic beverage (sorghum / maize)		1	TBL
alcoholic beverage (yellow rice / millet / Shaoxing)		1	TBL
alive, become / active		1	TBL
alive, become / active (people)		1	TBL
alkali / soda		1	TBL
all / everything		1	TBL
all / whole, the		1	TBL
alone		1	TBL
alter		1	TBL
aluminum		1	TBL
ancestors / forebears		1	TBL
ancient times, in		1	TBL
angry, be / take offense		1	TBL
animal / beast		1	TBL
animal / beast (carnivore)		1	TBL
animal / beast (herbivore)		1	TBL
animals (twelve) (different system but analogous)		1	TBL
animals (twelve) representing the twelve years		1	TBL
answer / reply		1	TBL
anus		1	TBL
apply (ointment)		1	TBL
apron		1	TBL
arm (forearm and postbrachium)		1	TBL
arrive (2nd / 3rd person singular)		1	TBL
arrogant / conceited		1	TBL
arrow (poison, bamboo)		1	TBL
arrow (poison, with iron clusters)		1	TBL
ask / question		1	TBL
ask s.b. to come here / fetch		1	TBL
askew / awry / slanting		1	TBL
asleep, fall		1	TBL
assemble / muster (a team)		1	TBL
assess / estimate		1	TBL
astringent		1	TBL
at the bottom of (a hill)		1	TBL
audit (accounts)		1	TBL
aunt <father's older sister>		1	TBL
aunt <father's sister>		1	TBL
aunt <father's sister> (= 'wife of f's o. bro')		1	TBL
aunt <father's younger sister>		1	TBL
aunt <mother's brother's wife>		1	TBL
aunt <mother's older brother's wife>		1	TBL
aunt <mother's older sister>		1	TBL
aunt <mother's sister>		1	TBL
aunt <mother's sister> (= wife of mom's bro)		1	TBL
aunt <mother's younger brother's wife>		1	TBL
aunt <mother's younger sister>		1	TBL
aunt <wife of father's elder brother>		1	TBL
aunt <wife of father's elder brother> (address)		1	TBL
aunt <wife of father's younger brother>		1	TBL
avoid certain food (because of		1	TBL
awl		1	TBL
awn of wheat		1	TBL
baa / bleat		1	TBL
back	n,n/adv	1	TBL
back up / retreat		1	TBL
bad (things)		1	TBL
bad (words)		1	TBL
bald / bare		1	TBL
bald / bare (head)		1	TBL
bald / bare (lit. 'bald mountain package')		1	TBL
bald / bare (mountain)		1	TBL
bald / bare (tail)		1	TBL
baldhead		1	TBL
bamboo (thick, coarse)		1	TBL
bamboo (thin, fine)		1	TBL
ban / forbid / prohibit		1	TBL
banana (plantain)		1	TBL
barley (highland)		1	TBL
basket carried on the back		1	TBL
basket carried on the back (dense strips)		1	TBL
basket carried on the back (dense, uniform-sized)		1	TBL
basket carried on the back (sharp-bottomed)		1	TBL
basket carried on the back (sparse strips )		1	TBL
basket carried on the back (sparse strips)		1	TBL
basket carried on the back (square-mouthed)		1	TBL
basketful (of vegetable)		1	TBL
basketful (of vegetable) (carried on back)		1	TBL
be (1st person)		1	TBL
be (3rd person)		1	TBL
be (in the house)		1	TBL
beam (of building)		1	TBL
beam (of building) (big)		1	TBL
beam (of building) (small)		1	TBL
bean (broad)		1	TBL
beard / moustache / goatee		1	TBL
beard / moustache / goatee (chin)		1	TBL
beat / thump		1	TBL
beautiful / pleasant to the eyes		1	TBL
beautiful, grow to be		1	TBL
become worn through (clothing)		1	TBL
bed (with bedding)		1	TBL
bed (without bedding)		1	TBL
beg (for food)		1	TBL
beggar		1	TBL
beginning of a month		1	TBL
belch		1	TBL
believe / trust		1	TBL
bell (copper)		1	TBL
bell (hung in a temple)		1	TBL
bell (iron, hung over necks of draught animals)		1	TBL
bell (small)		1	TBL
bellyband		1	TBL
bellyband (front part of belly)		1	TBL
below / under		1	TBL
belt / girdle		1	TBL
belt / girdle (hard)		1	TBL
belt / girdle (soft)		1	TBL
bend		1	TBL
bend at the waist		1	TBL
bet		1	TBL
big / large		1	TBL
billion		1	TBL
bind / tie up		1	TBL
birth, give to		1	TBL
birth, give to (piglets)		1	TBL
birthday		1	TBL
bit (for horse)		1	TBL
bite (mosquito)		1	TBL
bite (of draught animals, wild animals)		1	TBL
bite (of snakes)		1	TBL
black (of faces)		1	TBL
blacksmith		1	TBL
blade (of grass)		1	TBL
blanket (felt)		1	TBL
blind person (both eyes)		1	TBL
blind person (half-blind)		1	TBL
blind person (one eye)		1	TBL
blind, be		1	TBL
blind, be (acquired / postnatally)		1	TBL
blind, be (congenitally)		1	TBL
blink / wink		1	TBL
blissful		1	TBL
bloated, feel (of the stomach)		1	TBL
block (the wind)		1	TBL
block / obstruct		1	TBL
block / obstruct (by a rock)		1	TBL
block / obstruct (by a thorn)		1	TBL
block up / plug		1	TBL
blossom (of flowers)		1	TBL
