1 	 above 	 1193 	 over / above
2 	 all 	 1888 	 we all
3 	 and 	 1448 	 safe and sound
4 	 animal [noun] 	 47 	 animal / beast
5 	 ashes [noun] 	 ?	?
6 	 at 	 1148 	 night, at
7 	 back [noun] 	 88 	 back
8 	 bad 	 2259 	 bad
9 	 bark [noun] 	 1991 	 bark
10 	 bark [verb] 	 1991 	 bark
11 	 bark/the bark [verb] 	 1991 	 bark
12 	 be alive [verb] 	 36 	 alive, become / active
13 	 because 	 ?	?
14 	 belly [noun] 	 2264 	 belly
15 	 below, under 	 138 	 below / under
16 	 big 	 145 	 big / large
17 	 bird [noun] 	 2265 	 bird
18 	 bite [verb] 	 2266 	 bite
19 	 black 	 2268 	 black
20 	 blood [noun] 	 2270 	 blood
21 	 blow [verb] 	 177 	 blow (wind)
22 	 blunt 	 180 	 blunt / dull
23 	 bone [noun] 	 2003 	 bone
24 	 branch [noun] 	 213 	 branch / twig
25 	 breast [noun] 	 2274 	 breast
26 	 breathe [verb] 	 223 	 breathe (exhale)
27 	 burn (intransitive) [verb] 	 2011 	 burn
28 	 burn [transitive] [verb] 	 2011 	 burn
29 	 buy [verb] 	 2280 	 buy
30 	 chew [verb] 	 2021 	 chew
31 	 child (descendant) [noun] 	 2286 	 child
32 	 child (young human [noun] 	 2286 	 child
33 	 choose [verb] 	 314 	 choose / pick
34 	 claw [noun] 	 359 	 claw / talon
35 	 climb [verb] 	 366 	 climb up (a tree)
36 	 cloud [noun] 	 2290 	 cloud
37 	 cold (of temperature) 	 281 	 catch cold
38 	 come [verb] 	 2292 	 come
39 	 cook [verb] 	 411 	 cook / boil
40 	 correct (right) 	 2177 	 right / correct
41 	 count [verb] 	 423 	 count (numbers)
42 	 cry [verb] 	 446 	 cry
43 	 cut [verb] 	 455 	 cut (meat)
44 	 day (opposed to night) [noun] 	 621 	 every day
45 	 die [verb] 	 2301 	 die
46 	 dig [verb] 	 2303 	 dig
47 	 dirty 	 2304 	 dirty
48 	 dog [noun] 	 2305 	 dog
49 	 dream [noun] 	 2307 	 dream
50 	 drink [verb] 	 2308 	 drink
51 	 dry 	 2310 	 dry
52 	 dull 	 180 	 blunt / dull
53 	 dust [noun] 	 2048 	 dust
54 	 ear [noun] 	 2312 	 ear
55 	 earth (soil) [noun] 	 1560 	 soil / earth
56 	 eat [verb] 	 2316 	 eat
57 	 egg [noun] 	 2317 	 egg
58 	 eight 	 2318 	 eight
59 	 eye [noun] 	 2324 	 eye
60 	 fall [verb] 	 630 	 fall (rain)
