ID	GLOSS	?	?
1 	February 	?	?
2 	January 	?	?
3 	ant 	?	?
4 	armpit 	?	?
6 	barley 	?	?
7 	bat 	?	?
8 	bear 	?	?
9 	bedbug 	?	?
10 	bell 	?	?
12 	blue 	?	?
13 	boar 	?	?
14 	bottle 	?	?
15 	bowl 	?	?
16 	brick 	?	?
17 	bright 	?	?
18 	buckwheat (sweet) 	?	?
19 	buttocks 	?	?
20 	calculate 	?	?
21 	calf 	?	?
22 	carpenter 	?	?
23 	cattle (common) 	?	?
25 	chopper 	?	?
26 	chopsticks 	?	?
27 	classifier for people 	?	?
28 	classifier for trees 	?	?
29 	clear (water) 	?	?
30 	cliff 	?	?
31 	coal 	?	?
33 	crops 	?	?
34 	crow 	?	?
35 	dare 	?	?
36 	daughter-in-law 	?	?
40 	deer 	?	?
41 	doctor 	?	?
42 	donkey 	?	?
43 	dragon 	?	?
44 	dragon (sky) 	?	?
45 	dragonfly 	?	?
46 	drop 	?	?
47 	dye 	?	?
48 	earthworm 	?	?
49 	exchange 	?	?
50 	excrement 	?	?
51 	expensive 	?	?
52 	eyebrow 	?	?
53 	fart 	?	?
54 	father-in-law 	?	?
55 	firewood 	?	?
56 	fist 	?	?
59 	forearm 	?	?
60 	fox 	?	?
61 	front 	?	?
62 	frost 	?	?
63 	future 	?	?
64 	gong 	?	?
65 	goose 	?	?
66 	granddaughter 	?	?
67 	grandson 	?	?
68 	grape 	?	?
69 	guest 	?	?
70 	gunpowder 	?	?
71 	hail 	?	?
72 	hat 	?	?
73 	high / tall 	?	?
74 	horizontal 	?	?
75 	host 	?	?
77 	inch 	?	?
79 	inside 	?	?
80 	knead (dough) 	?	?
81 	kneel 	?	?
84 	leak 	?	?
86 	light 	?	?
87 	lock 	?	?
88 	lose (a game) 	?	?
89 	lung 	?	?
90 	maggot 	?	?
91 	magpie 	?	?
92 	manage 	?	?
94 	marry (a woman) 	?	?
95 	match 	?	?
96 	measure 	?	?
97 	medicine 	?	?
98 	mirror 	?	?
99 	monkey 	?	?
100 	month 	?	?
101 	mortar 	?	?
102 	mother-in-law 	?	?
103 	mule 	?	?
104 	mushroom 	?	?
105 	mute 	?	?
107 	nineteen 	?	?
108 	ninety 	?	?
109 	nit 	?	?
111 	oppose 	?	?
112 	pants / trousers 	?	?
113 	paper 	?	?
115 	pea 	?	?
116 	peach 	?	?
117 	peanut 	?	?
118 	pencil 	?	?
119 	persimmon 	?	?
120 	pestle 	?	?
121 	pheasant 	?	?
122 	pick up 	?	?
123 	pig 	?	?
124 	pine 	?	?
125 	plait 	?	?
126 	pointed 	?	?
127 	pond 	?	?
128 	potato 	?	?
129 	protect 	?	?
130 	pus 	?	?
131 	rabbit 	?	?
132 	remember 	?	?
134 	return 	?	?
137 	ring 	?	?
138 	saddle 	?	?
139 	salty 	?	?
140 	scold 	?	?
141 	set (of the sun) 	?	?
142 	side 	?	?
144 	sixteen 	?	?
145 	sixty 	?	?
146 	sleeve 	?	?
147 	soap 	?	?
148 	soldier 	?	?
149 	son-in-law 	?	?
150 	soul / spirit 	?	?
151 	soup 	?	?
152 	spring (water) 	?	?
153 	stir-fry 	?	?
154 	stomach 	?	?
155 	stupid 	?	?
156 	sugarcane 	?	?
157 	tell 	?	?
158 	temple 	?	?
161 	thirteen 	?	?
162 	thirty 	?	?
163 	thousand 	?	?
165 	tile 	?	?
166 	tin 	?	?
167 	twelve 	?	?
169 	wake up 	?	?
173 	wedge 	?	?
175 	wheat 	?	?
177 	whip 	?	?
179 	willow 	?	?
180 	win 	?	?
181 	winnow 	?	?
182 	wither 	?	?
188 	arm 	?	?
189 	arrive 	?	?
190 	arrow 	?	?
192 	bamboo 	?	?
193 	beard 	?	?
194 	beautiful 	?	?
195 	bed 	?	?
199 	bitter 	?	?
201 	bladder 	?	?
203 	body 	?	?
204 	book 	?	?
205 	bracelet 	?	?
207 	bridge 	?	?
208 	broom 	?	?
209 	bud 	?	?
210 	bull 	?	?
211 	butterfly 	?	?
213 	cat 	?	?
214 	centipede 	?	?
215 	cheap 	?	?
216 	chest 	?	?
217 	chicken 	?	?
219 	chin 	?	?
220 	clean 	?	?
221 	cloth 	?	?
223 	comb 	?	?
225 	copper 	?	?
226 	cotton 	?	?
227 	cucumber 	?	?
228 	dance 	?	?
229 	dark 	?	?
230 	daughter 	?	?
231 	deep 	?	?
232 	dew 	?	?
234 	difficult 	?	?
238 	door 	?	?
241 	drum 	?	?
243 	duck 	?	?
245 	early 	?	?
246 	east 	?	?
247 	easy 	?	?
251 	eighteen 	?	?
252 	eighty 	?	?
253 	elbow 	?	?
254 	elephant 	?	?
255 	eleven 	?	?
257 	face 	?	?
258 	false 	?	?
260 	fifteen 	?	?
261 	fifty 	?	?
263 	finger 	?	?
265 	first 	?	?
268 	flea 	?	?
269 	flour 	?	?
273 	forehead 	?	?
274 	forget 	?	?
275 	forty 	?	?
277 	fourteen 	?	?
278 	friend 	?	?
279 	frog 	?	?
282 	garlic 	?	?
283 	ginger 	?	?
284 	goat 	?	?
285 	gold 	?	?
287 	grandfather 	?	?
288 	grandmother 	?	?
292 	half 	?	?
294 	hard 	?	?
295 	hate 	?	?
299 	help 	?	?
300 	hen 	?	?
302 	hoe 	?	?
303 	hoof 	?	?
305 	horse 	?	?
306 	hot 	?	?
311 	iron 	?	?
312 	jump 	?	?
313 	key 	?	?
314 	kick 	?	?
315 	kidney 	?	?
319 	ladder 	?	?
321 	late 	?	?
322 	lazy 	?	?
324 	learn 	?	?
325 	leech 	?	?
326 	letter 	?	?
327 	lip 	?	?
328 	listen 	?	?
331 	loom 	?	?
333 	mat 	?	?
334 	middle 	?	?
335 	milk 	?	?
336 	money 	?	?
338 	morning 	?	?
342 	mud 	?	?
349 	noon 	?	?
350 	north 	?	?
353 	otter 	?	?
354 	outside 	?	?
355 	pillow 	?	?
