# Wordlist

# DATA
ID	SRCABBR	STEDT_GLOSS	CONCEPT	RN	GFN	SRCID	LGID	DOCULECT	REFLEX
#
79	ZMYYC	April	April	184008		79.41	200	Achang (Longchuan)	mi³¹pau⁵¹l̥ɔ³⁵
1083	ZMYYC	April	April	184035		79.44	269	Anong	bɹi⁵³sɿ³¹lɑ⁵⁵
2087	ZMYYC	April	April	184006		79.37	311	Bai (Bijiang)	si⁴⁴ŋuɑ⁴⁴
3091	ZMYYC	April	April	184005		79.35	314	Bai (Dali)	ɕi⁴⁴uɑ⁴⁴
4095	ZMYYC	April	April	184031		79.36	317	Bai (Jianchuan)	ɕi⁴⁴ŋuɑ⁴⁴
5099	ZMYYC	April	April	184013		79.51	368	Bokar Lhoba	*
6103	ZMYYC	April	April	184007		79.39	411	Burmese (Written)	wɑ²hso²
7107	ZMYYC	April	April	184028		79.30	418	Hani (Caiyuan)	*
8111	ZMYYC	April	April	184012		79.49	509	Darang [Taraon]	xɑ⁵⁵lo⁵⁵kɑ³¹pɹɑi⁵⁵
9115	ZMYYC	April	April	184003		79.31	510	Hani (Dazhai)	ø³¹la³³
10119	ZMYYC	April	April	184036		79.46	537	Trung [Dulong]	ɑ³¹bli⁵³sɯ³¹lɑ⁵⁵
11123	ZMYYC	April	April	184020		79.14	557	Ergong (Danba)	ɦɛ vʑɯ pa
12127	ZMYYC	April	April	184022		79.18	561	Ersu	sɿ⁵⁵i⁵⁵ɬɑ³³
13132	ZMYYC	April	April	184037		79.48	592	Kaman [Miju]	lɑi⁵³kɯ³¹bɹɯn⁵³
14136	ZMYYC	April	April	183996		79.17	595	Guiqiong	ʒɿ³⁵pu⁵³
15140	ZMYYC	April	April	184038		79.50	662	Idu	e⁵⁵lɑ⁵⁵kɑ³¹pɹɯi⁵⁵
16144	ZMYYC	April	April	184011		79.47	690	Jingpho	ʃă³¹la³¹ta̱³³
17148	ZMYYC	April	April	184030		79.34	696	Jinuo	li³³ɬɔ³³
18152	ZMYYC	April	April	184004		79.33	851	Lahu (Black)	sɿ³⁵ze³³xᴀ³³pᴀ³³
19156	ZMYYC	April	April	184027		79.28	908	Naxi (Lijiang)	luə⁵⁵me³³
20160	ZMYYC	April	April	184001		79.27	942	Lisu	li⁵⁵hɑ³³
21164	ZMYYC	April	April	184009		79.43	1034	Maru [Langsu]	lɔ̱⁵⁵pjik³¹khjɛʔ⁵⁵
22168	ZMYYC	April	April	183992		79.7	1088	Tsangla (Motuo)	dawa ʑipa; luda
23173	ZMYYC	April	April	184016		79.6	1092	Tshona (Mama)	le⁵³pli⁵³
24177	ZMYYC	April	April	183995		79.15	1136	Muya [Minyak]	dɛ³³wɛ⁵⁵ʑi³⁵pɛ⁵³
25181	ZMYYC	April	April	183997		79.19	1147	Namuyi	zɿ³³ɬi⁵⁵
26185	ZMYYC	April	April	184010		79.45	1215	Nusu (Bijiang)	vɹi³⁵ɬɑ³¹
27189	ZMYYC	April	April	183994		79.11	1306	Pumi (Qinghua)	la¹³dʒɛ̃⁵⁵iɛ̃¹³
28193	ZMYYC	April	April	184018		79.10	1309	Pumi (Taoba)	ʐɛ⁵⁵li⁵⁵mei³⁵
29197	ZMYYC	April	April	184017		79.8	1320	Qiang (Mawo)	gʐəʂ
30201	ZMYYC	April	April	183993		79.9	1323	Qiang (Taoping)	dʒɿ²⁴¹ʂɿ³³
31205	ZMYYC	April	April	184019		79.12	1340	rGyalrong	zla wa bʒi pɐ
32209	ZMYYC	April	April	183990		79.3	1380	Tibetan (Khams:Dege)	da¹³wa⁵³ɣi³¹ba⁵³
33213	ZMYYC	April	April	184023		79.20	1409	Xumi	ʒuɐ³³ɬɯ⁵⁵
34217	ZMYYC	April	April	184029		79.32	1416	Hani (Shuikui)	li³¹l̥ɔ³³
35221	ZMYYC	April	April	184033		79.40	1428	Burmese (Spoken Rangoon)	wɑ²²hso²²
36225	ZMYYC	April	April	184039		79.52	1431	Sulung [Puroik]	ji³³lu³³aŋ³³bo³³
37922	ZMYYC	April	April	231986		79.13	1496	Tangut [Xixia]	--
38233	ZMYYC	April	April	184015		79.4	1550	Tibetan (Amdo:Bla-brang)	hda hʑə
39237	ZMYYC	April	April	184014		79.2	1557	Tibetan (Lhasa)	ta¹³wa¹³ɕi¹³pa⁵³
40241	ZMYYC	April	April	183989		79.1	1582	Tibetan (Written)	zla ba bʑi pa
41245	ZMYYC	April	April	183991		79.5	1585	Tibetan (Amdo:Zeku)	rdza wʑə wa
42249	ZMYYC	April	April	184032		79.38	1615	Tujia	si³⁵jie⁵⁵
43253	ZMYYC	April	April	184024		79.22	1658	Yi (Dafang)	sə³³ho⁵⁵
