lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
201960			5:bChinese	an³¹	saddle		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	431.41	5.14	Husbandry	0
211497				an³⁵	count		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	618.41	6.2.2.2	Move an object	0
211548				an³⁵	calculate		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	619.41	8.3.1.13.1	Think	0
201399				ap⁵⁵	needle		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	420.41	5.1	Waste products	0
202470				au³¹	pot / wok		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	441.41	5.5	Cooking Implements	0
182835				a³¹kuŋ⁵⁵	middle		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	56.41	1.9.4	Breast	0
193596				a³¹kʐə³¹	sinew		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	267.41	1.6.6.1	Sinew/Tendon/Ligament	0
188751	p,363			a³¹mui³¹	hair / fur		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	172.41	1.2.3	Hair of Head	0
191301				a³¹mʐat⁵⁵	root		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	222.41	3.1.2	Plant parts and types	0
183039				a³¹nɔk⁵⁵	outside		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	60.41	9.2.7	Extent	0
205479				a³¹pum³⁵	story / tale		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	500.41	5.8	Religion	0
205224				a³¹pʐo⁵⁵	word / character		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	495.41	8.5.10.2	Garrulosity, verbosity	0
205275				a³¹pʐo⁵⁵	book		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	496.41	5.1	Waste products	0
205326				a³¹pʐo⁵⁵	letter		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	497.41	5.1	Waste products	0
202521				a³¹tshiʔ⁵⁵	lid		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	442.41	5.1	Waste products	0
191556				a³¹tsiʔ³¹	stone / pit		200	Achang (Longchuan)	44	6.1.1	Burmish	Sun H 91 ZMYY	ZMYYC	227.41	3.2.9	Rocks and minerals	0
