lexicon.rn	analysis	user_an	other_an	lexicon.reflex	lexicon.gloss	lexicon.gfn	languagenames.lgid	languagenames.language	languagegroups.grpid	languagegroups.grpno	languagegroups.grp	citation	languagenames.srcabbr	lexicon.srcid	lexicon.semkey	chapters.chaptertitle	num_notes
185365				a³³bia⁵³	night		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	105.52	9.1.4	Times of Day	0
225349				a³³bio⁵³	bitter		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	889.52	7.1.4.4	Taste	0
220810				a³³bua³³	big		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	800.52	9.7.2	Verbs referring to size/shape	0
197452				a³³bua⁵³	son-in-law		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	342.52	4.7.4	Related by marriage	0
186844	m,2796			a³³buɛ⁵³	rat / mouse		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	134.52	2.1.1	Rodents	0
206377	p,2169			a³³bɛʴŋ³³	name		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	517.52	5.8	Religion	0
221167				a³³bɯ³³	round		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	807.52	9.7.1	Shape and size	0
182611				a³³bɯ⁵³	front		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	51.52	1.4.4	Front	0
230551				a³³bɯ⁵³	first		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	991.52	9.9	Numbers and numeric expression	0
195463				a³³bɹɑ³³bo¹¹	mad person		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	303.52	8.3.1.11.3	Thrilled, Dizzy	0
225247				a³³cen³³	sour		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	887.52	7.1.4.4	Taste	0
193780				a³³chəʴi³³	kidney		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	270.52	1.7.5	Kidney	0
224125			5:p,5:3567?	a³³çiak³³	wet		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	865.52	6.6	Verbs requiring liquids	0
222493				a³³ciaŋ³³	bright		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	833.52	7.1.11.1	Light	0
200155				a³³cit³³mə³³luat³³	dinner		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	395.52	5.5	Cooking Implements	0
221677				a³³ciɛ³³	far		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	817.52	9.2.4	Apart	0
196432				a³³ciɛ⁵³	aunt (paternal, elder)		1431	Sulung [Puroik]	4	1.1	“North Assam”	Sun H 91 ZMYY	ZMYYC	322.52	4.7.1	Previous generation	0
