njm 	Angami (Khonoma) 	Angami (Khon) 	1.3.2 - Angami-Pochuri Group 	842 	p.14
njm 	Angami (Kohima) 	Angami (Koh) 	1.3.2 - Angami-Pochuri Group 	971 	p.18
njo 	Ao (Chungli) 	Ao (Chung) 	1.3.1 - Central Naga (Ao Group) 	984 	p.22
njo 	Ao (Mongsen: Longchang) 	Ao (Mong) 	1.3.1 - Central Naga (Ao Group) 	917 	p.23
n/a 	Burmese (Written) 	Burmese (Wr) 	6.1.1 - Burmish 	985 	
nbc 	Chang 	Chang 	1.7.2.2 - Konyak-Chang 	936 	p.74
nri 	Chokri 	Chokri 	1.3.2 - Angami-Pochuri Group 	519 	p.80
dis 	Dimasa 	Dimasa 	1.7.1.1 - Bodo 	917 	
kac 	Jingpho 	Kachin 	1.7.3.1 - Jingpho 	1029 	
nkh 	Khezha 	Kezhama 	1.3.2 - Angami-Pochuri Group 	149 	p.178
nki 	Khoirao 	Khoirao 	1.3.3 - Zeme Group 	406 	p.181
nbe 	Konyak 	Konyak 	1.7.2.2 - Konyak-Chang 	979 	p.189
njn 	Liangmei 	Liangmai 	1.3.3 - Zeme Group 	724 	p.212
njh 	Lotha Naga 	Lotha 	1.3.1 - Central Naga (Ao Group) 	1068 	p.229
lus 	Lushai [Mizo] 	Lushai 	1.2.2 - Central Chin 	1105 	
nbi 	Mao 	Mao 	1.3.2 - Angami-Pochuri Group 	712 	p.243
nma 	Maram 	Maram 	1.3.3 - Zeme Group 	352 	p.245
nng 	Maring 	Maring 	1.3 - “Naga” Areal Group 	418 	p.246
mni 	Meithei 	Manipuri 	1.4 - Meithei 	970 	
npo 	Meluri 	Meluri 	1.3.2 - Angami-Pochuri Group 	316 	p.254
mjw 	Mikir [Karbi] 	Mikir 	1.5 - Mikir [Karbi] 	1341 	
njb 	Nocte 	Nocte 	1.7.2.1 - Tangsa-Nocte 	395 	p.299
nnl 	Ntenyi 	Ntenyi 	1.3.2 - Angami-Pochuri Group 	636 	p.304
nph 	Phom 	Phom 	1.7.2.2 - Konyak-Chang 	679 	p.321
nbu 	Puiron 	Puiron 	1.3.3 - Zeme Group 	385 	p.325
nre 	Rengma 	Rengma 	1.3.2 - Angami-Pochuri Group 	803 	p.338
nbu 	Rongmei / Nruanghmei 	Nruanghmei 	1.3.3 - Zeme Group 	811 	p.340
nsa 	Sangtam 	Sangtam 	1.3.1 - Central Naga (Ao Group) 	853 	p.345
nsm 	Sema [Sumi] 	Sema 	1.3.2 - Angami-Pochuri Group 	920 	p.347
nmf 	Tangkhul 	Tangkhul 	1.3.4 - Tangkhulic 	945 	p.365
nst 	Tangsa (Moshang) 	Tangsa (Mo) 	1.7.2.1 - Tangsa-Nocte 	313 	p.369
nst 	Tangsa (Yogli) 	Tangsa (Yog) 	1.7.2.1 - Tangsa-Nocte 	225 	p.369
njo 	Tengsa 	Tengsa 	1.3.1 - Central Naga (Ao Group) 	5 	
xct 	Tibetan (Written) 	Tibetan (Wr) 	2.1.2.1 - Tibetan 	1134 	
nnp 	Wancho 	Wancho 	1.7.2.2 - Konyak-Chang 	464 	p.426
njo 	Yacham 	Yacham 	1.3.1 - Central Naga (Ao Group) 	5 	
njo 	Yacham-Tengsa 	Yacham-Tengsa 	1.3.1 - Central Naga (Ao Group) 	270 	p.431
yim 	Yimchungrü 	Yimchungrü 	1.3.1 - Central Naga (Ao Group) 	536 	p.444
nzm 	Zeme 	Zeme 	1.3.3 - Zeme Group 	834 	p.451
nme 	Mzieme 	Mzieme 	1.3.3 - Zeme Group 	581 	p.271
