NUMBER	GLOSS	SEMANTIC TAG	STATUS	CINDEX	CGLOSS	MATCH_QUALITY
1	the work	action	!	1336	work / labor (verb)	3
2	to bite	action	!	1753	bite (mosquito) (verb)	2
3	to buy	action	!	1516	buy (verb)	2
4	to chew	action	!	1424	chew (verb)	2
5	to come	action	!	1491	come (verb)	2
6	to cook	action	!	1804	cook / boil (verb)	3
7	to count	action	!	1640	count (numbers) (verb)	2
8	to cry (weep)	action	!	1485	cry (verb)	2
9	to cut	action	!	1296	chop / cut (meat) (verb)	2
10	to dig	action	!	1698	dig / scoop out (verb)	3
11	to drink	action	!	1370	drink (verb)	2
12	to eat	action	!	1198	eat	3
13	to fight	action	!	1234	fight (verb)	2
14	to fly (move through air)	action	!	1318	fly (verb)	2
15	to give	action	!	1345	give (verb)	2
16	to grow	action	!	1619	grow (a boil) (verb)	2
17	to hear	action	!	1682	hear (verb)	2
18	to hide (conceal)	action	!	1169	hide (sthg.)	3
19	to hit	action	!	1232	hit, have (the target)	3
20	to hold	action	!	1709	hold (a pen) (verb)	2
21	to hunt	action	!	1230	hunt	3
22	to kill	action	!	1602	kill (verb)	2
23	to know	action	!	1798	know (to write) (verb)	2
24	to laugh	action	!	1735	laugh / smile (verb)	3
25	to lick	action	!	1674	lick / lap (verb)	3
26	to lie down	action	!	1661	lie down (verb)	2
27	to lie, rest	action	!	1740	rest (verb)	2
28	to open	action	!	1246	open (verb)	2
29	to plant	action	!	1774	plant (trees) (verb)	2
30	to play	action	!	1703	play / amuse oneself (verb)	3
31	to pull	action	!	1568	pull / lead (a cow) along (verb)	3
32	to push	action	!	1689	push / shove (verb)	3
33	to reside (live)	action	!	1452	live / reside (verb)	2
34	to say	action	!	1649	???	8
35	to scratch	action	!	1530	scratch (an itch) (verb)	2
36	to see	action	!	1472	see ( a doctor) (verb)	2
37	to shoot (an arrow)	action	!	1611	shoot (an arrow) (verb)	2
38	to sing	action	!	1184	sing	3
39	to sit	action	!	1819	sit down (verb)	6
40	to sleep	action	!	1646	sleep (verb)	2
41	to smell (perceive odor) [transitive]	action	!	1707	smell (verb)	2
42	to spit	action	!	1688	spit (verb)	2
43	to split	action	!	1557	split up (bamboo pole) (verb)	4
44	to stand	action	!	1784	stand (verb)	2
45	to steal	action	!	1686	steal (verb)	2
46	to think (reflect)	action	!	1726	think (verb)	2
47	to throw	action	!	1687	throw / hurl (verb)	3
48	to tie (together)	action	!	1645	tie (a cow) to (verb)	4
49	to vomit	action	!	1535	throw up / vomit (verb)	2
50	to walk	action	!	1815	walk (verb)	2
51	to wash	action	!	1713	wash (clothes) (verb)	2
52	to wipe	action	!	1163	wipe (the table)	3
54	to choose	action	?	1675	choose / pick (verb)	3
55	to climb	action	?	1538	climb (a mountain) (verb)	2
56	to freeze (intransitive)	action	?	1283	freeze (meat) (verb)	2
58	to sew	action	?	1324	sew (up) (verb)	2
59	to squeeze	action	?	1405	squeeze (for milk) (verb)	2
60	to stab	action	?	1778	stick into / stab (verb)	2
61	to suck	action	?	1648	suck (verb)	2
62	to swim	action	?	1763	swim (verb)	2
63	to turn (around)	action	?	1808	turn (round and round) (verb)	2
64	to yawn	action	?	1243	yawn (verb)	2
65	knead	action	&	1594	knead (dough) (verb)	3
66	marry (a man marries a woman)	action	&	1441	marry (verb)	3
67	forget	action	&	1704	forget (verb)	3
68	learn	action	&	1742	learn (verb)	3
69	run	action	&	1544	run (verb)	3
70	swallow	action	&	0333	swallow (noun)	2
71	the bird	animal	!	0326	bird (noun)	3
72	the fish	animal	!	1276	fish (verb)	3
73	the louse	animal	!	0356	louse (noun)	3
74	the mosquito	animal	!	0360	mosquito (noun)	3
75	the mouse or rat	animal	!	0320	mouse (noun)	3
76	the snake	animal	!	0347	snake (noun)	3
77	the spider	animal	!	0361	spider (noun)	3
78	the worm	animal	!	0353	insect / worm (noun)	3
79	the ant	animal	&	0365	ant (noun)	3
80	the bedbug	animal	&	0354	bedbug (noun)	3
81	the cattle	animal	&	0255	cattle (common) (noun)	2
82	the crow	animal	&	0339	crow (noun)	3
83	the donkey, ass	animal	&	0282	donkey (noun)	3
84	the dragonfly	animal	&	0369	dragonfly (noun)	3
85	the earthworm	animal	&	0363	earthworm (noun)	3
86	the goose	animal	&	0334	goose (wild) (noun)	3
87	the magpie	animal	&	0338	magpie (noun)	3
88	the monkey	animal	&	0308	monkey (noun)	3
89	the pig	animal	&	0284	pig (noun)	3
90	the rabbit	animal	&	0292	rabbit (noun)	3
91	the bull	animal	&	0260	bull (noun)	3
92	the butterfly	animal	&	0370	butterfly (noun)	3
93	the cat	animal	&	0291	cat (noun)	3
94	the centipede	animal	&	0362	centipede (noun)	3
95	the hen (chicken)	animal	&	0295	hen (noun)	3
96	the duck	animal	&	0300	duck (noun)	3
97	the frog	animal	&	0349	frog (noun)	3
98	the goat	animal	&	0276	goat (noun)	3
99	the sheep	animal	&	0274	sheep (general) (noun)	3
100	the sparrow	animal	&	0336	sparrow (noun)	3
101	the tiger	animal	&	0304	tiger (noun)	3
102	the wolf	animal	&	0324	wolf (noun)	3
103	the animal	animal, abstract	?	0303	animal / beast (noun)	3
104	the egg	animal, product	!	0450	egg (noun)	3
105	the feather	animal, product	!	0299	feather / plume (noun)	3
106	the belly	body	!	0096	belly (noun)	3
107	the blood	body	!	0129	blood (noun)	3
108	the bone	body	!	0133	bone (noun)	3
109	the breast	body	!	0094	breast (noun)	3
110	the ear	body	!	0081	ear (noun)	3
111	the eye	body	!	0079	eye (noun)	3
112	the foot	body	!	0900	foot (=1 / 3 meter)	3
113	the hair	body	!	0266	hair / down (noun)	3
114	the hand	body	!	0107	hand (noun)	3
115	the head	body	!	0074	head (noun)	3
116	the heart	body	!	0144	heart (noun)	3
117	the intestines	body	!	0149	???	8
118	the knee	body	!	0101	knee (noun)	3
120	the liver	body	!	0145	liver (noun)	3
121	the mouth	body	!	0084	mouth (noun)	3
122	the nail (fingernail or claw)	body	!	0113	nail (noun)	3
123	the neck	body	!	0089	neck (noun)	3
124	the nose	body	!	0080	nose (noun)	3
125	the shoulder	body	!	0090	shoulder (noun)	3
126	the skin	body	!	0265	skin (noun)	3
127	the tongue	body	!	0139	tongue (noun)	3
128	the tooth (front)	body	!	0137	tooth (noun)	3
129	the back	body	?	0091	back (noun)	3
130	the armpit	body	&	0092	armpit (noun)	3
131	the buttocks	body	&	0099	buttocks (noun)	3
132	the arm	body	&	0105	arm (noun)	3
133	the thigh	body	&	0100	thigh (noun)	3
134	the hoof	body	&	0264	hoof (noun)	3
135	the horn (keratinized skin)	body, animal	!	0263	horn (noun)	3
136	the leaf	body, animal	!	0376	leaf (noun)	3
137	the meat	body, animal	!	0444	meat (lean) (noun)	2
138	the root	body, animal	!	0375	root (noun)	3
139	the tail	body, animal	!	0267	tail (noun)	3
140	the wing	body, animal	!	0298	wing (noun)	3
141	the branch	body, plant	!	0374	branch / twig (noun)	3
142	the fat (grease)	body, substance	?	1024	fat	3
143	young	characterisation, age	&	1059	young	1
144	bad	characterisation, character	!	1053	bad	1
145	good	characterisation, character	!	1052	good	1
146	lazy	characterisation, character	&	1112	lazy	1
147	white	characterisation, color	!	1006	white	1
148	yellow	characterisation, color	!	1008	yellow	1
149	hard	characterisation, form	&	1034	hard	1
150	soft	characterisation, form	&	1035	soft	1
151	far	characterisation, location	!	0974	far / distant	2
152	deep	characterisation, location	&	0982	deep	1
153	shallow	characterisation, location	&	0983	shallow	1
154	beautiful	characterisation, opinion	&	1060	beautiful	1
155	difficult	characterisation, opinion	&	1067	difficult	1
156	easy	characterisation, opinion	&	1068	easy	1
157	ugly	characterisation, opinion	&	1061	ugly	1
158	all	characterisation, quantity	!	0962	all / everything	2
159	big	characterisation, quantity	!	0964	big / large	2
160	few	characterisation, quantity	!	0924	several / few, a	2
161	heavy	characterisation, quantity	!	1014	heavy	1
162	wide	characterisation, quantity	!	0966	wide (in diameter) / coarse	2
163	high / tall	characterisation, quantity	&	0968	high / tall	1
164	light (of weight)	characterisation, quantity	&	0533	light / lamp (noun)	2
165	dirty	characterisation, state	!	1086	dirty	1
166	dry	characterisation, state	!	1028	dry	1
167	full	characterisation, state	!	0984	full	1
168	wet	characterisation, state	!	1029	wet	1
169	bright	characterisation, state	&	1012	bright	1
170	clear, transparent (as of water)	characterisation, state	&	1022	clear, be (weather) / sunny (verb)	2
171	clean	characterisation, state	&	1085	clean	1
172	dark	characterisation, state	&	1013	dark	1
173	salty	characterisation, taste	&	1076	salty	1
174	warm (hot)	characterisation, temperature	!	1065	warm	2
175	hot	characterisation, temperature	&	1062	hot	1
176	correct (right)	characterization, character	!	1045	right / correct	2
177	shy	characterization, character	!	1365	shy, be / bashful (verb)	2
178	black	characterization, color	!	1005	black	1
179	green	characterization, color	!	1009	green	1
180	red	characterization, color	!	1007	red	1
181	round	characterization, form	!	0990	???	8
182	sharp	characterization, form	!	1020	sharp	1
183	smooth	characterization, form	!	1037	smooth / glossy / sleek	2
184	straight	characterization, form	!	1003	straight	1
185	thin	characterization, form	!	1026	thin	1
186	left	characterization, location	!	0710	left	1
187	right	characterization, location	!	0711	right	1
188	long	characterization, quantity	!	0972	long	1
189	many	characterization, quantity	!	0987	many / much	2
190	narrow	characterization, quantity	!	0977	narrow	1
191	near	characterization, quantity	!	0975	near	1
192	short	characterization, quantity	!	0973	short	1
193	small	characterization, quantity	!	0965	small	1
194	some	characterization, quantity	!	0923	some	1
195	thick	characterization, quantity	!	0980	thick	1
196	new	characterization, state	!	1050	new	1
197	old (of person)	characterization, state	!	1051	used / old	2
198	sick	characterization, state	!	1160	???	8
199	fat (obese)	characterization, state	?	1025	fat (pig)	2
202	cold (of temperature)	characterization, weather	!	1063	cold (weather, water)	2
203	not	function word	?	1519	have, do not (verb)	5
204	the man (male human)	human being	!	0173	man (noun)	3
205	the name	human being	!	0686	surname / name (family) (noun)	3
206	the person	human being	!	0206	person w / pockmarked face (noun)	5
207	the woman	human being	!	0174	woman (noun)	3
208	the child (descendant)	kinship	!	0169	child (noun)	3
209	the child (young human	kinship	!	0169	child (noun)	3
210	the father	kinship	!	0218	father (noun)	3
211	the husband	kinship	!	0247	husband (noun)	3
212	the mother	kinship	!	0219	mother (noun)	3
213	the wife	kinship	!	0248	wife (noun)	3
214	the daughter	kinship	&	0222	daughter (noun)	3
215	the grandfather	kinship	&	0216	grandfather (noun)	3
216	the grandmother	kinship	&	0217	grandmother (noun)	3
217	the son	kinship	&	0220	son (noun)	3
