NUMBER	GLOSS	CINDEX	CGLOSS	MATCH_QUALITY
1	sky	0001	sky (noun)	2

2	sun	0002	sun (noun)	2

3	moon	0004	moon (noun)	2

4	star	0005	star (noun)	2

5	thunder	0008	thunder (noun)	2

6	cloud	0007	cloud (noun)	2

7	wind	0009	wind (noun)	2

8	rain	0010	rain (noun)	2

9	snow	0012	snow (noun)	2

10	water	1422	water / sprinkle / irrigate (verb)	2

11	ice	0017	ice (noun)	2

12	fog	0016	fog (noun)	2

13	frost	0014	frost (noun)	2

14	dew	0015	dew (noun)	2

15	hail	0013	hail (noun)	2

16	rainbow	0011	rainbow (noun)	2

17	earth	0040	soil / earth (noun)	2

18	river	0030	river (noun)	2

19	sea	0032	sea (noun)	2

20	lake	0031	lake (noun)	2

21	pond	0033	pond (noun)	2

22	well	0035	well (noun)	2

23	spring (water)	0049	spring (water) (noun)	2

24	ditch	0034	ditch / gully (noun)	2

25	mountain	0023	hill / mountain (noun)	2

26	cliff	0026	cliff (noun)	2

27	field	0	???	8

28	ground	0022	earth / ground (noun)	2

29	plain	0	???	8

30	slope	0024	hillside / mountain slope (noun)	6

31	earth	0040	soil / earth (noun)	2

32	mud	0046	mud (noun)	2

33	cave	0029	cave / hole (noun)	2

34	hole	0029	cave / hole (noun)	2

35	gold	0051	gold (noun)	2

36	silver	0052	silver (noun)	2

37	copper	0053	copper (noun)	2

38	iron	0054	iron (noun)	2

39	rust	0056	rust (noun)	2

40	steel	0538	steel (for flint) (noun)	2

41	tin	0557	pot / jar / tin (noun)	2

42	stone / rock	0379	pit / stone (noun)	2
42	stone / rock	1751	rock / sway (verb)	2

43	sand	0044	sand (noun)	2

44	coal	0058	coal (noun)	2

45	fire	1231	fire (a shot)	2

46	smoke	0019	smoke (noun)	2

47	east	0704	east (noun)	2

48	west	0706	west (noun)	2

49	south	0705	south (noun)	2

50	north	0707	north (noun)	2

51	front	0712	front	1

52	back (direction)	0091	back (noun)	2

53	left	0710	left	1

54	right	0711	right	1

55	side	0709	side (noun)	2

56	middle	0708	middle (noun)	2

57	top	0729	on top (of the roof)	5

58	underneath	0	???	8

59	inside	0715	inside	1

60	outside	0714	outside	1

61	edge	0718	edge / rim / margin (noun)	2

62	time	0920	time / instance (of hitting)	2

63	year	0777	year (noun)	2

64	year / age	0777	year (noun)	2
64	year / age	0685	age (noun)	2

65	year, this	0777	year (noun)	2
65	year, this	0946	thus / this (way) / (like) this	2

66	year, last	0777	year (noun)	2
66	year, last	0780	year before last	6

67	year, next	0777	year (noun)	2
67	year, next	0782	year after next	6

68	year before last	0780	year before last	1

69	year after next	0782	year after next	1

70	spring	0049	spring (water) (noun)	2

71	summer	0792	summer (noun)	2

72	autumn	0793	fall / autumn (noun)	2

73	winter	0794	winter (noun)	2

74	month	0771	month (noun)	2

75	month (intercalary)	0771	month (noun)	2

76	January	0772	January (noun)	2

77	February	0773	February (noun)	2

78	March	0	???	8

79	April	0	???	8

80	May	0	???	8

81	June	0	???	8

82	July	0	???	8

83	August	0	???	8

84	September	0	???	8

85	October	0	???	8

86	November	0	???	8

87	December	0	???	8

88	day (24 hours)	0769	day (first of lunar month) (noun)	2

89	today	0738	today	1

90	yesterday	0739	yesterday	1

91	day before yesterday	0740	day before yesterday	1

92	tomorrow	0742	tomorrow	1

93	day after tomorrow	0743	day after tomorrow	1

94	day, first of month	0769	day (first of lunar month) (noun)	2
94	day, first of month	0776	end of a month (noun)	5

95	day, third of month	0769	day (first of lunar month) (noun)	2
95	day, third of month	0776	end of a month (noun)	5

96	day, fifth of month	0769	day (first of lunar month) (noun)	2
96	day, fifth of month	0776	end of a month (noun)	5

97	day, eleventh of month	0769	day (first of lunar month) (noun)	2
97	day, eleventh of month	0908	hectare, 1 / 15 of	7

98	day, fifteenth of month	0769	day (first of lunar month) (noun)	2
98	day, fifteenth of month	0908	hectare, 1 / 15 of	7

99	day, sixteenth of month	0769	day (first of lunar month) (noun)	2
99	day, sixteenth of month	0908	hectare, 1 / 15 of	7

100	day, twentieth of month	0769	day (first of lunar month) (noun)	2
100	day, twentieth of month	0908	hectare, 1 / 15 of	7

101	day, thirtieth of month	0769	day (first of lunar month) (noun)	2
101	day, thirtieth of month	0908	hectare, 1 / 15 of	7

102	day(time)	0769	day (first of lunar month) (noun)	2

103	morning	0749	morning (noun)	2

104	noon	0750	noon (noun)	2

105	night	0753	night, at	2

106	now	0744	three days from now	6

107	past, in the	0783	past, in the	1

108	from now on	0744	three days from now	6

109	bovine	0	???	8

110	water buffalo	0256	buffalo (noun)	5

111	cattle (common)	0258	cattle (bull-yak crossbreed) (noun)	2

112	mule	0281	mule (noun)	2

113	horse	0268	horse (noun)	2

114	donkey	0282	donkey (noun)	2

115	pig	0284	pig (noun)	2

116	goat / sheep (generic)	0276	goat (noun)	2
116	goat / sheep (generic)	0275	sheep (noun)	2

117	goat	0276	goat (noun)	2

118	sheep	0275	sheep (noun)	2

119	dog	0289	dog (noun)	2

120	cat	0291	cat (noun)	2

121	rabbit	0292	rabbit (noun)	2

122	dragon	0306	dragon (noun)	2

123	elephant	0309	elephant (noun)	2

124	tiger	0304	tiger (noun)	2

125	bear	0311	bear (noun)	2

126	leopard	0310	leopard / panther (noun)	2

127	boar	0285	boar (noun)	2

128	monkey	0308	monkey (noun)	2

129	deer	0313	deer (noun)	2

130	wolf	0324	wolf (noun)	2

131	roebuck	0	???	8

132	fox	0325	fox (noun)	2

133	otter	0317	otter (noun)	2

134	rat / mouse	0	???	8
134	rat / mouse	0320	mouse (noun)	2

135	chicken	0293	chicken (noun)	2

136	rooster	0	???	8

137	hen	0295	hen (noun)	2

138	duck	0300	duck (noun)	2

139	goose	0334	goose (wild) (noun)	2

140	pigeon	0	???	8

141	pheasant	0340	pheasant (noun)	2

142	bird	0326	bird (noun)	2

143	eagle	0330	eagle / vulture (noun)	2

144	wild goose	0334	goose (wild) (noun)	5

145	crow	0339	crow (noun)	2

146	magpie	0338	magpie (noun)	2

147	swallow	0333	swallow (noun)	2

148	sparrow	0336	sparrow (noun)	2

149	bat	0337	bat (noun)	2

150	frog	0349	frog (noun)	2

151	fish	0351	fish (noun)	2

152	snake	0347	snake (noun)	2

153	honeybee	0	???	8

154	butterfly	0370	butterfly (noun)	2

155	dragonfly	0369	dragonfly (noun)	2

156	grasshopper	0	???	8

157	ant	0365	ant (noun)	2

158	centipede	0362	centipede (noun)	2

159	spider	0361	spider (noun)	2

160	bedbug	0354	bedbug (noun)	2

161	flea	0355	flea (noun)	2

162	louse	0356	louse (noun)	2

163	nit	0357	nit (noun)	2

164	fly	0358	fly (noun)	2

165	mosquito	0360	mosquito (noun)	2

166	earthworm	0363	earthworm (noun)	2

167	leech	0364	leech (noun)	2

168	maggot	0359	maggot (noun)	2

169	insect / worm	0353	insect / worm (noun)	2

170	egg	0450	egg (noun)	2

171	wing	0298	wing (noun)	2

172	hair / fur	0266	hair / down (noun)	2
172	hair / fur	0	???	8

173	feather	0299	feather / plume (noun)	2

174	claw	0307	claw / talon (noun)	2

175	hoof	0264	hoof (noun)	2

176	horn	0263	horn (noun)	2

177	tail	0267	tail (noun)	2

178	tree	0372	tree (noun)	2

179	pine	0385	pine (noun)	2

180	oak	0	???	8

181	fir	0384	fir (China) (noun)	2

182	willow	0382	willow (noun)	2

183	bamboo	0389	bamboo (noun)	2

184	bamboo shoot	0389	bamboo (noun)	5

185	crops	0401	crops (noun)	2

186	rice (plant)	0403	rice (paddy) (noun)	2

187	barley	0412	barley (highland) (noun)	2

188	wheat	0410	wheat (noun)	2

189	barley (Tibetan)	0412	barley (highland) (noun)	2

190	buckwheat (sweet)	0413	buckwheat (noun)	2

191	buckwheat (bitter)	0413	buckwheat (noun)	2

192	sorghum	0	???	8

193	maize	0416	maize / corn (noun)	2

194	sweet potato	0426	potato (noun)	5

195	potato	0426	potato (noun)	2

196	taro	0	???	8

197	sugarcane	0399	sugarcane (noun)	2

198	peanut	0434	peanut (noun)	2

199	cotton	0418	cotton (noun)	2

200	ramie	0	???	8

201	beans	0	???	8

202	melon	0427	melon / gourd (noun)	2

203	pumpkin	0428	pumpkin (noun)	2

204	cucumber	0429	cucumber (noun)	2

205	eggplant	0	???	8

206	vegetable	0420	vegetable (noun)	2

207	cabbage (Chinese)	0	???	8

208	turnip	0	???	8

209	onion (green)	0423	onion / scallion (noun)	2

210	garlic	0424	garlic (noun)	2

211	ginger	0425	ginger (noun)	2

212	pepper, hot / chili	0422	pepper (hot) / chili (noun)	2
212	pepper, hot / chili	1075	hot / spicy	2

213	fruit	0378	fruit (noun)	2

214	peach	0392	peach (noun)	2

215	persimmon	0395	persimmon (noun)	2

216	grape	0396	grape (noun)	2

217	tobacco	0455	cigarette / tobacco (noun)	2

218	grass	0436	grass (noun)	2

219	mushroom	0437	mushroom (noun)	2

220	seed	0405	seed (noun)	2

221	seedling	0406	seedling (rice) (noun)	2

222	root	0375	root (noun)	2

223	stem / stalk	0	???	8

224	leaf	0376	leaf (noun)	2

225	branch	0374	branch / twig (noun)	2

226	bud	0381	bud (noun)	2

227	stone / pit	0379	pit / stone (noun)	2

228	flower	0377	flower (noun)	2

229	ear (of grain-producing plant)	0081	ear (noun)	2

230	thorn	0391	thorn / splinter (noun)	2

231	body	0073	body (noun)	2

232	head	0074	head (noun)	2

233	forehead	0077	forehead (noun)	2

234	hair of head	0074	head (noun)	5

235	plait	0076	braid / plait (noun)	2

236	face	0082	face (noun)	2

237	eyebrow	0078	eyebrow (noun)	2

238	eye	0079	eye (noun)	2

239	tear	1650	tear up / rip (verb)	5

240	nose	0080	nose (noun)	2

241	ear	0081	ear (noun)	2

242	mouth	0084	mouth (noun)	2

243	lip	0085	lip (noun)	2

244	tooth	0137	tooth (noun)	2

245	tongue	0139	tongue (noun)	2

246	beard	0086	beard / moustache / goatee (noun)	2

247	chin	0088	chin (noun)	2

248	neck	0089	neck (noun)	2

249	throat	0141	throat (noun)	2

250	shoulder	0090	shoulder (noun)	2

251	hand	0107	hand (noun)	2

252	fist	0114	fist (noun)	2

253	arm	0105	arm (noun)	2

254	elbow	0106	elbow (noun)	2

255	finger	0111	finger (middle) (noun)	2

256	fingernail	0	???	8

257	chest	0527	chest / box / trunk (noun)	2

258	back (of body)	0091	back (noun)	2

259	breast	0094	breast (noun)	2

260	belly	0096	belly (noun)	2

261	waist	0098	waist (noun)	2

262	buttocks	0099	buttocks (noun)	2

263	foot	0103	foot (noun)	2

264	leg	0	???	8

265	armpit	0092	armpit (noun)	2

266	skin	0120	skin (noun)	2

267	sinew	0130	tendon / sinew (noun)	2

268	blood	0129	blood (noun)	2

269	stomach	0148	stomach (noun)	2

270	kidney	0146	kidney (noun)	2

271	intestines	0	???	8

272	heart	0144	heart (noun)	2

273	liver	0145	liver (noun)	2

274	lung	0143	lung (noun)	2

275	gall	0147	gall bladder (noun)	6

276	bladder	0150	bladder (noun)	2

277	sweat	0154	sweat (noun)	2

278	snot	0	???	8

279	phlegm	0	???	8

280	saliva / spittle	0156	saliva (noun)	2
280	saliva / spittle	0	???	8

281	milk	0095	milk (noun)	2

282	excrement	0151	excrement (noun)	2

283	urine	0152	urine (noun)	2

284	fart	0153	fart (noun)	2

285	boil	0123	sore / boil (noun)	2

286	pus	0159	pus (noun)	2

287	smallpox	0	???	8

288	malaria	0	???	8

289	person	0206	person w / pockmarked face (noun)	5

290	man (male person)	0173	man (noun)	2

291	woman	0174	woman (noun)	2

292	old person	0206	person w / pockmarked face (noun)	5

