# EDICTOR
@modified: 2015-01-20 10:39
#
ID	DOCULECT	CONCEPT	IPA	TOKENS	ALIGNMENT	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	SOURCE	ID_IN_SOURCE	COGID	CHINESE_GLOSS	PST	POS
#
1	Tuoluo	alcohol	t͡sɤŋ₃₃	t͡s ɤ ŋ ₃₃	t͡s ɤ ŋ ₃₃	tsvŋ33	alcoholic beverage	Wang2006a	452	153	?	CVcT	?
2	Gongxing	alcohol	t͡soŋ₂₂	t͡s o ŋ ₂₂	t͡s o ŋ ₂₂	tsoŋ22	alcoholic beverage	Wang2006a	452	153	?	CVcT	?
3	Enqi	alcohol	t͡so₂₂	t͡s o ₂₂	t͡s o - ₂₂	tso22	alcoholic beverage	Wang2006a	452	153	?	CVT	?
4	Ega	alcohol	t͡sõ₂₂	t͡s õ ₂₂	t͡s õ - ₂₂	tsõ22	alcoholic beverage	Wang2006a	452	153	?	CVT	?
5	Jinman	alcohol	t͡sŋ₂₂	t͡s ŋ ₂₂	t͡s - ŋ ₂₂	tsŋ22	alcoholic beverage	Wang2006a	452	153	?	CcT	?
6	Jinxing	alcohol	t͡sɤ̃₃₃	t͡s ɤ̃ ₃₃	t͡s ɤ̃ - ₃₃	tsṽ33	alcoholic beverage	Wang2006a	452	153	?	CVT	?
7	Dashi	alcohol	t͡sõ₃₃	t͡s õ ₃₃	t͡s õ - ₃₃	tsõ33	alcoholic beverage	Wang2006a	452	153	?	CVT	?
8	Zhoucheng	alcohol	t͡si₃₃	t͡s i ₃₃	t͡s i - ₃₃	tsi33	alcoholic beverage	Wang2006a	452	153	?	CVT	?
9	Mazhelong	alcohol	t͡soŋ₃₃	t͡s o ŋ ₃₃	t͡s o ŋ ₃₃	tsoŋ33	alcoholic beverage	Wang2006a	452	153	?	CVcT	?
10	Jianchuan	alcohol	t͡sɤ̃₃₃	t͡s ɤ̃ ₃₃	t͡s ɤ̃ - ₃₃	tsɤ̃33	alcohol(drink)	Allen2007	204	153	酒	CVT	?
11	Eryuan	alcohol	t͡sɤ₃₃	t͡s ɤ ₃₃	t͡s ɤ - ₃₃	tsɤ33	alcohol(drink)	Allen2007	204	153	酒	CVT	?
12	Heqi	alcohol	t͡sũɔ̃₃₃	t͡s ũɔ̃ ₃₃	t͡s ũɔ̃ - ₃₃	tsũɔ̃33	alcohol(drink)	Allen2007	204	153	酒	CVT	?
13	Lanping	alcohol	t͡sõ₄₄	t͡s õ ₄₄	t͡s õ - ₄₄	tsõ44	alcohol(drink)	Allen2007	204	153	酒	CVT	?
14	Qiliqiao	alcohol	t͡sɿ₃₃	t͡s ɿ ₃₃	t͡s ɿ - ₃₃	tsɿ33	alcohol(drink)	Allen2007	204	153	酒	CVT	?
15	Yunlong	alcohol	d͡zɿ₃₃	d͡z ɿ ₃₃	d͡z ɿ - ₃₃	dzɿ33	alcohol(drink)	Allen2007	204	153	酒	CVT	?
16	Xiangyun	alcohol	jɛ̃₃₃	j ɛ̃ ₃₃	j ɛ̃ - ₃₃	jɛ̃33	alcohol(drink)	Allen2007	204	2621	酒	CVT	?
17	Luobenzhuo	alcohol	t͡sõ₃₃	t͡s õ ₃₃	t͡s õ - ₃₃	tsõ33	alcohol(drink)	Allen2007	204	153	酒	CVT	?
#
18	Tuoluo	ant	t͡ɕien₅₅ɕaŋ₅₅	t͡ɕ ie n ₅₅ ɕ a ŋ ₅₅	t͡ɕ ie n ₅₅ ɕ a ŋ ₅₅ - - -	tɕien55(ɕaŋ55)	ant	Wang2006a	365	114	?	CVcTCVcT	?
19	Gongxing	ant	d͡zu₁₂bu₁₂	d͡z u ₁₂ b u ₁₂	d͡z u - ₁₂ b u - ₁₂ - - -	dzu12bu12	ant	Wang2006a	365	114	?	CVTCVT	?
20	Enqi	ant	t͡su₄₃pɯ₂₁	t͡s u ₄₃ p ɯ ₂₁	t͡s u - ₄₃ p ɯ - ₂₁ - - -	tsu43pɯ21	ant	Wang2006a	365	114	?	CVTCVT	?
21	Ega	ant	t͡ɕi₂₁pɯ₂₁	t͡ɕ i ₂₁ p ɯ ₂₁	t͡ɕ i - ₂₁ p ɯ - ₂₁ - - -	tɕi21pɯ21	ant	Wang2006a	365	114	?	CVTCVT	?
22	Jinman	ant	t͡ɕi₂₁pɯ₂₁	t͡ɕ i ₂₁ p ɯ ₂₁	t͡ɕ i - ₂₁ p ɯ - ₂₁ - - -	tɕi21pɯ21	ant	Wang2006a	365	114	?	CVTCVT	?
23	Jinxing	ant	pien₂₁põ₂₁	p ie n ₂₁ p õ ₂₁	p ie n ₂₁ p õ - ₂₁ - - -	pien21põ21	ant	Wang2006a	365	114	?	CVcTCVT	?
