OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5662	qua₄₂	q u a ₄₂	1143	Wang2006a, 586	stick	(qua42)	q u a ₄₂
5466	t͡ɕiu₂₁	t͡ɕ i u ₂₁	222	Wang2006a, 353	worm	tɕiu21	t͡ɕ i u ₂₁
5980	ɕi₅₅	ɕ i ₅₅	645	Wang2006a, 356	louse	ɕi55	ɕ i ₅₅
5599	t͡suẽ₅₅	t͡s u ẽ ₅₅	970	Wang2006a, 61	salt	tsuẽ55	t͡s u ẽ - ₅₅
5482	kɤ₂₂	k ɤ ₂₂	798	Wang2006a, 1493	old	kv22	k ɤ ₂₂
3269	te₄₂	t e ₄₂	945	Wang2006a, 375	root	te42	t e ₄₂
5485	uẽ₂₂	u ẽ ₂₂	1361	Wang2006a, 1064	lukewarm	uẽ22	u ẽ ₂₂
5463	mo₂₂	m o ₂₂	717	Wang2006a, 219	mother	mo22	m o ₂₂
7039	xɛ̃₅₅	x ɛ̃ ₅₅	1038	Wang2006a, 1	sky	xɛ̃55	x ɛ̃ ₅₅
2421	ʂɚ̃₅₅	ʂ ɚ̃ ₅₅	728	Wang2006a, 23	mountain	ʂɚ̃55	ʂ ɚ̃ ₅₅
961244	kɯ₂₁	k ɯ ₂₁	1	Wang2006a, 1502	(water flow)	kɯ21	k ɯ ₂₁
400	t͡so₅₅	t͡s o ₅₅	54	Wang2006a, 326	bird	tso55	t͡s o ₅₅
966	qʰõ₂₂	qʰ õ ₂₂	166	Wang2006a, 289	dog	qʰõ22	qʰ õ ₂₂
6055	zye₄₂	z y e ₄₂	1322	Wang2006a, 1806	turn around	zye42	z y e ₄₂
3388	t͡ɕ↑iɚ̃₂₂	t͡ɕ ↑ i ɚ̃ ₂₂	1072	Wang2006a, 347	snake	tɕ↑iɚ̃22	t͡ɕ ↑ i ɚ̃ ₂₂
3388	t͡ɕʰiɚ̃₂₂	t͡ɕʰ i ɚ̃ ₂₂	1076	Wang2006a, 347	snake	tɕʰiɚ̃22	t͡ɕʰ i ɚ̃ ₂₂
4160	t͡ɕyi₅₅	t͡ɕ y i ₅₅	1425	Wang2006a, 9	wind	tɕyi55	t͡ɕ y i - ₅₅
7709	qʰo₅₅	qʰ o ₅₅	148	Wang2006a, 1485	cry (verb or noun?, should be made clear later on)	qʰo55	qʰ o ₅₅
3451	fi₂₂se₅₅	f i ₂₂ s e ₅₅	1057	Wang2006a, 19	smoke	fi22se55	f i ₂₂ s e - ₅₅
6017	le₅₅	l e ₅₅	1123	Wang2006a, 1405	squeeze (for milk)	(le55)	l e ₅₅
3455	sue₅₅	s u e ₅₅	1077	Wang2006a, 12	snow	sue55	s u e ₅₅
443659	xo₂₂	x o ₂₂	382	Wang2006a, 1052	good	xo22	x o ₂₂
5650	que₄₂	q u e ₄₂	17	Wang2006a, 1053	bad (things)	que42	q u e ₄₂
446278	ʈe₂₁me₅₅	ʈ e ₂₁ m e ₅₅	420	Wang2006a, 75	hair	[ʈe21me55]	ʈ - e ₂₁ m e ₅₅
5439	t͡ɕua₅₃	t͡ɕ u a ₅₃	29	Wang2006a, 1438	to bark	tɕua53	t͡ɕ u a ₅₃
3361	t͡ɕõ₂₂	t͡ɕ õ ₂₂	985	Wang2006a, 405	seed	tɕõ22	t͡ɕ õ ₂₂
7800	sõ₄₂	s õ ₄₂	534	Wang2006a, 1160	to be ill	(sõ42)	s õ ₄₂
6457	pɯ₂₁	p ɯ ₂₁	330	Wang2006a, 1553	float	pɯ21	p ɯ ₂₁
