OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5466	pi₂₁t͡ɕa₃₅t͡sɤ₂₁	p i ₂₁ t͡ɕ a ₃₅ t͡s ɤ ₂₁	233	Allen2007, 81	earthworm / 蚯蚓	pi21tɕa35tsɤ21	p i ₂₁ t͡ɕ a ₃₅ t͡s ɤ ₂₁
7027	kuɔ₄₂t͡ɕi₃₁	k u ɔ ₄₂ t͡ɕ i ₃₁	1385	Allen2007, 18	wet / 水田	kuɔ42tɕi31	k u ɔ ₄₂ t͡ɕ i ₃₁
7027	pʰɛ₅₅	pʰ ɛ ₅₅	1388	Allen2007, 420	wet / 湿	pʰɛ55	pʰ ɛ ₅₅
5980	ɕi₄₄	ɕ i ₄₄	645	Allen2007, 78	louse / 虱子	ɕi44	ɕ i ₄₄
5599	pi₃₅	p i ₃₅	972	Allen2007, 200	salt / 盐	pi35	p i ₃₅
5482	ku₃₃	k u ₃₃	798	Allen2007, 415	old / 老	ku33	k u ₃₃
5429	vɤ₃₃ɲi₂₁	v ɤ ₃₃ ɲ i ₂₁	1419	Allen2007, 164	wife / 妻子	vɤ33ɲi21	v ɤ ₃₃ ɲ i ₂₁
336072	ta₃₁	t a ₃₁	1135	Allen2007, 343	steal / 偷	ta31	t a ₃₁
3269	mi₄₄	m i ₄₄	948	Allen2007, 115	root / 根	mi44	m i ₄₄
5485	we₃₅	w e ₃₅	1357	Allen2007, 435	warm / 暖和	we35	w e ₃₅ - -
496633	sɿ₃₁	s ɿ ₃₁	836	Allen2007, 445	painful / 痛	sɿ31	s ɿ ₃₁
5463	a₃₁mɔ₃₃	a ₃₁ m ɔ ₃₃	719	Allen2007, 163	mother / 母亲	a31mɔ33	a ₃₁ m ɔ ₃₃
7039	xe₅₅	x e ₅₅	1038	Allen2007, 1	sky / 天	xe55	x e ₅₅
2421	sɤ₃₂	s ɤ ₃₂	728	Allen2007, 22	mountain / 山	sɤ32	s ɤ ₃₂
522875	pi₂₁	p i ₂₁	1017	Allen2007, 117	shoot,sprout / 芽	pi21	p i ₂₁
400	t͡so₄₄	t͡s o ₄₄	54	Allen2007, 61	bird / 鸟	tso44	t͡s o ₄₄
6280	kʰuɔ₃₃	kʰ u ɔ ₃₃	366	Allen2007, 119	fruit / 果	kʰuɔ33	kʰ u ɔ ₃₃
6025	kɛ₃₅	k ɛ ₃₅	301	Allen2007, 347	fear / 怕	kɛ35	k ɛ ₃₅
966	kʰua₃₃	kʰ u a ₃₃	163	Allen2007, 50	dog / 狗	kʰua33	kʰ u a - ₃₃
5528	ji₃₅la₄₄kʰɤ₅₅	j i ₃₅ l a ₄₄ kʰ ɤ ₅₅	1440	Allen2007, 85	wing(bird) / 翅膀	ji35la44kʰɤ55	j i ₃₅ l a ₄₄ kʰ ɤ ₅₅
3388	kʰɤ₃₃	kʰ ɤ ₃₃	1065	Allen2007, 70	snake / 蛇	kʰɤ33	kʰ ɤ ₃₃
154737	kuɔ₃₅	k u ɔ ₃₅	405	Allen2007, 377	grow(of people) / 长（长大）	kuɔ35	k u ɔ ₃₅
5492	a₅₅na₄₄	a ₅₅ n a ₄₄	1402	Allen2007, 490	where / 哪里	a55na44	a ₅₅ n a ₄₄
4160	pi₃₅sɿ₃₅	p i ₃₅ s ɿ ₃₅	1427	Allen2007, 6	wind / 风	pi35sɿ35	p i ₃₅ s ɿ ₃₅
7709	kʰo₄₄	kʰ o ₄₄	148	Allen2007, 349	cry / 哭	kʰo44	kʰ o ₄₄
3455	ɕy₄₄	ɕ y ₄₄	1089	Allen2007, 11	snow / 雪	ɕy44	ɕ y ₄₄
443659	xu₃₃	x u ₃₃	382	Allen2007, 416	good / 好	xu33	x u ₃₃
5650	xe₄₄	x e ₄₄	20	Allen2007, 417	bad / 坏	xe44	x e ₄₄
1675	ʧʰu₃₃	ʧʰ u ₃₃	396	Allen2007, 112	grass / 草	ʧʰu33	ʧʰ u ₃₃
446278	tɯ₂₁ma₃₅	t ɯ ₂₁ m a ₃₅	420	Allen2007, 125	hair / 头发	tɯ21ma35	t ɯ - ₂₁ m a ₃₅
5439	pia₄₂	p i a ₄₂	28	Allen2007, 382	bark(of dog) / 吠	pia42	p i a ₄₂
3361	t͡sɤ₃₃	t͡s ɤ ₃₃	985	Allen2007, 114	seed / 种子	tsɤ33	t͡s ɤ ₃₃
7800	pɛ₃₁	p ɛ ₃₁	533	Allen2007, 378	be sick,ill / 病	pɛ31	p ɛ ₃₁
6068	ma₃₅	m a ₃₅	886	Allen2007, 276	push / 推	ma35	m a ₃₅
509787	xe₅₅mɛ₂₁	x e ₅₅ m ɛ ₂₁	1277	Allen2007, 9	thunder(vb) / 打雷	xe55mɛ21	x e - ₅₅ m ɛ - ₂₁
6032	nɤ₃₃	n ɤ ₃₃	402	Allen2007, 411	green / 绿	nɤ33	n ɤ ₃₃
1446	xue₃₃	x u e ₃₃	316	Allen2007, 24	fire / 火	xue33	x u e ₃₃
5995	miɛ₃₅	m i ɛ ₃₅	746	Allen2007, 242	name / 名字	miɛ35	m i ɛ ₃₅
6312	t͡sɿ₄₂	t͡s ɿ ₄₂	1199	Allen2007, 459	ten / 十	tsɿ42	t͡s ɿ ₄₂
6069	se₃₃	s e ₃₃	1370	Allen2007, 320	wash / 洗	se33	s e ₃₃
6041	ɕɛ₅₅o₃₃	ɕ ɛ ₅₅ o ₃₃	1127	Allen2007, 4	star / 星星	ɕɛ55o33	ɕ ɛ ₅₅ - o ₃₃
156096	sa₅₅	s a ₅₅	1272	Allen2007, 452	three / 三	sa55	s a ₅₅
5503	ʧʰu₅₅	ʧʰ u ₅₅	1243	Allen2007, 392	thick,coarse / 粗	ʧʰu55	ʧʰ u ₅₅
1287831	a₅₅ta₄₄	a ₅₅ t a ₄₄	452	Allen2007, 485	here / 这里	a55ta44	a ₅₅ t a ₄₄
5458	lɯ₃₁	l ɯ ₃₁	1255	Allen2007, 484	this / 这	lɯ31	l ɯ ₃₁
950344	t͡so₂₁	t͡s o ₂₁	541	Allen2007, 147	intestine,gut / 肠子	tso21	t͡s o ₂₁
6042	so₅₅	s o ₅₅	364	Allen2007, 12	frost / 霜	so55	s o ₅₅
5983	kua₄₄tɯ₂₁	k u a ₄₄ t ɯ ₂₁	97	Allen2007, 144	bone / 骨头	kua44tɯ21	k u a ₄₄ t - ɯ ₂₁
5490	a₅₅ɲi₂₁	a ₅₅ ɲ i ₂₁	1415	Allen2007, 488	who / 谁	a55ɲi21	a ₅₅ ɲ i ₂₁
5440	t͡se₄₂pʰi₃₁	t͡s e ₄₂ pʰ i ₃₁	1293	Allen2007, 132	tongue / 舌头	tse42pʰi31	t͡s e ₄₂ pʰ i ₃₁
5639	kɯ₃₅	k ɯ ₃₅	136	Allen2007, 434	cold / 冷	kɯ35	k ɯ ₃₅
869106	t͡ɕiɛ₃₃	t͡ɕ i ɛ ₃₃	758	Allen2007, 397	near / 近	tɕiɛ33	t͡ɕ i ɛ - ₃₃
340828	se₃₂	s e ₃₂	252	Allen2007, 84	egg / 蛋	se32	s e ₃₂
7004	t͡ɕʰi₄₄	t͡ɕʰ i ₄₄	999	Allen2007, 456	seven / 七	tɕʰi44	t͡ɕʰ i ₄₄
1333710	t͡sʰɛ₄₄	t͡sʰ ɛ ₄₄	910	Allen2007, 406	red / 红	tsʰɛ44/xuɔ35	t͡sʰ ɛ ₄₄
3854	t͡sɯ₃₁	t͡s ɯ ₃₁	1306	Allen2007, 89	tree / 树	tsɯ31	t͡s ɯ ₃₁
3253	kɤ₃₅	k ɤ ₃₅	930	Allen2007, 15	river / 河	kɤ35	k ɤ ₃₅
5438	t͡so₂₁	t͡s o ₂₁	640	Allen2007, 390	long / 长	tso21	t͡s o ₂₁
5476	ka₃₅	k a ₃₅	628	Allen2007, 150	liver / 肝	ka35	k a ₃₅
1510493	t͡so₄₂	t͡s o ₄₂	122	Allen2007, 263	chew / 嚼	tso42	t͡s o ₄₂
