# Wordlist

# META
@modified:2015-01-20 10:39

# DATA
ID	IPA	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	POS	DOCULECT	CONCEPT	OMEGAWIKI	CHINESE_GLOSS
#
5353	gɯ₁₂	Wang2006a, 1502	(water flow)	gɯ12	?	Gongxing	(water flow)	961244	?
5357	kɯ₂₁	Wang2006a, 1502	(water flow)	kɯ21	?	Jinxing	(water flow)	961244	?
5354	kɯ₂₁	Wang2006a, 1502	(water flow)	kɯ21	?	Enqi	(water flow)	961244	?
5358	kɯ₂₁	Wang2006a, 1502	(water flow)	kɯ21	?	Dashi	(water flow)	961244	?
5356	kɯ₂₁	Wang2006a, 1502	(water flow)	kɯ21	?	Jinman	(water flow)	961244	?
5355	kɯ₂₁	Wang2006a, 1502	(water flow)	kɯ21	?	Ega	(water flow)	961244	?
5352	gɯ₃₅	Wang2006a, 1502	(water flow)	gɯ35	?	Tuoluo	(water flow)	961244	?
5359	kɯ₂₁	Wang2006a, 1502	(water flow)	kɯ21	?	Zhoucheng	(water flow)	961244	?
5360	kɯ₂₁	Wang2006a, 1502	(water flow)	kɯ21	?	Mazhelong	(water flow)	961244	?
#
4460	guo₄₂	Wang2006a, 511	(wood)	guo42	?	Tuoluo	(wood)	741520	?
4461	ɢua₂₁	Wang2006a, 511	(wood)	ɢua21	?	Gongxing	(wood)	741520	?
4462	qua₂₁	Wang2006a, 511	(wood)	qua21	?	Enqi	(wood)	741520	?
4463	kuɑ₄₂	Wang2006a, 511	(wood)	kuɑ42	?	Jinxing	(wood)	741520	?
4464	kua₄₂	Wang2006a, 511	(wood)	kua42	?	Dashi	(wood)	741520	?
#
7867	t͡sa₃₅ɕɯ₅₅	Allen2007, 499	all / 都	tsa35ɕɯ55	?	Heqi	all	1173416	都
7868	t͡ɕʰɛ̃₅₅tɯ₃₁ku₃₃	Allen2007, 499	all / 都	tɕʰɛ̃55(tɯ31ku33)	?	Lanping	all	1173416	都
7871	t͡ɕʰuɛ₅₅	Allen2007, 499	all / 都	tɕʰuɛ55	?	Xiangyun	all	1173416	都
7870	t͡sa₅₅t͡ɕʰi₃₁	Allen2007, 499	all / 都	tsa55tɕʰi31	?	Yunlong	all	1173416	都
