nouns	weather, geography	一、天象、地理
nouns	time, season 	二、时間、节令
nouns	minerals and other natural objects	三、矿物及其他自然物
nouns	animals	四、动物
nouns	plants	五、植物
nouns	food	六、飮食
nouns	clothing	七、服飾
nouns	living, dwelling	八、房屋
nouns	tools of daily use	九、器具、日常用具
nouns	instruments, material	十、工具、材料
nouns	business, communication, traffic	十一、商业、邮电、交通
nouns	culture, music	十二、文化、娛乐
nouns	human body	十三、人体
nouns	human character	十四、人品
nouns	kinship terms	十五、亲属称呼
nouns	directions	十六、方位
nouns	other	十七、其他
verbs	natural change	一、自然变化
verbs	sense-related actions	二、五官动作
verbs	body-part related actions 	三、肢体动作
verbs	daily actions	四、日常操作
verbs	communication	五、交际、事务、人事
verbs	culture, music	六、文化、娛乐
verbs	physiology and disease	七、生理、病理
verbs	perceive, reflect 	八、感受、思維
verbs	desire, judge	九、願望、判断
verbs	other	十、其他
adjectives	appearance, situation	一、形状、情况
adjectives	character	二、性质
adjectives	physiological perception	三、生理感觉
adjectives	describing body appearance	四、形貌体态
adjectives	behavior	五、品性、行为
adjectives	mood	六、心理感受
pronounss	personal	一、人称代詞
pronounss	possessive	二、物主代詞
pronounss	demonstrative	三、指示代詞
pronounss	interrogative	四、疑問代詞
classifiers	nominal	一、物量詞
classifiers	verbal	二、动量詞
