CONCEPT	OMEGAWIKI	CHINESE	POS	WOLD	ABVD	IELex	SWADESH_1952	SWADESH_1955	TowerOfBabel
above	7064	-	Function word	12081	above (175)	-	-	-	-
all	1173416	全部	Function word	13.14	all (191)	all (2)	all (of a number)(1)	all(1)	all(84)
and	6464	和	Function word	17.51	and (192)	and (3)	and(2)	-	-
the ashes	264	灰	Noun	1.84	ashes (146)	ashes (5)	ashes(4)	ashes(2)	ashes(43)
the back	5648	背	Noun	4.19	back (13)	back (7)	back (person's)(6)	-	-
bad	5650	坏	Adjective	16.72	bad, evil (165)	bad (8)	bad (deleterious or unsuitable)(7)	-	-
the bark	5439	树皮	Noun	8.75	-	bark (9)	bark(8)	bark(3)	bark(102)
to be alive	6028	活的	Verb	4.74	to live, be alive (76)	live (95)	to live(90)	-	-
the belly	5516	肚子	Noun	4431	belly (14)	belly (11)	belly(10)	belly(4)	belly(109)
below, under	6199	-	Function word	12.07	below (176)	-	-	-	-
big	5437	大	Adjective	12.55	big (153)	big (12)	big(12)	big(5)	big(101)
the bird	400	鸟	Noun	3581	bird (97)	bird (13)	bird(13)	bird(6)	bird(37)
to bite	5993	咬	Verb	4.58	to bite (41)	bite (14)	to bite(14)	bite(7)	bite(80)
black	1341728	黑	Adjective	15.65	black (147)	black (15)	black(15)	black(8)	black(71)
the blood	411	血	Noun	4.15	blood (23)	blood (16)	blood(16)	blood(9)	blood(20)
to blow	1375415	吹	Verb	10.38	to blow (137)	blow (17)	to blow (of wind)(17)	-	-
blunt	1511061	-	Adjective	15.79	dull, blunt (82)	dull (35)	dull (knife)(34)	-	-
the bone	5983	骨头	Noun	4.16	bone (15)	bone (18)	bone(18)	bone(10)	bone(38)
the branch	6343	-	Noun	8.55	branch (113)	-	-	-	-
the breast	5992	乳房	Noun	4.41	breast (18)	breast (19)	-	breast(11)	breast(49)
to breathe	5998	呼吸	Verb	4.51	to breathe (28)	breathe (20)	to breathe(19)	-	-
to burn [transitive]	1299599	烧	Verb	1851	to burn (144)	burn (21)	-	burn tr.(12)	burn(74)
to buy	8061	-	Verb	11.81	to buy (91)	-	-	-	-
to chew	1510493	-	Verb	5.18	to chew (38)	-	-	-	-
the child (descendant)	7413	-	Noun	2.43	child (56)	child (22)	-	-	-
to choose	7084	-	Verb	16622	to choose (85)	-	-	-	-
to climb	479387	-	Verb	10472	to climb (172)	-	-	-	-
the cloud	623	云	Noun	1.73	cloud (131)	cloud (23)	cloud(22)	cloud(14)	cloud(99)
cold (of temperature)	5639	冷	Adjective	15.86	cold (139)	cold (24)	cold (of weather)(23)	cold(15)	cold(92)
to come	6056	来	Verb	10.48	to come (7)	come (25)	to come(24)	come(16)	come(51)
to cook	479132	-	Verb	5.21	to cook (39)	-	-	-	-
correct (right)	7026	对	Adjective	16.73	right // correct, true (3 // 166)	right (123)	right (correct)(117)	-	-
to count	6026	数	Verb	13107	to count (196)	count (26)	to count(25)	-	-
to cry	7709	-	Verb	16.37	to cry (34)	-	-	-	-
to cut	6043	砍	Verb	9.22	to cut, hack (78)	cut (27)	to cut(26)	-	-
the day (opposed to night)	5477	天	Noun	14.41	day (168)	day (28)	day (opposite of night rather than time measure)(27)	-	-
to die	6245	死	Verb	4.75	to die, be dead (75)	die (29)	to die(28)	die(17)	die(13)
to dig	6024	挖	Verb	8.22	to dig (90)	dig (30)	to dig(29)	-	-
dirty	5483	脏	Adjective	15.88	dirty (10)	dirty (31)	dirty(30)	-	-
the dog	966	狗	Noun	3.61	dog (96)	dog (32)	dog(31)	dog(18)	dog(16)
to the dream	8448	-	Verb	4.62	to dream (50)	-	-	-	-
to drink	5991	喝	Verb	5.13	to drink (40)	drink (33)	drink(32)	drink(19)	drink(15)
dry	5989	干	Adjective	15.84	dry (140)	dry (34)	dry (substance)(33)	dry(20)	dry(24)
the dust	1009	尘土	Noun	1213	dust (11)	dust (36)	dust(35)	-	-
the ear	5510	耳朵	Noun	4.22	ear (43)	ear (37)	ear(36)	ear(21)	ear(35)
the earth (soil)	5481	土地	Noun	1212	earth/soil (119)	earth (38)	earth (soil)(37)	earth(22)	earth(75)
to eat	5827	吃	Verb	5.11	to eat (37)	eat (39)	to eat(38)	eat(23)	eat(26)
the egg	340828	鸡蛋	Noun	5.97	egg (98)	egg (40)	egg(39)	egg(24)	egg(68)
eight	7005	-	Function word	13.08	Eight (204)	-	-	-	-
the eye	5511	眼睛	Noun	4.21	eye (45)	eye (41)	eye(40)	eye(25)	eye(4)
to fall	5622	掉	Verb	10.23	to fall (95)	fall (42)	to fall (drop rather than topple)(41)	-	-
far	5997	元	Adverb	12.44	far (180)	far (43)	far(42)	-	far(100)
the fat (grease)	5624	脂肪	Noun	5791	fat/grease (104)	fat (44)	fat (organic substance)(43)	fat (grease)(26)	fat(81)
the father	5464	父亲	Noun	2.35	father (60)	father (45)	father(44)	-	-
to fear (be afraid)	6025	怕	Verb	-	to fear (22)	fear (46)	to fear(45)	-	-
the feather	5436	羽毛	Noun	4393	feather (99)	feather (47)	feather (larger feathers rather than down)(46)	feather(27)	feather(77)
female	6393	-	Adjective	2.24;3.13	woman/female (55)	-	-	-	-
few	5500	少	Function word	13.17	-	few (48)	few(47)	-	-
to fight	6030	打架	Verb	20.11	-	fight (49)	to fight(48)	-	-
the fire	1446	火	Noun	1.81	fire (143)	fire (51)	fire(49)	fire(28)	fire(7)
the fish	1460	鱼	Noun	3.65	fish (111)	fish (52)	fish(50)	fish(29)	fish(47)
five	156104	五	Function word	13.05	Five (201)	five (53)	five(51)	-	-
to float	6457	漂浮	Verb	10.34	-	float (54)	to float(52)	-	-
to flow	961244	流	Verb	10.32	to flow (123)	flow (55)	to flow(53)	-	-
the flower	1487	花	Noun	8.57	flower (116)	flower (56)	flower(54)	-	-
to fly (move through air)	6052	飞	Verb	10.37	to fly (101)	fly (57)	to fly(55)	fly(30)	fly(58)
the fog	1502	雾	Noun	1.74	fog (132)	fog (58)	fog(56)	-	-
the foot	5672	脚	Noun	4.37	leg/foot (4)	foot (59)	foot(57)	foot(31)	foot(53)
the forest	1533	森林	Noun	1.41	woods/forest (127)	woods (203)	woods(196)	-	-
four	6253	四	Function word	13.04	Four (200)	four (60)	four(58)	-	-
to freeze	6042	结冰	Verb	1775	-	freeze (61)	to freeze(59)	-	-
the fruit	6280	水果	Noun	5.71	fruit (117)	fruit (62)	berry (or fruit)(11)	-	-
full	6040	满	Adjective	13.21	-	full (63)	-	full(32)	full(34)
to give	6059	给	Verb	11.21	-	give (64)	to give(60)	give(33)	give(44)
good	443659	好	Adjective	16.71	good (164)	good (65)	good(61)	good(34)	good(105)
the grass	1675	草	Noun	8.51	grass (118)	grass (66)	grass(62)	-	-
green	6032	绿	Adjective	15.68	green (151)	green (67)	green(63)	green(35)	green(98)
to grow	154737	-	Verb	12.53	to grow (86)	-	-	-	-
the hair	446278	头发	Noun	4.14	hair (26)	hair (69)	hair(65)	hair(36)	hair(29)
the hand	5616	手	Noun	4.33	hand (1)	hand (70)	hand(66)	hand(37)	hand(11)
he or she [third person singular]	5454	他	Function word	2931	he/she (184)	he (71)	he(67)	-	-
the head	5527	头	Noun	4.2	head (24)	head (72)	head(68)	head(38)	head(72)
to hear	5999	听见	Verb	15.41	to hear (44)	hear (73)	to hear(69)	hear(39)	hear(59)
the heart	5475	心脏	Noun	4.44	-	heart (74)	heart(70)	heart(40)	heart(14)
heavy	5451	重	Adjective	15.81	heavy (142)	heavy (75)	heavy(71)	-	heavy(88)
here	1287831	这里	Function word	24.09	-	here (76)	here(72)	-	-
to hide (conceal)	161806	-	Verb	12.27	to hide (171)	-	-	-	-
to hit	6044	打	Verb	9.21	to hit (72)	hit (77)	to hit(73)	-	-
to hold	6060	拿	Verb	11.15	to hold (89)	hold (78)	to hold (in hand)(74)	-	-
the horn (keratinized skin)	5981	角	Noun	4.17	-	horn (79)	-	horn(41)	horn(57)
the house	5517	-	Noun	7.12	house (61)	-	-	-	-
how	5494	怎么	Function word	17.61	how? (194)	how (80)	how(75)	-	-
hundred	6685	-	Function word	13105	One Hundred (209)	-	-	-	-
to hunt	6046	打猎	Verb	20.61	to hunt (69)	hunt (81)	to hunt (game)(76)	-	-
the husband	5432	丈夫	Noun	2.31	husband (57)	husband (82)	husband(77)	-	-
I [first person singular]	5450	我	Function word	2.91	I (182)	I (1)	I(78)	I(42)	I(3)
the ice	1837	冰	Noun	1.77	-	ice (83)	ice(79)	-	-
the intestines	950344	-	Noun	4461	intestines (16)	-	-	-	-
to kill	6023	杀	Verb	4.76	to kill (74)	kill (86)	to kill(82)	kill(43)	kill(52)
the knee	5918	膝	Noun	4.36	-	knee (87)	-	knee(44)	knee(70)
to know	6004	知道	Verb	17.17	to know, be knowledgeable (20)	know (88)	to know (facts)(83)	know(45)	know(65)
the lake	2061	湖	Noun	1.33	lake (126)	lake (89)	lake(84)	-	-
to laugh	5876	笑	Verb	16.25	to laugh (33)	laugh (90)	to laugh(85)	-	-
the leaf	2124	叶子	Noun	8.56	leaf (114)	leaf (91)	leaf(86)	leaf(46)	leaf(50)
left	1499731	左边	Adjective	12.42	left (2)	left (92)	left (hand)(87)	-	-
the leg	5665	脚	Noun	4.35	leg/foot (4)	leg (93)	leg(88)	-	-
to lie down	1425860	-	Verb	12.14	to lie down (49)	-	-	-	-
to lie, rest	6005	趟	Verb	12.14	-	lie (94)	to lie(89)	lie(47)	lie(97)
the lightning	6811	-	Noun	1.55	lightning (135)	-	-	-	-
the liver	5476	肝	Noun	4.45	liver (17)	liver (96)	liver(91)	liver(48)	liver(25)
long	5438	长	Adjective	12.57	long (155)	long (97)	long(92)	long(49)	long(61)
the louse	5980	虱子	Noun	3811	louse (108)	louse (98)	louse(93)	louse(50)	louse(17)
male	6396	-	Adjective	2.23;3.12	man/male (54)	-	-	-	-
the man	6397	男人	Noun	2.21	man/male (54)	man (99)	man (male human)(94)	man(51)	man(82)
many	5423	多	Function word	13.15	-	many (100)	many(95)	many(52)	many(106)
the meat	2300	肉	Noun	5.61	meat/flesh (103)	meat (101)	meat (flesh)(96)	meat (flesh)(53)	meat(63)
the moon	5729	月亮	Noun	1.53	moon (129)	moon (102)	-	moon(54)	moon(18)
the mosquito	630453	-	Noun	3832	mosquito (109)	-	-	-	-
the mother	5463	母亲	Noun	2.36	mother (59)	mother (103)	mother(97)	-	-
the mountain	2421	山	Noun	1.22	-	mountain (104)	mountain(98)	mountain(55)	mountain(107)
the mouth	332000	嘴	Noun	4.24	mouth (30)	mouth (105)	mouth(99)	mouth(56)	mouth(33)
the nail (fingernail or claw)	828575	爪子	Noun	-	-	fingernail (50)	-	claw (nail)(13)	claw (nail)(19)
the name	5995	名字	Noun	18.28	name (63)	name (106)	name(100)	name(57)	name(10)
narrow	5566	窄	Adjective	12.62	narrow (158)	narrow (107)	narrow(101)	-	-
near	869106	近	Adverb	12.43	near (179)	near (108)	near(102)	-	near(95)
the neck	5823	脖子	Noun	4.28	neck (25)	neck (109)	neck(103)	neck(58)	neck(48)
the needle (for sewing)	5951	-	Noun	6.36	needle (68)	-	-	-	-
new	5484	新	Adjective	14.13	new (163)	new (110)	new(104)	new(59)	new(23)
the night	5486	晚上	Noun	14.42	night (167)	night (111)	night(105)	night(60)	night(86)
