# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	IELEX	IPA	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	SCAID	SOURCE	SUBGROUP	SWADESH_1952	SWADESH_1955	TOKENS	TOWEROFBABEL	WOLD
#
5036	I (182)	- ŋ õ ∼ ³¹			我	1	I [first person singular]	Dashi		ŋõ31	I	-	I (1)	ŋõ₃₁		-	5450					Function word	512	Wang2006a, 928	Bai	I(78)	I(42)	ŋ õ ∼ ³¹	I(3)	2.91
5037	I (182)	-			我	0	I [first person singular]	Zhaozhuang		-	-	-	I (1)	-		-	5450					Function word	0	-	Bai	I(78)	I(42)	-	I(3)	2.91
5038	I (182)	- ŋ o - ⁴²			我	1	I [first person singular]	Ega		ŋo42	I	-	I (1)	ŋo₄₂		-	5450					Function word	512	Wang2006a, 928	Bai	I(78)	I(42)	ŋ o ⁴²	I(3)	2.91
5039	I (182)	- ɴ o - ⁴³			我	1	I [first person singular]	Enqi		ɴo43	I	-	I (1)	ɴo₄₃		-	5450					Function word	512	Wang2006a, 928	Bai	I(78)	I(42)	ɴ o ⁴³	I(3)	2.91
5040	I (182)	- ŋ ɔ - ³¹			我	1	I [first person singular]	Eryuan		ŋɔ31	I(1 p.s.) / 我	-	I (1)	ŋɔ₃₁		-	5450					Function word	512	Allen2007, 474	Bai	I(78)	I(42)	ŋ ɔ ³¹	I(3)	2.91
5041	I (182)	- ŋ a - ⁴²			我	1	I [first person singular]	Gongxing		ŋa42	I	-	I (1)	ŋa₄₂		-	5450					Function word	512	Wang2006a, 928	Bai	I(78)	I(42)	ŋ a ⁴²	I(3)	2.91
5042	I (182)	- ŋ ɔ - ³¹			我	1	I [first person singular]	Heqi		ŋɔ31	I(1 p.s.) / 我	-	I (1)	ŋɔ₃₁		-	5450					Function word	512	Allen2007, 474	Bai	I(78)	I(42)	ŋ ɔ ³¹	I(3)	2.91
5043	I (182)	- ŋ o - ³¹			我	1	I [first person singular]	Jianchuan		ŋo31	I(1 p.s.) / 我	-	I (1)	ŋo₃₁		-	5450					Function word	512	Allen2007, 474	Bai	I(78)	I(42)	ŋ o ³¹	I(3)	2.91
5044	I (182)	- - õ ∼ ⁴²			我	1	I [first person singular]	Jinman		õ42	I	-	I (1)	õ₄₂		-	5450					Function word	519	Wang2006a, 928	Bai	I(78)	I(42)	õ ∼ ⁴²	I(3)	2.91
5045	I (182)	u - õ ∼ ³¹			我	1	I [first person singular]	Jinxing		uõ31	I	-	I (1)	uõ₃₁		-	5450					Function word	520	Wang2006a, 928	Bai	I(78)	I(42)	u õ ∼ ³¹	I(3)	2.91
