OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	heʔ	2	立
6052	fly	bjø	1	飛
6003	see	mo	3	睹
6005	lie	do	6	臥
6054	walk	ɕø	6	行
6031	yellow	ʃɪ	2	黃
6059	give	gɯ	4	畀
6032	green	ni tʃʰɪʔ	4	青
6004	know	sɤ	1	知
6023	kill	seʔ	1	殺
6056	come	lɑ	2	來
6075	say	bɛ	7	曰
400	bird	ɲɑ	2	鳥
6022	sit	ɲi	2	坐
6050	swim	sɑ wo	5	泳
6041	star	ku zɑ	1	星
6040	full	bi	3	滿
411	blood	ʃɪ	1	血
2124	leaf	pjɑ	1	葉
1149393	that	go	3	彼
1173416	all	ʔɑ dʒɪ	6	凡
3100	person	tsʰo	2	人
4165	woman	zɑ mɯ zɑ	1	女
4118	water	jiʔ	3	水
3269	root	tɕe	7	根
623	cloud	my ti	1	雲
6248	two	ɲi	1	二
1299599	burn	doʔ	3	焚
6245	die	ʃɪ	1	死
828575	claw	sø	2	爪
6244	one	tʰi	2	一
3258	path	dʒɑ gu	5	路
333730				
2300	flesh	xwɑ	2	肌
1333710	red	ɲi	1	赤
6397	man	zɑ gu	3	男
3361	seed	ʃɪ	3	種
332000	mouth	mɤ nɤ	2	口
3305	sand	xɯ tɕi	4	沙
1341728	black	nɛ	1	黑
5437	big	wu	3	大
5491	what	ʔɑ ʃɪ	5	何
1460	fish	ŋwɑ	2	魚
1446	fire	ɑ to	2	火
3451	smoke	mu kʰu	1	煙
5458	this	tʰø	3	是
5471	nose	nɑ bø	1	鼻
5439	bark	koʔ dʒɪ	2	-
5423	many	mjɑ	3	多
340828	egg	fu	3	卵
5459	you	nu	2	汝
5440	tongue	lɑ tɕʰø	2	舌
5450	I	ŋwɑ	1	吾
5486	night	hyɑʔ	3	夜
5476	liver	ʃɪ	1	肝
5481	earth	mi	2	土
446278	hair	wu tsʰø	2	毛
5484	new	ʂɪʔ	1	新
443659	good	xɑ	7	好
5490	who	ʔɑ mɑ	4	孰
5495	not	mɑ	1	無
5455	we	ŋwɑ nu	7	我
5475	heart	ɲi mɑ	1	心
5485	hot	tsʰa	2	熱
5468	tail	mɯ	1	尾
5438	long	ʃɪ	1	長
5436	feather	my	1	羽
3430	skin	dʒɪ	1	皮
2421	mountain	wɑ	4	山
5511	eye	mjɑ	1	目
5509	small	ʒo	6	小
5516	belly	heʔ mɑ	3	肚
6519	sleep	jiʔ	1	寢
5527	head	wu dy	2	首
5510	ear	nɑ po	1	耳
5523	rain	hɑ	3	雨
264	ash	kʰu hɑ	3	灰
5616	hand	lɛʔ pʰɛ	1	手
5639	cold	dʑɑ	3	寒
966	dog	kʰɯ	1	犬
5624	grease	tsʰɯ	2	脂
5672	foot	tɕʰi pʰɛ	2	足
3633	stone	lo di	3	石
5729	moon	hɑ bɑ	1	月
3854	tree	sɯ	1	木
5850	sun	bɯ	1	日
5825	white	pʰu	2	白
5823	neck	li be	2	頸
5827	eat	dzɑ	1	食
5946	tooth	sɪ tɕʰi	1	牙
5980	louse	xɯ	2	蝨
5993	bite	kʰoʔ	3	噬
5989	dry	fu	6	乾
5983	bone	wo to	1	骨
5981	horn	tʃʰɪ	1	角
5991	drink	do	3	飲
5992	breasts	ɑ tʃʰɪ	2	乳
5995	name	mjø	1	名
5918	knee	tɕʰi tsɪ	7	膝
5984	round	lu	1	圓
5999	hear	pɑ dʒɑ	7	聞
