OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
7064	above	*[d]aŋʔ-s	0	上
1173416	all	*[g]ˤr[ə]m	10	咸
6464	and	*m-rˤəp	0	眔
264	ash		186	灰
5648	back	*pˤək-s	0	背
5650	bad, evil	*ʔˤak	0	惡
5439	bark	0	189	-
6028	-	-	0	-
5516	belly	*m-tˤaʔ	200	肚
6199	below	*gˤraʔ	0	下
5437	big	*lˤa[t]-s	23	大
400	bird		207	鳥
5993	to bite	*[d]e[t]-s	548	噬
1341728	black	*m̥ˤək	27	黑
411	blood	*m̥ˤik	213	血
1375415	to blow	*qʰˤa, *qʰˤa-s	0	呼
1511061	dull, blunt	*tˤur	0	敦
5983	bone	*kˤut	216	骨
6343	branch	*ke	0	支
5992	breast	*noʔ	221	乳
5998	to breathe	*sək	0	息
1299599	to burn	*[b]u[n]	560	焚
8061	to buy	*mˤrajʔ	0	買
1510493	to chew	*[dz]ewk-s	0	噍
7413	child	*tsəʔ	0	子
7084	to choose		0	擇
479387	-	-	0	-
623	cloud	*[ɢ]ʷə[n]	229	雲
5639	cold	*Cə.[g]ˤa[n]	36	寒
6056	to come	*rˤək, *rˤə	574	來
479132	to cook	*(C.)taʔ	0	煮
7026	-	-	0	-
6026	to count	*s-roʔ	0	數
7709	to cry	*k-r̥əp	0	泣
6043	to cut, hack	*tˤo[n]ʔ	0	斷
5477	day	*C.ni[t]	0	日
6245	to die, be dead	*sijʔ	584	死
6024	to dig	*[g]ut,  *[g]ot	0	掘
5483	dirty	*qʷˤra	0	污
966	dog	*[k]ʷʰˤ[e][n]ʔ	233	犬
8448	-	-	0	-
5991	to drink	*q(r)[ə]mʔ	592	飲
5989	dry	*[k]ˤar	46	乾
1009	dust	*[d]rə[n]	0	塵
5510	ear	*C.nəʔ	239	耳
5481	earth/soil	*tʰˤaʔ	246	土
5827	to eat	*mə-lək	595	食
340828	egg	*tʰu[r]	254	(homophonous with 春 in Cantonese, Hakka)
7005	Eight	*pˤret	0	八
5511	eye	*C.m(r)[u]k	256	目
5622	to fall	*lˤojʔ	0	墮
5997	far	*C.ɢʷa[n]ʔ	0	遠
5624	fat/grease	*kij	262	脂
5464	father	*[N-p](r)aʔ	0	父
6025	to fear	*ʔuj-s	0	畏
5436	feather	*[ɢ]ʷ(r)aʔ	269	羽
6393	-	-	0	-
5500	-	-	0	-
6030	-	-	0	-
1446	fire	*[qʷʰ]ˤəjʔ	272	火
1460	fish	*ŋ(r)a	275	魚
156104	Five	*C.ŋˤaʔ	0	五
6457	-	-	0	-
961244	to flow	*[r]u	0	流
1487	flower	*qʷʰˤra	0	華
6052	to fly	*Cə.pə[r]	608	飛
1502	fog	*kə.m(r)[o]k-s	0	霧
5672	foot	*tsok	285	足
1533	woods/forest	*k.r[ə]m	0	林
6253	Four	*s.li[j]-s	0	四
6042	-	-	0	-
6280	fruit	*mə.li[t]	0	實
6040	full	*mmanʔ	66	滿
6059	give	*pi(t)-s	612	畀
443659	good	*qʰˤuʔ	74	好
1675	grass	*[tsʰ]ˤuʔ	0	草
6032	green	*N-sˤ<r>eŋ	78	青
154737	to grow	*traŋʔ	0	長
446278	hair	*C.mˤaw	297	毛
5616	hand	*n̥uʔ	301	手
5454	he/she	*ʔij	0	伊
5527	head	*l̥uʔ	307	首
5999	to hear	*mu[n]	623	聞
5475	heart	*sǝm	312	心
5451	heavy	*N-t<r>oŋʔ	0	重
1287831	-	-	0	-
161806	-	-	0	-
6044	to hit	*kˤik	0	擊
6060	to hold	*[t]ip	0	執
5981	horn	*krōk	315	角
5517	house	*[g]ˤraʔ	0	厦
5494	how?	*na *[g]ˤaj	0	如何
6685	-	-	0	-
6046	to hunt	*r[a]p	0	獵
5432	husband	*p(r)a	0	夫
5450	I	*ŋˤa	2	吾
1837	-	-	0	-
950344	intestines	*lraŋ	0	腸
6023	to kill	*s<r>at	634	殺
5918	knee	*sit	332	膝
6004	to know, be knowledgeable	*tre	639	知
2061	lake	*[g]ˤa	0	湖
5876	to laugh	*s-law-s	0	笑
2124	leaf	*l[a]p	340	葉
1499731	left (side)	*tsˤa[j]ʔ	0	左
5665	leg/foot	*kak	0	腳
1425860	to lie down	*[ŋ]ˤ[o]j-s	0	臥
6005	lie	*ŋŋoj-s	650	臥
6811	lightning	*lˤi[n]-s	0	電
5476	liver	*s.kˤa[r]	349	肝
5438	long	*Cə-[N]-traŋ	95	長
5980	louse	*sri[t]	351	蝨
6396	-	-	0	-
6397	man/male	*nˤ[ə]m	359	男
5423	many	*tāj	105	多
2300	meat/flesh	*krə[j]	364	肌
5729	moon	*[ŋ]ʷat	367	月
630453	mosquito	*C.mə[n]	0	蚊
5463	mother	*məʔ	0	母
2421	mountain	*s-ŋrar	373	山
332000	mouth	*kʰˤ(r)oʔ	383	口
828575	claw	*tsruʔ	386	爪
5995	name	*C.meŋ	389	名
5566	narrow	*N-kˤ<r>ep	0	狹
869106	near	*N-kərʔ	0	近
5823	neck	*m-[k]eŋ, *[k]eŋʔ	394	頸
5951	needle	*t.[k]əm	0	箴
5484	new	*C.si[n]	113	新
5486	night	*[ɢ]Ak-s	401	夜
6193	Nine	*[k]uʔ	0	九
5471	nose	*m-[b]i[t]-s	406	鼻
5495	no, not	*put	117	弗
5482	old	*C-rˤuʔ	0	老
6244	One	*ʔi[t]	123	一
513017	to open, uncover		0	啓
1406403	-	-	0	-
496633	-	-	0	-
333730	person/human being	*niŋ	0	人
619975	-	-	0	-
6010	-	-	0	-
6071	-	-	0	-
6068	-	-	0	-
3100	rain	*C.ɢʷ(r)aʔ	412	雨
6233,6237	rat	*[l̥]aʔ	0	鼠
1333710	red	*[t-qʰ](r)Ak	132	赤
478515	to live, be alive	*sreŋ	0	生
436024	-	-	0	-
3253	-	-	0	-
3258	road/path	*Cə.rˤak-s	421	路
344031	-	-	0	-
3269	root	*[k]ˤə[n]	429	根
5465	rope		0	繩
7031	rotten	*[b](r)oʔ	0	腐
5984	round	*ɢʷren	143	圓
6062	-	-	0	-
5599	salt	*rˤaʔ	0	鹵
3305	sand	*[s]ˤraj	436	沙
6075	to say	*[ɢ]ʷat	671	曰
6047	to scratch	*[kʷˤ]r[a]t	0	刮
6003	to see	*[k]ˤen-s	678	見
3361	seed	*toŋʔ	442	種
7004	Seven	*[tsʰ]i[t]	0	七
6073	to sew	*(mə-)[b](r)oŋ ~ C.[b](r)oŋ	0	縫
5987	sharp		0	-
522875	to shoot	*Cə.lAk-s	0	射
6746	short	*tˤorʔ	0	短
6186	shoulder	*[k]ˤe[n]	0	肩
155571	shy, ashamed		0	-
7800	painful, sick	*[dz]i[t]	0	疾
5540	-	-	0	-
6022	to sit	*m-[dz]ˤo[j]ʔ, *[dz]ˤo[j]ʔ	687	坐
7003	Six	*k.ruk	0	六
3430	skin, hide	*kˤrək	450	革
7039	sky	*l̥ˤi[n]	0	天
6519	to sleep	*[tsʰ][i]mʔ	695	寢
5509	small	*[s]ewʔ	162	小
6520	to sniff, smell	*qʰu(ʔ)-s	0	嗅
3451	smoke	*[q]ˤi[n]	457	烟
5487	-	-	0	-
3388	snake	*Cə.lAj	0	蛇
3455	-	-	0	-
5499	-	-	0	-
3588	spider	*tro	0	蛛
6051	to spit	*tʰˤaʔ	0	吐
6048	to split		0	裂
6017	-	-	0	-
6045	to stab, pierce	*[tsʰ]ek	0	刺
6053	to stand	*k.rəp	708	立
6041	star	*s-tsʰˤeŋ	469	星
336072	to steal	*[k]ʰˤ(r)o-s	0	寇
5662	-	-	0	-
3633	stone	*dAk	477	石
5994	-	-	0	-
6027	to suck	*tsˤ[ə]p	0	噆
5850	sun	*njit	480	日
6454	-	-	0	-
6050	to swim	*[ɢ]ʷraŋ(ʔ)-s	720	泳
5468	tail	*[m]əjʔ	483	尾
6312	Ten	*t.[g]əp	0	十
1149393	that	*pajʔ	178	彼
858309	-	-	0	-
352331	-	-	0	-
5503	thick	*tˤur	0	敦
5990	thin	*qʰəj	0	希
6021	to think	*n[ə]mʔ	0	恁
5458	this	*[d]ə ~ *[d]əʔ	534	時
5459	thou	*naʔ	537	汝
156096	Three	*sr[u]m	0	三
6072	to throw	*[d]ˤo	0	投
509787	thunder	*C.rˤuj	0	雷
844574	to tie up, fasten	*[m]-kˤek-s	0	系
5440	tongue	*mə.lat	489	舌
5946	tooth	*m-ɢˤ<r>a	494	牙
3854	tree	*mhōk	497	木
6055	to turn	*mə-tronʔ	0	轉
7013	-	-	0	-
6248	Two	*ni[j]-s	749	二
5617	to vomit	*qˤ(r)oʔ	0	嘔
6054	to walk	*Cə.gˤraŋ	738	行
5485	warm, gentle	*ʔˤun	755	温
6069	-	-	0	-
4118	water	*s.turʔ	504	水
5455	we	*ŋˤajʔ	763	我
7027	wet	*[qʰ]ip	0	濕
5491	what?	*[g]ˤaj	771	何
5493	-	-	0	-
5492	where?	*[g]ˤaj *t.qʰaʔ	0	何處
5825	white	*bˤrak	782	白
5490	who?	*[d]uk	787	孰
5502	wide	*kʷˤaŋʔ	0	廣
5429	wife	*[tsʰ]ˤəj	0	妻
4160	wind	*prəm	0	風
5528	wing	*ɢrəp	0	翼
4165	woman/female	*nraʔ	516	女
741520	stick/wood		0	杖
471303	-	-	0	-
5466	-	-	0	-
441371	to yawn	*[k]ʰ(r)om-s	0	欠
5478	year	*s-qʷʰat-s	0	歲
6031	yellow	*N-kʷˤaŋ	795	黄
5456	you	*naʔ	0	汝
