OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	*kə-rəp	2	立
6052	fly	*pər	2	飛
6003	see	*ttaʔ	3	睹
6005	lie	*ŋŋoj-s	5	臥
6054	walk	*ggraŋ	5	行
6031	yellow	*N-kkwaŋ	6	黃
6059	give	*pi(t)-s	1	畀
6032	green	*ttsheng	3	青
6004	know	*tre	4	知
6023	kill	*ssret	1	殺
6056	come	*mə-rrə(k)	5	來
6075	say	*wat	6	曰
400	bird	*ttiwʔ	5	鳥
6022	sit	*ddzojʔ	1	坐
6050	swim	*wraŋ-s	4	泳
6041	star	*sseŋ	5	星
6040	full	*mmanʔ	6	滿
411	blood	*hhmik	4	血
2124	leaf	*lap	4	葉
1149393	that	*pa[j]ʔ	6	彼
1173416	all	*brom	5	凡
3100	person	*nin/ŋ	3	人
4165	woman	*nraʔ	4	女
4118	water	*hlujʔ	6	水
3269	root	*kkən	6	根
623	cloud	*wən	4	雲
6248	two	*ni[jtk]-s	1	二
1299599	burn	*bən	6	焚
6245	die	*sijʔ	1	死
828575	claw	*tsruʔ	1	爪
6244	one	*ʔit	3	一
3258	path	*kə-rrak-s	4	路
2300	flesh	*k(r)ij	3	肌
1333710	red	*t-qhak	4	赤
6397	man	*nnəm	6	男
3361	seed	*toŋʔ	3	種
332000	mouth	*kkhoʔ	6	口
3305	sand	*ssraj	2	沙
1341728	black	*hhmək	2	黑
5437	big	*N-ttat-s	5	大
5491	what	*gga[j]	4	何
1460	fish	*ŋa	2	魚
1446	fire	*hhməjʔ	1	火
3451	smoke	*ʔin	3	煙
5458	this	*deʔ	2	是
5471	nose	*m-Pit(-s)	2	鼻
5439	bark	0	0	-
5423	many	*tāj	6	多
340828	egg	*Cə-llorʔ	6	卵
5459	you	*naʔ	1	汝
5440	tongue	*m-lat	2	舌
5450	I	*ŋa	1	吾
5486	night	*lak-s	3	夜
5476	liver	*kkar	3	肝
5481	earth	*tthaʔ	5	土
446278	hair	*mmaw	4	毛
5484	new	*siŋ	2	新
443659	good	*qqhuʔ	6	好
5490	who	*duk	3	孰
5495	not	*ma	1	無
5455	we	*ŋŋajʔ	6	我
5475	heart	*sǝm	3	心
5485	hot	*ŋet	4	熱
5468	tail	*məjʔ	1	尾
5438	long	*N-traŋ	3	長
5436	feather	*waʔ	3	羽
3430	skin	*m-paj	4	皮
2421	mountain	*s-ŋrar	1	山
5511	eye	*miwk	1	目
5509	small	*s-tewʔ	5	小
5516	belly	*m-ttaʔ	5	肚
6519	sleep	*tshimʔ	3	寢
5527	head	*hluʔ	4	首
5510	ear	*nəŋʔ	1	耳
5523	rain	*waʔ	3	雨
264	ash	*hmə	6	灰
5616	hand	*hnuʔ	3	手
5639	cold	*ggan	5	寒
966	dog	*kkhwirʔ	1	犬
5624	grease	*kij	5	脂
5672	foot	*tsok	5	足
3633	stone	*dak	5	石
5729	moon	*ŋwat	2	月
3854	tree	*mhōk	2	木
5850	sun	*njit	2	日
5825	white	*N-pprak	5	白
5823	neck	*kkreŋʔ	4	頸
5827	eat	*m-lək	2	食
5946	tooth	*m-ʔhra	4	牙
5980	louse	*srik	1	蝨
5993	bite	*det-s	5	噬
5989	dry	*kkar	5	乾
5983	bone	*kkut	2	骨
5981	horn	*krōk	1	角
5991	drink	*ʔəmʔ	4	飲
5992	breasts	*noʔ	1	乳
5995	name	*meŋ	1	名
5918	knee	*sit	6	膝
5984	round	*ɢʷren	5	圓
5999	hear	*mun	6	聞
