OMEGAWIKI	GLOSS_IN_SOURCE	IPA	COGID	HANZI
6053	stand	rje	2	立
6052	fly	bjola	1	飛
6003	see	vdɔ	1	睹
6005	lie	rgə	1	臥
6054	walk	ɕə	0	行
6031	yellow	rɲərɲə	1	黃
6059	give	fkʰɔ	2	畀
6032	green	rŋərŋə	1	青
6004	know	fsi	1	知
6023	kill	fse	1	殺
6056	come	ɮde	2	來
6075	say	jə	2	曰
400	bird	ɣəzə	1	鳥
6022	sit	ndzɔ	1	坐
6050	swim	tɕəva	6	泳
6041	star	skerma	0	星
6040	full	xse	2	滿
411	blood	si	1	血
2124	leaf	rbala	1	葉
1149393	that	te	0	彼
1173416	all	χsəmbə	9	凡
3100	person	vdzi	6	人
4165	woman	smi	1	女
4118	water	ɣrə	3	水
3269	root	rtsawa	0	根
623	cloud	zdor	1	雲
6248	two	ɣni	1	二
1299599	burn	spərje	8	焚
6245	die	se	1	死
828575	claw	rdzi	1	爪
6244	one	ru	1	一
3258	path	tɕe	2	路
333730				
2300	flesh	pjeno	4	肌
1333710	red	nana	1	赤
6397	man	ʑələ	0	男
3361	seed	fɬə	5	種
332000	mouth	ja	8	口
3305	sand	rbu	1	沙
1341728	black	ɲaɲa	1	黑
5437	big	tɕʰe	0	大
5491	what	ətɕə	1	何
1460	fish	ʁjə	1	魚
1446	fire	ɣmə	1	火
3451	smoke	mkʰə	1	煙
5458	this	tə	2	是
5471	nose	snə	1	鼻
5439	bark	tɕədʑa	0	-
5423	many	ɣri	9	多
340828	egg	zgəŋaˠ	0	卵
5459	you	ɲi	1	汝
5440	tongue	vɮde	2	舌
5450	I	ŋa	1	吾
5486	night	kəzə	6	夜
5476	liver	skər	4	肝
5481	earth	χtsə	7	土
446278	hair	ʁəpra	5	毛
5484	new	xsu	1	新
443659	good	caˠ	7	好
5490	who	sə	1	孰
5495	not	mə-	1	無
5455	we	ŋaɲə	8	我
5475	heart	zjar	5	心
5485	hot	cʰu	6	熱
5468	tail	rŋama	0	尾
5438	long	dʑi	5	長
5436	feather	ɕoχpa	0	羽
3430	skin	tɕədʑa	1	皮
2421	mountain	rəŋgɔ	0	山
5511	eye	mu	1	目
5509	small	teɣde	8	小
5516	belly	vu	2	肚
6519	sleep	ɲɟev	1	寢
5527	head	ʁə	1	首
5510	ear	ɲə	1	耳
5523	rain	məqʰi	1	雨
264	ash	kɔfɬe	0	灰
5616	hand	ɮda	1	手
5639	cold	rkʰɔ	6	寒
966	dog	kʰəzə	1	犬
5624	grease	rtsirtsʰa	1	脂
5672	foot	rkɔ	0	足
3633	stone	rgəme	6	石
5729	moon	fsunu	1	月
3854	tree	ɕõtʰõ	0	木
5850	sun	ɣbə	1	日
5825	white	pʰrɔpʰrɔ	1	白
5823	neck	vɮdi	2	頸
5827	eat	ŋgə	3	食
5946	tooth	ɕə	1	牙
5980	louse	ɕu	1	蝨
5993	bite	rcʰe	6	噬
5989	dry	ɣrɔɣrɔ	1	乾
5983	bone	rəra	1	骨
5981	horn	qrəmbə	1	角
5991	drink	tʰi	1	飲
5992	breasts	nene	1	乳
5995	name	rmi	1	名
5918	knee	rŋəʁopo	2	膝
5984	round	ʁərʁər	6	圓
5999	hear	ŋi	8	聞
