OMEGAWIKI	IPA	TOKENS	SCAID	SOURCE	GLOSS_IN_SOURCE	ENTRY_IN_SOURCE	ALIGNMENT
5662	pia₃₅	p i a ₃₅	1142	Wang2006a, 586	stick	pia35	p i a ₃₅
5466	t͡sɤ₂₁	t͡s ɤ ₂₁	221	Wang2006a, 353	worm	tsv21	t͡s ɤ ₂₁
5980	ɕie₄₄	ɕ i e ₄₄	661	Wang2006a, 356	louse	ɕie44	ɕ i e ₄₄
5599	pi₃₅	p i ₃₅	972	Wang2006a, 61	salt	pi35	p i ₃₅
5482	ku₃₃	k u ₃₃	798	Wang2006a, 1493	old	ku33	k u ₃₃
3269	mi₄₄	m i ₄₄	948	Wang2006a, 375	root	mi44	m i ₄₄
5485	uɛ₃₅	u ɛ ₃₅	1361	Wang2006a, 1064	lukewarm	uɛ35	u ɛ ₃₅
5463	mo₃₃	m o ₃₃	717	Wang2006a, 219	mother	mo33	m o ₃₃
7039	xe₅₅	x e ₅₅	1038	Wang2006a, 1	sky	xe55	x e ₅₅
2421	sɤ₅₃	s ɤ ₅₃	728	Wang2006a, 23	mountain	sv53	s ɤ ₅₃
961244	kɯ₂₁	k ɯ ₂₁	1	Wang2006a, 1502	(water flow)	kɯ21	k ɯ ₂₁
400	t͡sou₄₄	t͡s o u ₄₄	53	Wang2006a, 326	bird	tsou44	t͡s o u ₄₄
966	kʰua₃₃	kʰ u a ₃₃	163	Wang2006a, 289	dog	kʰua33	kʰ u a - ₃₃
6055	t͡sue₄₂	t͡s u e ₄₂	1322	Wang2006a, 1806	turn around	tsue42	t͡s u e ₄₂
3388	kʰɤ₃₃	kʰ ɤ ₃₃	1065	Wang2006a, 347	snake	kʰv33	kʰ ɤ ₃₃
4160	pi₃₅	p i ₃₅	1429	Wang2006a, 9	wind	pi35	p i ₃₅
7709	kʰɑ₄₄	kʰ ɑ ₄₄	148	Wang2006a, 1485	cry (verb or noun?, should be made clear later on)	kʰɑ44	kʰ ɑ ₄₄
3451	xui₃₃ɕe₅₅	x u i ₃₃ ɕ e ₅₅	1058	Wang2006a, 19	smoke	xui33ɕe55	x u i ₃₃ ɕ e ₅₅
6017	t͡sue₄₄	t͡s u e ₄₄	1121	Wang2006a, 1405	squeeze (for milk)	tsue44	t͡s u e ₄₄
3455	sue₄₄	s u e ₄₄	1077	Wang2006a, 12	snow	sue44	s u e ₄₄
443659	xu₃₃	x u ₃₃	382	Wang2006a, 1052	good	xu33	x u ₃₃
446278	tɯ₂₁ma₃₅	t ɯ ₂₁ m a ₃₅	420	Wang2006a, 75	hair	[tɯ21ma35]	t ɯ - ₂₁ m a ₃₅
5439	pia₄₂	p i a ₄₂	28	Wang2006a, 1438	to bark	pia42	p i a ₄₂
3361	t͡sɤ₃₃	t͡s ɤ ₃₃	985	Wang2006a, 405	seed	tsv33	t͡s ɤ ₃₃
7800	pɛ₂₁	p ɛ ₂₁	533	Wang2006a, 1160	to be ill	pɛ21	p ɛ ₂₁
6457	pɯ₂₁	p ɯ ₂₁	330	Wang2006a, 1553	float	pɯ21	p ɯ ₂₁
509787	xe₅₅mɛ₂₁	x e ₅₅ m ɛ ₂₁	1277	Wang2006a, 8	thunder	xe55mɛ21	x e - ₅₅ m ɛ - ₂₁
1446	xui₃₃	x u i ₃₃	316	Wang2006a, 18	fire	xui33	x u i ₃₃
5995	miɛ₃₅	m i ɛ ₃₅	746	Wang2006a, 687	name	miɛ35	m i ɛ ₃₅
6312	t͡si₄₂	t͡s i ₄₂	1199	Wang2006a, 806	ten	tsi42	t͡s i ₄₂
6059	zɯ₄₂	z ɯ ₄₂	375	Wang2006a, 1345	give	zɯ42	z ɯ ₄₂
6041	ɕiɛ₅₅	ɕ i ɛ ₅₅	1124	Wang2006a, 5	star	ɕiɛ55	ɕ i ɛ ₅₅ - - -
156096	sa₅₅	s a ₅₅	1272	Wang2006a, 799	three	sa55	s a ₅₅
5951	t͡si₃₅	t͡s i ₃₅	780	Wang2006a, 578	needle	tsi35	t͡s i ₃₅
950344	t͡sou₂₁	t͡s o u ₂₁	540	Wang2006a, 149	intestine; guts	tsou21	t͡s o u ₂₁
6042	sou₅₅	s o u ₅₅	361	Wang2006a, 14	frost	sou55	s o u ₅₅
5983	kua₄₄	k u a ₄₄	97	Wang2006a, 133	bone	kua44	k u a ₄₄ - - - -
5440	t͡se₄₂	t͡s e ₄₂	1290	Wang2006a, 139	tongue	tse42	t͡s e ₄₂
5639	kɯ₃₅	k ɯ ₃₅	136	Wang2006a, 1063	cold	kɯ35	k ɯ ₃₅
869106	t͡ɕie₃₃	t͡ɕ i e ₃₃	758	Wang2006a, 975	near	tɕie33	t͡ɕ i e - ₃₃
340828	se₄₂	s e ₄₂	252	Wang2006a, 450	egg	se42	s e ₄₂
7004	t͡ɕʰi₄₄	t͡ɕʰ i ₄₄	999	Wang2006a, 803	seven	tɕʰi44	t͡ɕʰ i ₄₄
1333710	t͡sʰɛ₄₄	t͡sʰ ɛ ₄₄	910	Wang2006a, 1007	red	tsʰɛ44	t͡sʰ ɛ ₄₄
478515	kɤ₄₂	k ɤ ₄₂	624	Wang2006a, 1452	live; reside	kv42	k ɤ ₄₂
3854	t͡sɯ₃₁	t͡s ɯ ₃₁	1306	Wang2006a, 372	tree	tsɯ31	t͡s ɯ ₃₁
1533	t͡sɯ₃₁sua₃₅	t͡s ɯ ₃₁ s u a ₃₅	359	Wang2006a, 50	forest	tsɯ31sua35	t͡s ɯ ₃₁ s u a ₃₅
3253	kɤ₃₅	k ɤ ₃₅	930	Wang2006a, 30	river	kv35	k ɤ ₃₅
5438	t͡sou₂₁	t͡s o u ₂₁	637	Wang2006a, 972	long	tsou21	t͡s o u ₂₁
5476	ka₃₅	k a ₃₅	628	Wang2006a, 145	liver	ka35	k a ₃₅
5503	kɯ₃₃	k ɯ ₃₃	1230	Wang2006a, 980	thick	kɯ33	k ɯ ₃₃
1499731	pi₃₅	p i ₃₅	600	Wang2006a, 710	left	pi35	p i ₃₅
5502	kʰua₄₄	kʰ u a ₄₄	1418	Wang2006a, 966	wide	kʰua44	kʰ u a ₄₄
5502	kʰua₄₄	kʰ u a ₄₄	1418	Wang2006a, 976	wide	kʰua44	kʰ u a ₄₄
6030	tɛ₄₄	t ɛ ₄₄	312	Wang2006a, 1234	fight	tɛ44	t ɛ ₄₄
4165	ɲɤ₃₃	ɲ ɤ ₃₃	1446	Wang2006a, 174	woman	ɲv33	ɲ ɤ ₃₃
5992	pa₄₂	p a ₄₂	108	Wang2006a, 94	breasts	pa42	p a ₄₂
2061	pɛ₂₁	p ɛ ₂₁	568	Wang2006a, 31	lake	(pɛ21)	p ɛ ₂₁
3100	ou₄₂ɤu₃₃ɕi₄₄	o u ₄₂ ɤ u ₃₃ ɕ i ₄₄	909	Wang2006a, 1719	(rain) fall	ou42(vu33ɕi44)	o u ₄₂ ɤ u ₃₃ ɕ i ₄₄
5876	so₃₁	s o ₃₁	573	Wang2006a, 1735	laugh	so31	s o ₃₁
5665	ko₄₄	k o ₄₄	615	Wang2006a, 1829	leg	ko44	k o ₄₄
1299599	su₅₅	s u ₅₅	1282	Wang2006a, 1269	to burn	su55	s u ₅₅
5825	pɛ₄₂	p ɛ ₄₂	1409	Wang2006a, 1006	white	pɛ42	p ɛ ₄₂
6397	t͡si₄₄	t͡s i ₄₄	662	Wang2006a, 173	man	tsi44	t͡s i ₄₄
5482	kɯ₃₁	k ɯ ₃₁	799	Wang2006a, 1051	used, old	kɯ31	k ɯ ₃₁
