# Wordlist

# DATA
ID	ABVD	ALIGNMENT	BORROWED	BORROWING	CHINESE	COGID	CONCEPT	CONCEPTID	DOCULECT	DUPLICATES	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE	HANZI	ID_IN_SOURCE	IELEX	IPA	LGID	MORPHEME_STRUCTURE	NOTE	OMEGAWIKI	PARADIGM_1	PARADIGM_2	PARADIGM_3	PARADIGM_4	POS	RGEN	SCAID	SOURCE	SRCABBR	SRCID	SUBGROUP	SWADESH_1952	SWADESH_1955	TAXON_NAME_IN_SOURCE	TOKENS	TOWEROFBABEL	WOLD
#
5036	I (182)	- ŋ õ ∼ ³¹			我	1	I [first person singular]	1	Dashi		ŋõ31	I	-		I (1)	ŋõ₃₁			-	5450					Function word		512	Wang2006a, 928			Bai	I(78)	I(42)	Dashi	ŋ õ ∼ ³¹	I(3)	2.91
5038	I (182)	- ŋ o - ⁴²			我	1	I [first person singular]	1	Ega		ŋo42	I	-		I (1)	ŋo₄₂			-	5450					Function word		512	Wang2006a, 928			Bai	I(78)	I(42)	Ega	ŋ o ⁴²	I(3)	2.91
5039	I (182)	- ɴ o - ⁴³			我	1	I [first person singular]	1	Enqi		ɴo43	I	-		I (1)	ɴo₄₃			-	5450					Function word		512	Wang2006a, 928			Bai	I(78)	I(42)	Enqi	ɴ o ⁴³	I(3)	2.91
5040	I (182)	- ŋ ɔ - ³¹			我	1	I [first person singular]	1	Eryuan		ŋɔ31	I(1 p.s.) / 我	-		I (1)	ŋɔ₃₁			-	5450					Function word		512	Allen2007, 474			Bai	I(78)	I(42)	Eryuan	ŋ ɔ ³¹	I(3)	2.91
5041	I (182)	- ŋ a - ⁴²			我	1	I [first person singular]	1	Gongxing		ŋa42	I	-		I (1)	ŋa₄₂			-	5450					Function word		512	Wang2006a, 928			Bai	I(78)	I(42)	Gongxing	ŋ a ⁴²	I(3)	2.91
5042	I (182)	- ŋ ɔ - ³¹			我	1	I [first person singular]	1	Heqi		ŋɔ31	I(1 p.s.) / 我	-		I (1)	ŋɔ₃₁			-	5450					Function word		512	Allen2007, 474			Bai	I(78)	I(42)	Heqi	ŋ ɔ ³¹	I(3)	2.91
5043	I (182)	- ŋ o - ³¹			我	1	I [first person singular]	1	Jianchuan		ŋo31	I(1 p.s.) / 我	-		I (1)	ŋo₃₁			-	5450					Function word		512	Allen2007, 474			Bai	I(78)	I(42)	Jianchuan	ŋ o ³¹	I(3)	2.91
5044	I (182)	- - õ ∼ ⁴²			我	1	I [first person singular]	1	Jinman		õ42	I	-		I (1)	õ₄₂			-	5450					Function word		519	Wang2006a, 928			Bai	I(78)	I(42)	Jinman	õ ∼ ⁴²	I(3)	2.91
5045	I (182)	u - õ ∼ ³¹			我	1	I [first person singular]	1	Jinxing		uõ31	I	-		I (1)	uõ₃₁			-	5450					Function word		520	Wang2006a, 928			Bai	I(78)	I(42)	Jinxing	u õ ∼ ³¹	I(3)	2.91
5046	I (182)	- ɴ ɔ - ⁴²			我	1	I [first person singular]	1	Luobenzhuo		ɴɔ42	I(1 p.s.) / 我	-		I (1)	ɴɔ₄₂			-	5450					Function word		512	Allen2007, 474			Bai	I(78)	I(42)	Luobenzhuo	ɴ ɔ ⁴²	I(3)	2.91
5047	I (182)	- n e n ⁴²			我	1	I [first person singular]	1	Mazhelong	10930 (thou [second person singular])	nen42	I	-		I (1)	nen₄₂			-	5450					Function word		523	Wang2006a, 928			Bai	I(78)	I(42)	Mazhelong	n e n ⁴²	I(3)	2.91
5048	I (182)	- ŋ ɔ - ³¹			我	1	I [first person singular]	1	Qiliqiao		ŋɔ31	I(1 p.s.) / 我	-		I (1)	ŋɔ₃₁			-	5450					Function word		512	Allen2007, 474			Bai	I(78)	I(42)	Qiliqiao	ŋ ɔ ³¹	I(3)	2.91
5049	I (182)	- ŋ ɔ - ³¹			我	1	I [first person singular]	1	Xiangyun		ŋɔ31	I(1 p.s.) / 我	-		I (1)	ŋɔ₃₁			-	5450					Function word		512	Allen2007, 474			Bai	I(78)	I(42)	Xiangyun	ŋ ɔ ³¹	I(3)	2.91
5050	I (182)	- ŋ ɔ - ³¹			我	1	I [first person singular]	1	Yunlong		ŋɔ31	I(1 p.s.) / 我	-		I (1)	ŋɔ₃₁			-	5450					Function word		512	Allen2007, 474			Bai	I(78)	I(42)	Yunlong	ŋ ɔ ³¹	I(3)	2.91
5051	I (182)	- ŋ o - ³¹			我	1	I [first person singular]	1	Zhoucheng		ŋo31	I	-		I (1)	ŋo₃₁			-	5450					Function word		512	Wang2006a, 928			Bai	I(78)	I(42)	Zhoucheng	ŋ o ³¹	I(3)	2.91
5054	I (182)	-			我	2	I [first person singular]	1	Old_Tibetan		ŋa	I	吾		I (1)	ŋa			-	5450					Function word		0	-			Bodic	I(78)	I(42)	Old_Tibetan	ŋ a	I(3)	2.91
5067	I (182)	-			我	2	I [first person singular]	1	Khaling		ʔu^ŋ	I	吾		I (1)	ʔu^ŋ			-	5450					Function word		0	-			Kiranti	I(78)	I(42)	Khaling	ʔ u ^ ŋ	I(3)	2.91
5068	I (182)	-			我	2	I [first person singular]	1	Limbu		iŋga	I	吾		I (1)	iŋga			-	5450					Function word		0	-			Kiranti	I(78)	I(42)	Limbu	i ŋ g a	I(3)	2.91
5080	I (182)	-			我	3	I [first person singular]	1	Old_Chinese		*ŋˤa	I	吾		I (1)	*ŋˤa			-	5450					Function word		0	-			Sinitic	I(78)	I(42)	Old_Chinese	ŋˤ a	I(3)	2.91
5083	I (182)	-			我	2	I [first person singular]	1	Japhug		aʑo	I	吾		I (1)	aʑo			-	5450					Function word		0	-			rGyalrongic	I(78)	I(42)	Japhug	a ʑ o	I(3)	2.91
5087	I (182)	-			我	2	I [first person singular]	1	Tangut		ŋa²	I	吾		I (1)	ŋa²			-	5450					Function word		0	-			rGyalrongic	I(78)	I(42)	Tangut	ŋ a ²	I(3)	2.91
13023						0	I [first person singular]	1	Guzhang			我	我			u²⁵				5450							0							Guzhang			
13320						0	I [first person singular]	1	Ganzhou		ŋo3	I (82)				ŋo⁴				5450							0							Ganzhou	ŋ o ⁴		
13770						0	I [first person singular]	1	Jixi				我			ɔ²¹³				5450							0							Jixi			
14290						0	I [first person singular]	1	Qimen			我	我			ɑ⁴²			mostly subject	5450							0							Qimen			
14550						0	I [first person singular]	1	Dancun				我			ŋɔi²¹				5450							0							Dancun			
14806						0	I [first person singular]	1	Qimen			我	我			ʂɯːə⁴²			mostly object								0							Qimen			
14873						0	I [first person singular]	1	Karen		je³¹	I		81944		je³¹	1849								pron	392765	0	STEDT/TBL	TBL	0928.50	Karenic			Karen	j e ³¹		
15026						0	I [first person singular]	1	Nusu_Central		ŋa³³	I		49410		ŋa³³	1831								pron	392749	0	STEDT/TBL	TBL	0928.34	Northern Loloish			Nusu (Central)	ŋ a ³³		
15230						0	I [first person singular]	1	Hani_Mojiang		ŋɔ⁵⁵	I		66098		ŋɔ⁵⁵	1840								pron	392757	0	STEDT/TBL	TBL	0928.42	Southern Loloish			Hani (Mojiang)	ŋ ɔ ⁵⁵		
15445						0	I [first person singular]	1	Xumi		ŋɛ³⁵	I		15851		ŋɛ³⁵	1812								pron	392732	0	STEDT/TBL	TBL	0928.17	Qiangic			Xumi	ŋ ɛ ³⁵		
15539						0	I [first person singular]	1	Tibetan_Written		ŋa	I		1053		ŋa	1804								pron	392716	0	STEDT/TBL	TBL	0928.01	Tibetan			Tibetan (Written)	ŋ a		
15540						0	I [first person singular]	1	Tibetan_Written		bdag	I		1054		bdag	1804		!						pron	392766	0	STEDT/TBL	TBL	0928.01	Tibetan			Tibetan (Written)	b d a g		
15732						0	I [first person singular]	1	Lyuzu		æ⁵³	I		17732		æ⁵³	1813								pron	392733	0	STEDT/TBL	TBL	0928.18	Qiangic			Lyuzu	æ ⁵³		
15733						0	I [first person singular]	1	Lyuzu		a³³duo⁵³	I		17733		a³³duo⁵³	1813								pron	392769	0	STEDT/TBL	TBL	0928.18	Qiangic			Lyuzu	a ³³ ◦ d u o ⁵³		
15906						0	I [first person singular]	1	Cuona_Menba		ŋe³⁵	I		83501		ŋe³⁵	1850								pron	392721	0	STEDT/TBL	TBL	0928.06	Bodic			Cuona Menba	ŋ e ³⁵		
16111						0	I [first person singular]	1	Queyu_Xinlong		ŋɯ¹³	I		8513		ŋɯ¹³	1808								pron	392767	0	STEDT/TBL	TBL	0928.13	Qiangic			Queyu (Xinlong)	ŋ ɯ ¹³		
16211						0	I [first person singular]	1	Yi_Xide		ŋɑ³³	I		51243		ŋɑ³³	1832								pron	392750	0	STEDT/TBL	TBL	0928.35	Northern Loloish			Yi (Xide)	ŋ ɑ ³³		
16425						0	I [first person singular]	1	Lahu_Lancang		ŋɑ³¹	I		67901		ŋɑ³¹	1841								pron	392758	0	STEDT/TBL	TBL	0928.43	Central Loloish			Lahu (Lancang)	ŋ ɑ ³¹		
